#    object_id         halo_id            flux            radius          h_over_r     inclination.rad     theta.rad            mu            redshift         shear.g1         shear.g2          pos.x            pos.y         image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
               0                0   1.12243100e+04   1.02956867e-01   1.78212954e-01   7.01144946e-01   1.37086259e+00   2.53970606e+00   6.00000000e-01  -1.39139527e-01  -1.22958530e-02   1.69470936e+01   1.10660797e+00   5.46470725e+02   2.75434451e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
               1                0   2.16463035e+04   8.36240346e-02   1.05041451e-01   1.04925154e+00   5.57716354e+00   2.39209654e+00   6.00000000e-01   1.73255198e-01   8.69901372e-02   4.52872029e+00  -1.80389371e+01   3.32352693e+02  -4.56387657e+01   7.00000000e+14   4.00000000e+00   3.00000000e-01
               2                0   6.77118568e+04   1.14877467e-01   1.13037609e-01   3.40620853e-01   4.28790993e+00   2.86639552e+00   6.00000000e-01  -9.63461376e-02   1.42497066e-01  -1.31312263e+01   5.65765186e+00   2.37673541e+01   3.56773977e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
               3                0   1.77996559e+05   9.73416259e-02   1.81826336e-01   2.59563622e+00   3.36500208e+00   2.22195316e+00   6.00000000e-01   1.47501362e-01   1.11195407e-01   7.25818010e+00  -1.96267514e+01   3.74411182e+02  -6.23421107e+01   7.00000000e+14   4.00000000e+00   3.00000000e-01
               4                0   4.74716248e+05   1.54822935e-01   1.73741497e-01   5.95840857e-01   5.02917054e+00   2.48905159e+00   6.00000000e-01  -8.96787181e-02  -1.08555760e-01  -1.61807391e+01  -6.67252434e+00  -1.84659675e+01   1.43111044e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
               5                0   1.80385672e+04   1.28116734e-01   1.74278981e-01   1.02894886e+00   6.15596520e+00   2.94856095e+00   6.00000000e-01  -1.06803391e-01   1.36197706e-01   1.28077690e+01  -5.03716821e+00   4.85076097e+02   1.66603294e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
               6                0   1.43910951e+05   8.94450231e-02   1.35895668e-01   4.83474910e-01   4.97688585e+00   3.14785090e+00   6.00000000e-01  -1.63268865e-01   1.71751102e-02   1.26307138e+01  -2.43839052e-01   4.85186036e+02   2.52085160e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
               7                0   6.20561468e+04   8.87083325e-02   1.34733811e-01   1.44461173e+00   3.01968578e-01   2.26759649e+00   6.00000000e-01   1.69081036e-01  -6.38818698e-02   4.84829524e+00   1.96536489e+01   3.35968368e+02   5.78642800e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
               8                0   6.30227745e+04   1.50455237e-01   1.24753994e-01   1.46989312e+00   3.74280486e+00   3.62170250e+00   6.00000000e-01  -3.33501070e-02   2.07938984e-01  -8.57086024e+00   6.29949859e+00   9.74717104e+01   3.73384240e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
               9                0   1.07922701e+04   1.49124247e-01   1.85486631e-01   2.05362792e+00   2.56459719e+00   7.46192718e+00   6.00000000e-01  -2.49355335e-01  -9.78031662e-02   5.23739914e+00   9.76447951e-01   3.59018154e+02   2.75613235e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              10                0   1.45723591e+05   7.42579708e-02   1.89581489e-01   2.02215093e+00   5.11115193e+00   2.36224453e+00   6.00000000e-01   1.41472669e-01   1.26830912e-01  -7.43536158e+00   1.74483894e+01   1.32565725e+02   5.47333670e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              11                0   2.35338144e+04   5.39251291e-02   1.65318157e-01   1.60733657e+00   1.82155718e+00   3.60820720e+00   6.00000000e-01  -7.17548601e-02   1.91042545e-01  -9.20483306e+00   5.42323189e+00   8.58035341e+01   3.57069615e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
              12                0   2.40907236e+05   1.82130043e-01   1.47870745e-01   4.50732529e-01   2.40188312e-02   5.91336053e+00   6.00000000e-01  -1.95542622e-01   1.53484783e-01  -6.19292707e+00   1.82180175e+00   1.36405422e+02   2.91828773e+02   7.00000000e+14   4.00000000e+00   3.00000000e-01
