#    object_id         image_id         file_id            flux            radius          h_over_r     inclination.rad     theta.rad       image_pos.x      image_pos.y    
               0                0                0   6.39399725e+05   1.31823778e+01   1.11795031e-01   4.64590882e-01   4.91426481e+00   3.82353954e+02   4.06525785e+00
               1                0                0   3.45914113e+04   6.30976899e+00   1.22416023e-01   4.52896607e-01   5.57716354e+00   3.11599430e+02   3.70262650e+01
               2                0                0   2.29452349e+04   1.58859146e+01   1.02873444e-01   1.94776407e+00   8.19177125e-01   2.02058009e+01   2.34291766e+01
               3                0                0   8.42352314e+04   8.65775054e-01   1.92730854e-01   2.33989109e+00   5.14130030e+00   3.89223267e+02   5.06522928e+02
               4                0                0   1.55522455e+06   2.19991192e+00   1.69881957e-01   2.06557627e+00   5.02917054e+00   5.96343406e+01   1.75317621e+02
               5                0                0   2.95544715e+04   6.09151867e+00   1.52077823e-01   2.07783190e+00   6.15596520e+00   4.12327856e+02   1.95214454e+02
               6                0                0   2.32974644e+05   1.47997710e+00   1.26296682e-01   1.28482339e+00   4.97688585e+00   4.10173685e+02   2.53533292e+02
               7                0                0   6.52267231e+04   2.42002033e+01   1.43707590e-01   1.90694182e+00   2.18238973e+00   2.33049269e+02   2.42948901e+02
               8                0                0   8.27629186e+04   1.12683875e+01   1.66970158e-01   1.04149586e+00   3.74280486e+00   1.52221200e+02   3.33143900e+02
               9                0                0   1.23699919e+04   1.83169108e+01   1.66082831e-01   2.35993379e+00   2.56459719e+00   3.20221690e+02   2.68380117e+02
              10                0                0   2.36780605e+05   1.79663576e+01   1.16171981e-01   2.48429056e+00   5.11115193e+00   1.66036434e+02   4.68788738e+02
              11                0                0   3.66001543e+04   1.29807294e+01   1.02616753e-01   1.88217066e+00   1.82155718e+00   1.44507864e+02   3.22482655e+02
              12                0                0   3.43597091e+04   1.36072370e+01   1.04994417e-01   2.44880311e+00   3.00780762e+00   4.56654524e+02   4.80082074e+02
              13                0                0   6.38012431e+04   9.66376145e+00   1.24457730e-01   1.55424986e+00   4.33788539e+00   1.23899392e+02   4.51021945e+02
              14                0                0   6.36538047e+04   1.66069777e+01   1.27794401e-01   8.47966440e-01   3.90021770e+00   4.34116480e+02   2.84074994e+02
              15                0                0   7.88694397e+04   6.43226726e+00   1.58619867e-01   8.72535269e-01   2.04880470e-01   1.86444397e+02   2.72357399e+02
              16                0                0   5.74093237e+04   1.88949000e+00   1.66534125e-01   2.54026765e+00   6.01929613e+00   1.15407193e+02   7.75386353e+01
              17                0                0   4.35656349e+04   1.89813343e+01   1.73870820e-01   2.36445187e+00   4.06238240e+00   1.66972376e+02   2.87770602e+02
              18                0                0   3.63470955e+04   2.25150475e+01   1.28472277e-01   2.03451491e+00   2.86069001e+00   3.66899233e+02   7.24144162e+00
              19                0                0   4.01799788e+04   2.40204999e+01   1.49947792e-01   1.59410987e+00   4.03878633e+00   4.77568128e+02   4.98848241e+02
              20                0                0   9.19226457e+05   1.17128467e+01   1.36638076e-01   2.02683249e+00   3.02911939e+00   2.74523181e+02   9.44177398e+01
              21                0                0   1.65308162e+05   3.68723213e+00   1.10949945e-01   1.88429403e+00   4.86317995e+00   3.24211572e+01   2.05707567e+02
              22                0                0   4.82848661e+04   5.98801976e+00   1.42465439e-01   2.60624188e+00   4.93917773e+00   3.77075327e+02   2.89236000e+02
              23                0                0   4.23598382e+04   2.02842338e+01   1.35957804e-01   1.88257528e+00   6.23438467e+00   8.40116091e+01   1.20226773e+02
              24                0                0   3.36886474e+04   1.00376328e+01   1.30579910e-01   1.81329423e+00   3.00396258e+00   1.13182383e+02   2.20280407e+02
              25                0                0   8.78221722e+04   3.46832152e+00   1.03604484e-01   6.83974306e-01   2.10939483e+00   4.55789011e+02   4.36832282e+02
              26                0                0   1.95581023e+04   1.91618137e+01   1.32639276e-01   1.38830082e+00   3.55461039e+00   4.38507608e+02   2.46589986e+02
              27                0                0   2.25432883e+06   2.81736626e+00   1.34374251e-01   2.43160193e+00   5.99079841e+00   3.85698174e+01   3.92678334e+02
              28                0                0   3.37763028e+04   1.38676403e+01   1.19603060e-01   2.20877685e+00   2.59568962e+00   4.10920481e+02   4.37457566e+02
              29                0                0   4.41058417e+04   2.00005298e+01   1.32612951e-01   1.26672419e+00   5.37961674e+00   8.54677849e+01   1.47110045e+01
              30                0                0   2.03628841e+04   1.37181494e+00   1.22229349e-01   2.12996474e-01   7.66725123e-02   4.03121489e+02   6.61296132e+01
              31                0                0   2.22154954e+04   2.14104448e+01   1.90563051e-01   2.04464618e+00   3.73520088e+00   2.12677064e+02   1.16484812e+02
              32                0                0   4.27250026e+04   6.70249336e+00   1.83843125e-01   1.98401187e+00   7.60491259e-01   4.90374149e+02   2.92015422e+02
              33                0                0   2.30465122e+05   3.82635736e+00   1.45974254e-01   6.67418762e-01   1.68958850e+00   2.72733010e+02   4.54837568e+02
              34                0                0   1.34138715e+06   5.68231548e+00   1.26659516e-01   8.18894593e-01   4.64962100e+00   1.00290723e+01   4.54131816e+02
              35                0                0   5.84416478e+05   4.82301819e+00   1.67972600e-01   1.52797140e+00   5.24452562e+00   4.18234132e+02   5.80477553e+01
              36                0                0   1.07196023e+06   1.48224433e+01   1.26423617e-01   1.91861519e+00   8.41183016e-01   4.24976634e+02   4.72585755e+02
              37                0                0   4.88251164e+05   9.70415434e+00   1.26135736e-01   1.78866293e+00   1.25178986e+00   2.44182790e+02   1.43127350e+02
              38                0                0   7.04481710e+04   7.14801032e+00   1.87084735e-01   9.64204883e-01   7.47064379e-01   1.91108820e+02   4.80887146e+02
