MAG,QRAD,ELLIP
16.5,1,0.147434065934074
16.5,2,0.209087912087919
16.5,3,0.270741758241765
16.5,4,0.332395604395611
17,1,0.147434065934074
17,2,0.209087912087919
17,3,0.270741758241765
17,4,0.332395604395611
17.5,1,0.147434065934074
17.5,2,0.209087912087919
17.5,3,0.270741758241765
17.5,4,0.332395604395611
18,1,0.147434065934074
18,2,0.209087912087919
18,3,0.270741758241765
18,4,0.332395604395611
18.5,1,0.147434065934074
18.5,2,0.209087912087919
18.5,3,0.270741758241765
18.5,4,0.332395604395611
19,1,0.147434065934074
19,2,0.209087912087919
19,3,0.270741758241765
19,4,0.332395604395611
19.5,1,0.147434065934074
19.5,2,0.209087912087919
19.5,3,0.270741758241765
19.5,4,0.332395604395611
20,1,0.147434065934074
20,2,0.209087912087919
20,3,0.270741758241765
20,4,0.332395604395611
20.5,1,0.147434065934074
20.5,2,0.209087912087919
20.5,3,0.270741758241765
20.5,4,0.332395604395611
21,1,0.147434065934074
21,2,0.209087912087919
21,3,0.270741758241765
21,4,0.332395604395611
21.5,1,0.129980769230775
21.5,2,0.19163461538462
21.5,3,0.253288461538467
21.5,4,0.314942307692312
22,1,0.118614760239764
22,2,0.18026860639361
22,3,0.241922452547456
22,4,0.303576298701302
22.5,1,0.113336038961042
22.5,2,0.174989885114887
22.5,3,0.236643731268734
22.5,4,0.298297577422579
23,1,0.114144605394607
23,2,0.175798451548452
23,3,0.237452297702299
23,4,0.299106143856144
23.5,1,0.12104045954046
23.5,2,0.182694305694305
23.5,3,0.244348151848151
23.5,4,0.306001998001997
24,1,0.134023601398603
24,2,0.195677447552448
24,3,0.257331293706295
24,4,0.31898513986014
24.5,1,0.153094030969032
24.5,2,0.214747877122877
24.5,3,0.276401723276724
24.5,4,0.338055569430569
25,1,0.17825174825175
25,2,0.239905594405595
25,3,0.301559440559442
25,4,0.363213286713287
25.5,1,0.209496753246755
25.5,2,0.271150599400601
25.5,3,0.332804445554447
25.5,4,0.394458291708292
26,1,0.246829045954049
26,2,0.308482892107894
26,3,0.37013673826174
26,4,0.431790584415586
26.5,1,0.29024862637363
26.5,2,0.351902472527476
26.5,3,0.413556318681321
26.5,4,0.475210164835167
27,1,0.3397554945055
27,2,0.401409340659345
27,3,0.463063186813191
27,4,0.524717032967036
27.5,1,0.3397554945055
27.5,2,0.401409340659345
27.5,3,0.463063186813191
27.5,4,0.524717032967036
