MAG,DEN,NUM
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,0,0
4,0,0
4.5,0,0
5,0,0
5.5,0,0
6,0,0
6.5,0,0
7,0,0
7.5,0,0
8,0,0
8.5,0,0
9,0,0
9.5,0,0
10,0,0
10.5,0,0
11,0,0
11.5,0,0
12,0,0
12.5,0,0
13,0,0
13.5,0,0
14,0,0
14.5,0,0
15,0,0
15.5,0,0
16,0,0
16.5,0,0
17,53.279789458656,0.997291099087122
17.5,84.4427756087851,1.58059987384524
18,133.832780214885,2.50508198006222
18.5,212.110662290716,3.97028737675761
19,336.172744712974,6.29248143553744
19.5,532.79789458656,9.97291099087123
20,844.427756087851,15.8059987384524
20.5,1338.32780214885,25.0508198006222
21,2121.10662290716,39.7028737675761
21.5,3361.72744712973,62.9248143553742
22,5327.9789458656,99.7291099087122
22.5,0,0
23,0,0
23.5,0,0
24,0,0
24.5,0,0
25,23164.861301701,433.59987384524
25.5,72982.2619971269,1366.08198006222
26,166913.525844514,3124.28737675761
26.5,307270.084172318,5751.48143553745
27,519067.795216969,9715.91099087123
27.5,843946.93548736,15796.9987384524
28,1338327.80214885,25050.8198006222
28.5,2121106.62290716,39702.8737675761
29,3361727.44712974,62924.8143553745
29.5,5327978.9458656,99729.1099087122
30,8444277.56087851,158059.987384524
30.5,0,0
31,0,0
31.5,0,0
32,0,0
32.5,0,0
33,0,0
33.5,0,0
34,0,0
34.5,0,0
35,0,0
35.5,0,0
36,0,0
36.5,0,0
37,0,0
37.5,0,0
38,0,0
38.5,0,0
39,0,0
39.5,0,0
40,0,0
40.5,0,0
41,0,0
41.5,0,0
42,0,0
42.5,0,0
43,0,0
43.5,0,0
44,0,0
44.5,0,0
45,0,0
45.5,0,0
46,0,0
46.5,0,0
47,0,0
47.5,0,0
48,0,0
48.5,0,0
49,0,0
49.5,0,0
50,0,0
