CAT,NUMDEN,AREA
calexp-HSC-R-9314-08.image.dat,157424.412707985,0.036481
calexp-HSC-R-9558-55.image.dat,167117.867555185,0.038416
calexp-HSC-R-9557-06.image.dat,169970.082273747,0.037436
calexp-HSC-R-8283-38.image.dat,181990.597286035,0.037436
calexp-HSC-R-8522-50.image.dat,183139.224276098,0.037436
calexp-HSC-R-9559-56.image.dat,187369.845897543,0.038416
calexp-HSC-R-8524-52.image.dat,187708.246563932,0.038416
calexp-HSC-R-8280-18.image.dat,188988.095238095,0.037632
calexp-HSC-R-8768-61.image.dat,189738.650562266,0.038416
calexp-HSC-R-8767-24.image.dat,190988.129945856,0.038416
calexp-HSC-R-8281-28.image.dat,191046.051928625,0.037436
calexp-HSC-R-9316-57.image.dat,191951.27030404,0.038416
calexp-HSC-R-8523-51.image.dat,192159.516867972,0.038416
calexp-HSC-R-9315-48.image.dat,193717.277486911,0.037436
calexp-HSC-R-9800-04.image.dat,197243.295223849,0.037436
calexp-HSC-R-8282-37.image.dat,200775.718450646,0.038416
calexp-HSC-R-9804-10.image.dat,203627.524308153,0.037436
calexp-HSC-R-9803-13.image.dat,204315.910037484,0.038416
calexp-HSC-R-9802-12.image.dat,207075.177009579,0.038416
calexp-HSC-R-9317-58.image.dat,207153.54204509,0.037436
calexp-HSC-R-8766-23.image.dat,207335.485214494,0.038416
calexp-HSC-R-8765-22.image.dat,209079.550187422,0.038416
calexp-HSC-R-8525-53.image.dat,212593.710953769,0.038416
calexp-HSC-R-9560-62.image.dat,216003.748438151,0.038416
calexp-HSC-R-9801-11.image.dat,217253.227821741,0.038416
calexp-HSC-R-9318-17.image.dat,219361.724281549,0.038416
calexp-HSC-R-8521-46.image.dat,220897.542690546,0.038416
calexp-HSC-R-8279-07.image.dat,227173.681972789,0.037632
calexp-HSC-R-9562-54.image.dat,227327.155351937,0.038416
calexp-HSC-R-8520-03.image.dat,229884.141156463,0.037632
calexp-HSC-R-9561-40.image.dat,231408.270114328,0.037436
calexp-HSC-R-9374-45.image.dat,242919.616826322,0.038416
calexp-HSC-R-8764-15.image.dat,244429.404414827,0.038416
calexp-HSC-R-9617-25.image.dat,247084.548104956,0.038416
calexp-HSC-R-8284-47.image.dat,247969.596001666,0.038416
calexp-HSC-R-9370-02.image.dat,248851.373009937,0.037436
calexp-HSC-R-8762-00.image.dat,251445.958170006,0.036481
calexp-HSC-R-9618-60.image.dat,254167.111870926,0.037436
calexp-HSC-R-9590-32.image.dat,270069.762598917,0.038416
calexp-HSC-R-9373-44.image.dat,270251.978342357,0.038416
calexp-HSC-R-9375-31.image.dat,272438.56726364,0.038416
calexp-HSC-R-9347-41.image.dat,273792.169929196,0.038416
calexp-HSC-R-8763-14.image.dat,273974.385672636,0.038416
calexp-HSC-R-9372-43.image.dat,281783.631820075,0.038416
calexp-HSC-R-9346-16.image.dat,293705.747605165,0.038416
calexp-HSC-R-9589-05.image.dat,295677.957046693,0.037436
calexp-HSC-R-8526-21.image.dat,297115.785089546,0.038416
calexp-HSC-R-9613-01.image.dat,302916.978309649,0.037436
calexp-HSC-R-9348-42.image.dat,303987.921699292,0.038416
calexp-HSC-R-9616-35.image.dat,307840.483132028,0.038416
calexp-HSC-R-9349-26.image.dat,309610.578925448,0.038416
calexp-HSC-R-9591-33.image.dat,310860.058309038,0.038416
calexp-HSC-R-8285-27.image.dat,314686.588921283,0.038416
calexp-HSC-R-9592-20.image.dat,325435.409766001,0.037436
calexp-HSC-R-9371-36.image.dat,327259.475218659,0.038416
calexp-HSC-R-9615-34.image.dat,333871.30362349,0.038416
calexp-HSC-R-9614-30.image.dat,333956.619296933,0.037436
