x,y,luminosity_counts,hlr_pixel,q,theta,n
1889.6,43.3,2.88197,2.220,0.63,59.8,4
1557.2,36.8,8.30076,3.311,0.63,-82.8,4
1212.4,29.9,48.87547,5.685,0.81,-73.1,4
4075.6,28.7,11.70954,3.802,0.48,64.7,4
830.5,29.6,61.32768,1.730,0.96,33.9,4
3150.6,29.9,14.23245,1.809,0.96,66.8,4
3697.2,24.3,10.11339,3.231,0.46,66.4,4
3379.2,22.4,15.18544,3.955,0.78,-9.8,4
968.3,23.6,26.28562,3.889,0.72,13.9,4
179.9,10.7,56.66747,2.589,0.87,72.0,4
888.6,22.3,34.85792,3.658,0.38,18.7,4
617.4,16.1,37.39612,4.365,0.36,-52.1,4
564.4,24.6,3.91983,2.192,0.72,24.1,4
2388.8,18.4,29.71629,4.213,0.81,-16.2,4
1597.9,20.5,10.26787,4.050,0.86,37.4,4
4096.0,17.6,19.93093,2.219,0.92,-57.0,4
1450.4,18.8,5.33390,2.352,0.79,67.7,4
3828.8,17.8,5.26444,1.765,0.86,85.5,4
3812.6,16.3,6.04091,2.390,0.76,52.1,4
1345.0,16.7,4.28061,2.226,0.78,-39.5,4
4198.5,11.8,33.73739,1.984,0.60,87.5,4
4143.7,14.9,3.83618,1.961,0.83,44.7,4
1867.7,11.2,18.26775,2.142,0.93,84.5,4
445.9,14.3,2.13866,1.735,0.74,67.2,4
3027.4,11.7,11.79299,2.770,0.92,35.2,4
3543.2,4.9,28.42369,3.259,0.61,88.7,4
3404.1,11.1,2.00310,1.665,0.61,-80.2,4
1806.0,11.4,3.91067,1.681,0.80,42.4,4
520.1,10.8,5.47432,1.625,0.97,-51.7,4
415.1,11.5,4.01405,2.195,0.83,-18.5,4
3293.9,9.0,6.15705,2.178,0.81,85.9,4
737.2,10.1,1.76434,1.599,0.54,77.1,4
936.4,5.6,21.33266,2.930,0.86,-10.5,4
598.0,8.1,4.67497,2.458,0.83,-48.2,4
2603.2,8.2,1.94206,2.156,0.76,47.4,4
3862.2,5.8,4.90452,1.751,0.83,30.8,4
2807.5,6.5,3.96291,2.811,0.95,10.9,4
1821.3,6.9,2.67015,2.225,0.81,30.9,4
4180.8,2.7,7.00519,2.018,0.86,-42.6,4
2471.1,3.3,4.89068,2.119,0.72,-24.2,4
1280.2,2.7,23.08288,3.214,0.41,-3.7,4
1399.6,3.2,1.64645,1.540,0.49,81.5,4
893.9,2.5,6.05291,1.884,0.56,17.6,4
2612.1,2.1,3.37993,1.999,0.66,24.1,4
2593.8,2.7,1.43465,1.734,0.29,60.5,4
1324.2,1.9,5.24095,1.894,0.43,-5.7,4
601.3,2.2,2.56727,1.607,0.82,50.7,4
1293.3,14.3,2.69069,2.479,0.40,60.8,4
1152.5,1.4,1.95957,2.029,0.45,-0.5,4
1222.0,22.4,6.62969,3.331,0.66,36.0,4
2621.4,28.3,13.55565,2.675,0.85,48.5,4
3195.7,18.5,2.56816,1.943,0.70,-61.6,4
3701.8,15.4,4.26176,3.030,0.86,-10.8,4
2112.1,13.1,1.36765,1.626,0.74,45.4,4
3758.4,43.3,45.69940,3.817,0.96,79.6,4
821.4,26.1,8.36913,2.004,0.88,58.7,4
404.4,16.9,1.46299,1.411,0.81,-79.0,4
3364.2,22.3,8.33720,3.001,0.79,4.9,4
1645.7,22.3,6.79548,2.489,0.67,23.3,4
597.4,41.7,18.87000,3.544,0.72,37.0,4
3375.5,25.5,12.55185,4.183,0.87,-4.2,4
3817.1,24.5,5.24018,3.638,0.88,37.7,4
1852.9,24.1,4.57601,2.137,0.77,-71.3,4
1057.2,22.1,5.42342,1.801,0.75,-25.4,4
2578.4,17.0,1.39201,1.380,0.61,-34.5,4
4033.2,22.8,3.22893,2.120,0.66,31.5,4
478.2,29.6,6.24524,2.269,0.77,49.5,4
4005.2,21.5,1.98426,1.302,0.80,87.5,4
3493.7,32.6,13.24638,2.449,0.72,30.5,4
4199.1,24.8,2.85016,1.498,0.69,88.9,4
3823.0,22.0,3.86923,2.316,0.54,12.2,4
455.4,22.3,3.36220,2.226,0.81,35.3,4
126.9,38.3,28.07761,6.611,0.82,-31.1,4
1351.9,31.2,16.93250,2.058,0.90,-10.5,4
1286.1,30.9,4.36420,1.844,0.75,64.7,4
3796.3,25.9,5.74166,2.012,0.71,21.6,4
1435.9,30.8,7.74273,2.263,0.70,44.1,4
3144.0,37.3,18.46524,2.952,0.90,14.6,4
1592.9,38.1,8.95360,2.435,0.85,75.9,4
3775.3,29.8,3.12102,1.898,0.77,68.5,4
3393.7,22.3,1.58829,1.496,0.70,4.6,4
3586.0,25.4,2.55564,1.712,0.93,-84.1,4
158.8,42.6,19.26658,2.362,0.85,87.5,4
261.4,38.6,9.04746,2.760,0.81,82.8,4
4149.4,28.5,5.04415,2.424,0.62,5.9,4
1604.8,26.4,3.73415,2.366,0.81,60.8,4
442.2,26.7,2.55038,2.131,0.61,-71.9,4
3567.3,30.1,4.96484,2.842,0.78,19.6,4
28.6,36.2,7.51248,1.803,0.92,38.1,4
1907.1,68.0,40.08387,1.739,0.91,31.8,4
2985.6,31.0,7.44541,3.636,0.59,1.6,4
427.9,29.9,4.05611,2.780,0.62,23.6,4
1859.2,40.8,7.29861,2.603,0.79,71.3,4
648.6,35.8,5.88125,1.795,0.93,-17.1,4
2711.0,28.2,2.55984,2.509,0.48,37.6,4
3005.9,46.1,8.99365,4.815,0.74,-88.8,4
555.6,36.4,2.62222,2.282,0.60,82.2,4
294.8,36.8,4.66501,2.054,0.77,3.6,4
3779.1,34.7,3.69809,2.132,0.86,65.6,4
2997.0,33.9,5.06493,1.927,0.93,58.8,4
53.1,34.4,3.79671,2.661,0.62,-50.2,4
1057.8,60.9,14.17317,2.486,0.89,51.6,4
2786.0,55.1,8.75705,2.846,0.65,89.7,4
2337.4,40.1,4.90496,2.380,0.59,48.1,4
1726.8,40.5,8.47444,1.991,0.88,38.9,4
2896.6,37.6,9.75513,2.088,0.96,2.9,4
337.5,37.3,8.27703,1.952,0.78,-5.9,4
100.1,34.0,5.55447,3.242,0.43,-24.1,4
991.6,32.7,2.35805,1.929,0.66,58.5,4
420.1,32.5,1.82525,1.730,0.58,-44.1,4
797.6,29.7,2.32429,2.193,0.56,33.3,4
2308.0,43.8,9.68746,1.995,0.93,-55.3,4
988.9,42.8,5.96884,2.489,0.59,-83.0,4
200.9,38.8,4.87549,2.305,0.88,-14.5,4
2324.3,31.9,1.87162,1.710,0.71,63.9,4
3813.6,55.3,29.65882,3.414,0.50,-30.0,4
3868.3,50.6,61.29315,1.756,0.93,45.2,4
1130.8,35.7,1.99970,1.741,0.61,72.6,4
2176.5,46.7,16.04557,2.019,0.96,46.7,4
1785.7,34.1,2.75489,2.427,0.39,0.8,4
3618.8,35.2,1.56675,1.797,0.48,-45.1,4
2399.5,35.0,2.75615,2.211,0.63,-26.9,4
3188.1,43.9,5.11864,2.194,0.82,-31.5,4
2432.2,44.5,8.56762,5.539,0.84,73.8,4
3047.5,36.9,1.82096,1.549,0.62,26.4,4
842.2,56.5,18.03643,3.256,0.86,-61.3,4
3625.0,44.1,3.53917,2.180,0.77,56.5,4
3126.6,41.6,2.02844,1.769,0.85,-23.2,4
3000.2,65.4,46.58007,4.178,0.77,-4.4,4
2421.1,64.7,46.32003,2.125,0.86,55.0,4
2282.2,62.3,21.10883,3.819,0.55,-38.0,4
3738.6,50.2,8.77488,2.907,0.61,-29.6,4
2490.4,50.3,10.78240,1.866,0.98,-18.6,4
3425.5,45.3,4.46101,2.935,0.70,-46.1,4
