X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,XX_OUTPUT,YY_OUTPUT,XY_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,600.861673868219,2456.85464442328,16.5902560838179,46.2300507830156,49.9401692638376,-1.56768556993891,6754,0.43260856793218805
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4023.66712132696,336.061949963489,17.0093282108372,47.4954274526272,65.8660297295123,3.75974339602128,6645,0.43893206152567565
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2911.65536028592,674.060418425082,17.176634785184,82.3567166939543,89.2399660231441,-20.225821231102,8398,0.4573862165754687
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3265.86580405307,1574.15541042841,17.536215745836,73.0512715534651,55.1741401185318,22.4862234171264,6346,0.4401206489241804
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,549.152387061236,3449.1636896563,17.5939913067201,72.4300950236329,76.8573268227484,-11.6097378743904,6882,0.44935781314701384
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,646.154844834153,1663.55339125884,17.9095624926708,40.2895688699183,53.4273886486615,-3.16219799576719,4687,0.435470644971443
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3642.4690901581,1382.93352454813,18.2058902887999,54.4521802000837,56.0625087843325,-12.7661321063373,4830,0.43527337597481186
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,619.448880604415,1434.86318090578,18.1284072324217,94.9876190519447,67.1024775845341,-18.2337139078287,6082,0.45294409268637414
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2328.14643567659,3767.15144150958,18.343946581126,41.6794969556005,39.2036184725019,-8.40690242753723,4015,0.43063740988513316
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,110.086872449397,2196.25601343058,17.9525666261349,49.4293767487356,85.0260274015894,-5.71167563626601,5824,0.4363379776921576
