X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,XX_OUTPUT,YY_OUTPUT,XY_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,600.861297056979,2456.85541184416,16.5899868688863,46.2430287876033,49.954589680139,-1.56817273130526,6407,0.4321682706974033
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4023.66628584749,336.063183331537,17.0091229264644,47.5059442701993,65.8809617894063,3.7605765391225,6626,0.43858850370076086
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2911.65485164457,674.061654867375,17.1764563209254,82.3719969333246,89.2603657462603,-20.230520042537,8218,0.4570495505352539
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3265.86454804936,1574.15660877956,17.5352463459472,73.1266975992629,55.2312447532607,22.5100449584383,6103,0.43864230019048067
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,549.151900585096,3449.16409727635,17.5932958352672,72.4837156338577,76.9133939117591,-11.6177258313052,6730,0.4482847250063849
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,646.15393812957,1663.55490339159,17.9082539296675,40.3450158375093,53.5016755816879,-3.16689478214387,4874,0.4334353321449672
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3642.46831791861,1382.93239049918,18.2043786856528,54.5386684887701,56.1531010026661,-12.786706393967,4645,0.4331534370401603
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,619.448408738563,1434.86589380499,18.1276012457308,95.0705209378101,67.1628339115494,-18.2525370995872,6093,0.4515017949080472
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2328.14653288108,3767.15219985744,18.3431512491865,41.7089456082741,39.2397506423433,-8.41552903883426,3266,0.42936493774259243
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,110.038410096085,2196.12876536838,17.9508037888295,49.5110796757611,85.2836010033612,-5.70026693109248,5749,0.4497825059348233
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,91.5879292875716,75.1021020158087,21609.2754492717,3055.63589222562,2543.25318175979,18.7089154698682,75.9513327444194,69.8257056750215,11.3946141881904,4807,0.46128383457969596
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,97.1874501296136,70.9468385946179,21661.7285137884,3936.46375586502,2566.89141339712,18.8326494320591,86.6546461646434,66.2016367442314,16.652959469328,6620,0.4470109355023912
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,61.2596907253587,50.2329463947941,9667.48094839824,3444.56881365515,3792.34342924718,18.7863385677445,30.6536301999075,40.9441131704545,-0.721467084727574,2878,0.4288685607533216
1501.0,3817.4,18.6676745537213,6.956,0.26,8.9,67.1079351733339,49.6598720282671,10469.5820564768,1499.98265444968,3816.44029799717,18.8240991351353,48.1928196651357,31.0600471444926,2.58304548243402,4285,0.4196521148658902
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,64.5400914590715,47.1142667651222,9552.82640606506,1174.07246185877,1774.53863025363,18.7671036656394,42.6015529896167,29.6148530700158,4.84111009798418,2634,0.4274844183397498
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,76.8922278424794,64.5894713876827,15602.4948194647,1512.14430843388,1692.84556690389,18.5933142641986,53.3028396963876,53.2909123461949,7.18324730291803,3659,0.4398545053109675
2753.8,65.1,18.976807254764,6.826,0.33,65.2,67.9812049237334,45.5474072989014,9727.52579712067,2752.9043120858,64.0983408067891,19.1292639890527,32.6074548778382,46.7787286825256,9.05727836199978,2553,0.4064464529097727
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,76.0651035064347,47.9210152090539,11451.4727321584,3131.63741445697,918.909733512142,19.1165147241154,30.5290871663207,60.7434513594794,-4.01260448194577,2761,0.42738803533873276
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,86.7778967002815,74.6289911622421,20345.415480385,2086.60682186322,2687.01561537414,19.0640012334931,64.9984952961188,80.8896316999019,-3.82489714491445,4315,0.4276506587230668
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,68.7522639703358,46.7515394998284,10097.9401653139,3567.55119312421,3362.03968755049,19.0136243831496,44.8658569103512,34.1346930066555,9.50801972890912,3287,0.43304985296180215
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,63.9570705917172,62.0383584739657,12465.1851687154,1684.34092422544,1519.55752536267,19.1059873031391,45.019885379021,46.742129217738,0.418160095041704,3292,0.435497196881021
