OBJ_ID,BRIGHTNESS,MAGNITUDE,MAX_X,MAX_Y,SKY,UPPERLIMIT,X,Y,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,POSITION_ANGLE,ELLIPTICITY,AREA,SEMI_MAJOR
1,58.015,-4.409,195,24,0.005292,2.0643,178.34,10.9,10.584,5.557,6.697,0.41,698,7.09
2,25.113,-3.5,947,25,0.00461,1.7174,931.091,9.2,9.68,5.485,-24.086,0.487,597,9.062
3,90.364,-4.89,1720,25,0.005872,1.982,1700.287,6.81,10.184,6.13,2.096,0.23,754,6.279
4,185.24,-5.669,375,53,0.005161,2.4128,346.599,15.552,25.097,9.822,-34.239,0.588,1770,17.007
5,84.766,-4.821,3276,47,0.005021,2.4498,3253.484,26.365,12.011,10.749,-3.003,0.0669999999999999,1397,8.819
6,72.078,-4.645,661,72,0.005698,2.5793,610.014,28.512,27.35,8.157,-41.228,0.699,1688,24.678
7,6.5885,-2.047,608,20,0.005135,0.91631,597.644,8.927,5.784,3.185,-47.628,0.415,210,5.22
8,22.916,-3.4,1480,38,0.008054,1.8953,1445.276,19.901,13.861,7.765,-14.275,0.429,1036,13.347
9,14.586,-2.91,3052,27,0.006433,1.5605,3032.633,14.053,9.947,4.748,25.561,0.536,510,9.226
10,24.129,-3.456,3553,25,0.004094,1.3627,3542.905,7.912,7.4,5.071,71.893,0.292,405,5.83
11,2.7441,-1.096,3917,12,0.005892,0.67382,3910.698,6.123,3.481,2.915,-35.772,0.124,121,3.389
12,3.9132,-1.481,1175,19,0.005429,0.84396,1164.322,9.891,4.766,3.791,32.689,0.166,210,4.519
13,109.84,-5.102,1336,38,0.005267,2.8205,1296.735,9.596,16.835,9,-4.623,0.388,1551,13.042
14,23.038,-3.406,1365,43,0.005971,1.7413,1347.918,27.85,10.268,6.275,63.387,0.368,673,8.851
15,8.5217,-2.326,3948,22,0.005992,0.98846,3935.85,11.751,6.103,3.56,-39.965,0.466,251,5.869
16,6.3912,-2.014,2481,17,0.003801,0.96172,2470.898,6.445,6.473,3.688,23.895,0.32,239,5.799
17,13.443,-2.821,436,40,0.006025,1.4265,418.744,21.063,11.603,5.609,55.944,0.539,595,11.856
18,13.441,-2.821,3316,34,0.004939,1.4058,3299.008,14.136,10.499,5.491,46.346,0.476,490,10.235
19,3.9504,-1.492,525,18,0.004724,0.62619,520.388,11.107,3.565,2.175,73.569,0.436,94,3.301
20,6.7624,-2.075,3871,19,0.005243,1.0717,3859.783,7.434,6.207,4.825,16.738,0.192,290,5.684
21,123.5,-5.229,3786,32,0.004362,2.0635,3752.169,10.196,12.851,7.894,17.433,0.295,1158,8.45
22,55.833,-4.367,3785,65,0.004341,2.0543,3761.192,42.604,10.725,8.763,-22.989,0.225,971,8.623
23,26.706,-3.567,3750,69,0.004423,1.7869,3730.063,50.392,9.316,8.12,37.284,0.108,841,8.725
24,2.5697,-1.025,685,15,0.00694,0.61681,681.101,8.496,3.35,2.2,82.361,0.413,90,3.197
25,28.114,-3.622,982,41,0.004685,1.559,967.855,22.774,8.477,6.545,-80.322,0.179,560,6.534
26,4.3101,-1.586,957,36,0.004734,0.96986,949.003,25.15,7.054,2.597,-54.956,0.648,198,6.952
27,41.11,-4.035,1882,48,0.00586,2.1371,1862.634,22.302,12.141,8.874,-64.731,0.405,1060,12.527
28,40.492,-4.018,2407,43,0.00481,2.0726,2388.365,21.627,10.944,9.946,-27.909,0.087,1004,9.296
29,5.7454,-1.898,2291,26,0.005655,0.95221,2282.801,14.375,6.414,3.099,58.787,0.537,226,6.367
30,20.999,-3.306,4110,36,0.005784,1.3076,4096.757,19.393,8.683,4.386,55.771,0.488,425,6.905
31,36.466,-3.905,908,40,0.004688,1.5882,888.507,23.162,9.426,6.59,-15.754,0.268,677,7.285
32,9.7336,-2.471,1654,42,0.004477,1.3239,1643.626,26.798,7.196,4.904,-73.734,0.33,337,7.029
33,1666,-8.054,2798,106,0.006334,NA,2753.557,65.466,22.937,19.352,81.882,0.111,4928,10.343
34,15.168,-2.952,4085,46,0.00595,1.5569,4075.232,28.415,9.081,4.251,-81.079,0.543,450,8.207
35,16.031,-3.012,579,54,0.004492,1.5191,561.539,31.614,12.567,5.272,-49,0.595,562,12.5
36,14.259,-2.885,3594,48,0.003905,1.3952,3572.475,29.704,10.184,7.196,-28.111,0.27,517,9.806
37,17.132,-3.085,2633,41,0.00655,1.5105,2619.997,26.705,7.199,6.705,43.365,0.137,500,6.487
38,5.7255,-1.895,1067,31,0.005491,0.92278,1056.934,22.942,4.46,4.018,-18.98,0.103,198,4.214
39,9.5719,-2.452,2848,49,0.006419,1.3094,2834.539,36.097,7.388,4.98,80.011,0.39,400,7.338
40,6.1983,-1.981,1034,40,0.004904,0.92342,1023.619,29.746,7.208,3.137,24.196,0.589,224,7.347
41,21.764,-3.344,3511,53,0.004653,1.5545,3488.104,34.352,11.255,8.036,4.647,0.32,687,10.597
42,3.5725,-1.382,3073,36,0.005356,0.70933,3066.498,28.071,4.003,2.893,85.057,0.271,129,3.867
43,15.583,-2.982,1007,58,0.004821,1.7492,991.509,43.349,8.929,6.673,75.272,0.25,594,8.674
44,11.102,-2.613,2356,58,0.005291,1.3314,2342.588,43.896,8.597,4.944,62.652,0.434,408,8.451
45,162.53,-5.527,1822,75,0.00512,2.5173,1791.154,49.739,13.526,10.805,44.481,0.236,1636,9.362
46,9.4057,-2.433,2903,54,0.006953,1.078,2895.69,38.879,6.206,4.065,79.69,0.346,277,5.453
47,5.0938,-1.768,3197,53,0.005066,0.83768,3187.567,44.264,4.295,4.043,43.092,0.043,195,3.971
48,11.401,-2.642,272,59,0.005376,1.2813,261.1,42.399,7.39,4.92,75.262,0.338,387,6.843
49,10.346,-2.537,931,64,0.004804,1.276,920.952,49.91,9.144,3.469,75.196,0.628,329,8.66
50,22.364,-3.374,857,79,0.005211,1.5446,844.412,59.637,9.497,5.126,65.246,0.496,544,8.54
51,16.565,-3.048,2023,90,0.004793,1.5581,2006.845,69.121,10.211,5.887,63.744,0.439,606,9.752
52,25.208,-3.504,2573,87,0.005237,1.9373,2547.989,63.003,15.359,5.96,49.118,0.618,898,14.998
53,13.861,-2.854,799,88,0.005896,1.6899,786.569,72.978,11.049,5.073,-52.049,0.55,572,10.765
54,10.701,-2.574,1841,78,0.00525,1.246,1829.122,61.995,8.531,4.213,-67.411,0.473,381,7.828
55,11.799,-2.68,1248,80,0.004698,1.3743,1234.242,66.875,7.207,5.3,-30.553,0.284,407,7.015
56,3.6602,-1.409,3291,68,0.005203,0.7913,3281.313,61.442,5.434,2.647,-15.767,0.552,169,5.433
57,34.536,-3.846,2393,80,0.004952,1.8411,2372.161,66.449,9.003,6.617,0.782,0.233,627,6.753
58,27.871,-3.613,1194,100,0.004918,1.8518,1176.191,79.512,11.208,8.82,-50.287,0.198,978,10.747
59,12.735,-2.763,540,82,0.005263,1.2413,527.139,71.722,6.515,5.107,5.778,0.255,377,6.171
60,132.52,-5.306,1077,97,0.005633,2.4543,1055.65,72.391,11.941,9.505,86.685,0.189,1300,7.793
61,8.4529,-2.318,377,87,0.005402,1.127,359.093,74.708,8.033,4.329,-21.189,0.455,340,8.07
62,8.5898,-2.335,334,74,0.005215,1.0709,323.54,64.127,5.627,3.994,-28.538,0.29,263,5.396
63,7.4831,-2.185,2706,96,0.00637,1.1092,2694.009,81.381,7.049,4.155,-70.572,0.409,299,6.561
64,2.9405,-1.171,3183,84,0.005255,0.77689,3175.449,77.725,3.382,3.119,3.609,0.185,125,3.294
65,47.948,-4.202,1919,88,0.005871,1.8479,1905.405,69.84,8.246,6.07,-51.58,0.339,586,6.401
66,12.396,-2.733,1655,95,0.005236,1.3349,1639.788,84.371,8.184,5.037,2.634,0.409,471,8.416
67,4.0925,-1.53,1445,98,0.006654,0.94404,1436.933,85.691,5.818,2.769,-66.92,0.558,183,6.048
68,28.235,-3.627,1870,103,0.005383,1.7043,1855.581,79.952,11.696,5.269,72.107,0.54,681,10.256
69,3.7066,-1.422,3259,93,0.006291,0.79183,3249.94,86.35,4.824,3.078,18.567,0.385,173,4.808
70,2.8882,-1.152,1006,74,0.005035,0.61891,999.533,68.252,3.762,2.652,41.424,0.356,113,3.592
71,3.6538,-1.407,543,95,0.005264,0.7224,533.265,87.957,4.911,3.021,-10.523,0.407,171,4.909
72,5.6113,-1.873,3453,102,0.00513,0.84246,3445.281,92.242,5.281,3.89,78.702,0.278,196,5.185
73,15.998,-3.01,1228,107,0.004762,1.0437,1217.619,97.252,5.612,4.455,73.781,0.16,292,4.265
74,10.328,-2.535,304,125,0.005213,1.0311,294.286,105.918,10.179,3.365,77.793,0.677,364,9.984
75,7.7539,-2.224,40,110,0.004592,1.0278,31.765,100.73,4.717,4.611,76.289,0.025,238,4.229
76,8.136,-2.276,3401,111,0.005501,0.88969,3393.545,102.663,5.111,3.509,-71.02,0.334,209,4.592
77,4.8511,-1.715,2056,104,0.004495,0.7231,2047.468,97.734,4.684,2.708,-13.71,0.426,146,4.392
78,58.461,-4.417,2021,121,0.005061,2.7855,1983.763,94.369,19.044,9.535,20.962,0.487,1503,16.493
79,12.961,-2.782,4200,125,0.004713,1.5887,4189.295,109.792,8.432,6.38,-26.248,0.283,513,8.616
80,294.48,-6.173,3883,80,0.005717,2.7351,3852.372,53.995,14.495,10.833,-8.643,0.41,1862,11.115
81,49.238,-4.231,3829,80,0.004842,2.058,3803.445,59.418,17.758,6.427,-27.81,0.689,1199,16.993
82,15.093,-2.947,3909,81,0.005956,1.3278,3896.86,69.722,7.162,4.682,38.803,0.35,396,6.413
83,23.553,-3.43,3917,120,0.005738,1.685,3900.683,100.429,11.295,5.284,-64.734,0.539,677,10.483
84,42.142,-4.062,3835,45,0.004731,2.2551,3810.956,22.379,11.888,8.876,-15.796,0.319,1192,11.584
