OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,414.021,12.198,10.035,24.496,5.956,4.723,427,23,8.181,0.207,-14.922,-8.129e-05,0.04951,365,0.9732
2,935.498,6.74,17.322,23.904,5.574,3.546,949,18,13.206,0.364,-6.177,-0.000514,0.05056,340,1.0566
3,181.249,11.887,59.448,22.565,6.967,4.529,207,29,27.6,0.35,25.392,6.885e-05,0.05037,706,1.4149
4,1863.362,22.606,29.41,23.329,14.238,5.414,1879,52,15.16,0.62,-73.337,0.0004941,0.04944,854,1.4884
5,2809.638,10.437,7.639,24.792,6.439,4.207,2821,25,6.73,0.347,54.209,0.0003829,0.04944,313,0.94352
6,350.764,11.684,156.26,21.515,6.633,5.624,369,36,49.855,0.152,-44.64,0.0007884,0.04975,1079,1.7838
7,337.199,36.624,10.486,24.448,6.3,3.123,354,43,9.377,0.504,2.527,0.0007512,0.04968,277,0.96482
8,610.223,24.683,68.875,22.405,16.437,8.592,638,60,24.382,0.477,-53.288,-0.0007679,0.05077,1676,1.9755
9,1699.907,7.154,90.92,22.103,6.69,5.537,1718,31,36.25,0.172,-5.987,-0.0001524,0.05033,830,1.5736
10,2470.213,4.437,3.963,25.505,3.758,2.52,2476,12,5.387,0.33,29.867,-0.001279,0.04995,126,0.66096
11,3292.11,10.086,8.7668,24.643,6.385,4.427,3302,26,7.493,0.307,-81.283,-0.0015,0.04917,320,0.84125
12,4193.066,12.743,36.035,23.108,8.698,5.731,4200,37,19.949,0.341,44.649,-0.0006937,0.05008,593,1.3223
13,886.883,23.964,46.387,22.834,11.069,6.771,920,50,20.273,0.388,-10.296,-0.0002408,0.05033,1086,1.6879
14,895.453,5.334,5.9503,25.064,4.685,3.308,906,15,5.928,0.294,12.92,-0.0002841,0.05035,230,0.74557
15,1815.858,9.601,7.3132,24.84,8.41,3.975,1833,20,5.816,0.527,-4.604,-2.841e-05,0.0496,390,0.96876
16,2612.575,4.092,2.3954,26.052,3.616,1.666,2620,10,4.161,0.539,-37.586,-0.0006976,0.05001,75,0.39516
17,3750.736,9.834,118.49,21.816,6.703,6.028,3771,33,42.226,0.101,-3.382,-2.491e-05,0.04946,983,1.6029
18,3758.924,42.791,66.424,22.444,13.425,5.766,3786,64,25.985,0.571,-28.272,-0.0001854,0.04945,1276,1.873
19,3549.366,13.165,28.829,23.35,14.487,4.323,3576,38,15.89,0.702,44.882,-0.0002788,0.05021,663,1.4876
20,1350.825,24.799,23.029,23.594,9.28,4.417,1363,40,14.05,0.524,74.46,9.393e-06,0.04997,552,1.2053
21,4087.124,22.916,30.959,23.273,13.085,4.251,4108,46,16.943,0.675,-35.587,0.0007213,0.05003,694,1.288
22,3253.84,26.903,84.23,22.186,8.003,7.129,3271,49,31.536,0.109,70.706,-0.001153,0.04951,1236,1.7972
23,438.732,24.017,16.876,23.932,14.7,4.951,461,38,10.071,0.663,-24.774,-0.0003955,0.04942,694,1.5366
24,3812.81,21.807,25.682,23.476,14.048,5.531,3836,44,13.779,0.606,-13.145,0.0006255,0.04993,786,1.55
25,4145.412,21.174,8.8381,24.634,7.287,4.878,4157,33,7.851,0.331,47.148,-0.0001906,0.05018,304,0.94632
26,2620.827,27.948,15.653,24.014,6.038,5.458,2637,40,10.513,0.096,-34.199,-0.000652,0.0502,488,1.0913
27,2709.75,25.558,3.853,25.536,3.316,3.12,2716,33,5.065,0.0590000000000001,-78.718,-0.0002108,0.0498,140,0.73035
28,1212.753,30.372,60.018,22.554,10.585,6.642,1239,55,24.366,0.373,-38.746,0.0001729,0.05024,1205,1.7493
29,3490.667,29.698,15.036,24.057,7.123,5.09,3501,44,10.171,0.285,86.458,-0.001149,0.05017,483,0.9178
30,833.716,38.228,96.164,22.042,16.866,5.31,857,87,33.25,0.685,65.279,-3.777e-06,0.05016,1463,1.6776
31,560.013,29.181,8.1755,24.719,8.81,3.473,573,45,6.941,0.606,-52.896,-0.0007983,0.04994,329,0.92386
32,3409.52,34.754,549.7,20.15,9.889,8.716,3448,76,96.245,0.119,-22.863,-0.002075,0.05037,3110,2.3936
33,3371.97,22.835,36.996,23.08,8.643,6.034,3390,40,19.18,0.302,7.043,-0.002349,0.04978,741,1.3505
34,1058.491,20.796,8.9015,24.626,6.934,4.48,1074,34,7.084,0.354,-24.968,3.681e-05,0.05018,377,0.93088
35,1439.415,26.634,21.844,23.652,9.733,7.967,1458,47,12.187,0.181,-46.818,-0.0007834,0.05066,741,1.5317
36,1647.867,22.436,8.7857,24.641,6.364,4.487,1662,32,7.409,0.295,24.202,0.0001066,0.05028,339,1.0344
37,37.041,33.581,16.467,23.958,10.996,5.585,58,46,9.996,0.492,-9.025,-0.0003133,0.04911,649,1.2792
38,3145.298,34.595,33.746,23.179,9.068,4.514,3163,49,18.171,0.502,-26.52,-0.0008826,0.04974,675,1.387
39,3122.223,61.082,24.165,23.542,13.104,5.289,3148,83,13.024,0.596,-25.584,-0.0008142,0.04962,817,1.4984
40,475.62,31.555,9.6251,24.541,7.137,4.197,489,44,8.259,0.412,-42.096,-0.0005196,0.04942,315,0.94648
41,2281.542,64.818,338.21,20.677,9.61,8.607,2311,97,73.055,0.104,-60.325,0.0003232,0.04983,2461,2.3383
42,2259.912,103.017,58.705,22.578,7.553,4.699,2277,118,26.775,0.378,-18.425,0.0002942,0.04939,790,1.2953
43,2316.039,40.172,23.135,23.589,13.201,7.131,2346,61,12.015,0.46,-9.562,0.0007569,0.04995,853,1.3998
44,3625.039,42.61,11.359,24.362,11.754,7.384,3647,61,7.553,0.372,20.266,-0.0003897,0.05014,564,1.2064
45,201.471,38.745,4.4361,25.382,4.327,2.771,210,46,5.363,0.36,49.507,0.0002663,0.05034,164,0.70291
46,2896.752,37.535,9.6067,24.544,3.959,3.163,2906,46,9.373,0.201,17.335,-0.0003013,0.04923,223,0.74419
47,1247.609,49.189,5.5509,25.139,6.919,3.991,1257,61,5.271,0.423,-73.503,0.0007946,0.05013,263,0.83911
48,3472.484,43.471,3.1602,25.751,3.759,2.605,3479,50,4.346,0.307,-24.381,-0.001666,0.05042,120,0.56924
49,519.564,10.404,6.7482,24.927,4.864,3.473,529,20,7.127,0.286,-48.003,-0.0009483,0.04964,215,0.6209
50,923.307,55.707,8.2087,24.714,5.253,3.578,934,66,7.627,0.319,-49.869,-0.0003035,0.05043,265,0.88297
51,3279.898,61.783,6.2143,25.017,6.966,2.817,3295,70,6.405,0.596,-23.181,-0.001037,0.04941,229,0.74579
52,1793.708,50.41,167.32,21.441,12.398,7.326,1836,75,45.777,0.409,20.627,-0.0003786,0.04964,2099,2.1079
53,1296.015,9.657,102.8,21.97,11.802,8.368,1330,41,35.138,0.291,-12.53,0.0005988,0.04966,1407,2.1175
54,1853.769,82.32,33.129,23.199,12.414,6.603,1872,110,15.917,0.468,-75.509,-3.059e-05,0.04928,994,1.6202
55,523.835,72.453,12.744,24.237,5.742,5.217,536,85,9.816,0.092,-23.613,-1.429e-05,0.04965,391,1.0114
56,1185.216,78.745,6.3791,24.988,6.358,4.174,1194,91,6.207,0.344,89.993,-0.0005602,0.04985,264,0.88063
57,1722.708,46.049,18.525,23.831,11.466,5.785,1735,74,10.527,0.495,-79.321,-0.0005316,0.05011,718,1.4756
58,1703.317,67.008,16.116,23.982,12.147,5.948,1719,93,8.662,0.51,78.5,-0.0003831,0.05008,851,1.5007
59,773.323,78.477,7.4476,24.82,5.102,4.869,784,89,6.861,0.046,-15.389,0.0004388,0.04988,283,0.99127
60,647.728,34.37,5.6921,25.112,4.129,2.589,655,42,6.59,0.373,47.191,-0.0006965,0.05045,162,0.63194
61,2387.96,17.688,33.275,23.195,6.872,6.404,2405,34,17.265,0.0679999999999999,-0.049,0.0003367,0.04958,769,1.4497
62,2398.054,35.89,3.6742,25.587,4.851,2.676,2406,43,4.884,0.448,16.988,0.0002249,0.0496,135,0.63306
63,1558.784,37.275,8.9405,24.622,5.339,4.05,1574,48,7.95,0.241,-17.36,-0.0004826,0.04996,304,0.94719
64,1653.895,87.012,15.757,24.006,11.645,3.909,1673,105,10.523,0.664,40.058,-0.0002885,0.04972,523,1.1023
65,3187.272,44.274,5.6665,25.117,5.675,2.709,3194,56,5.805,0.523,87.01,-0.000958,0.04975,222,0.70269
66,2176.608,47.371,15.784,24.004,4.542,3.954,2188,59,12.344,0.129,43.184,-0.0002132,0.04974,323,0.89342
67,1803.341,85.915,17.262,23.907,5.568,4.408,1816,98,12.401,0.208,15.332,-0.0004246,0.04957,409,1.182
68,2668.101,90.494,5.1916,25.212,7.195,4.143,2675,104,5.123,0.424,-85.776,-0.0004335,0.05051,252,0.73932
69,2547.379,59.735,20.496,23.721,10.418,5.562,2561,82,12.144,0.466,80.114,-0.0007703,0.05031,652,1.2446
70,2611.926,92.278,7.3704,24.831,5.999,4.935,2625,104,6.462,0.177,-18.574,-0.0003441,0.05061,311,0.82701
71,3851.883,54.123,288.02,20.851,11.178,6.594,3883,80,68.402,0.41,-10.558,0.0006131,0.04993,1932,1.9877
72,3813.665,55.757,32.184,23.231,6.501,4.831,3826,72,18.457,0.257,-51.494,0.0004622,0.04989,572,1.3084
73,3225.954,47.64,12.605,24.249,7.747,3.909,3238,62,9.575,0.495,77.653,-0.00101,0.04965,395,1.0993
74,1903.993,69.721,49.606,22.761,7.493,6.343,1918,90,22.872,0.153,-28.098,0.0008398,0.04941,868,1.5821
75,791.547,66.179,8.0389,24.737,5.209,4.319,800,77,7.116,0.171,58.577,0.0002817,0.05024,298,0.89287
76,2213.791,55.681,14.756,24.078,14.323,4.975,2239,73,8.816,0.653,-32.337,-0.0003055,0.04989,681,1.3015
77,2493.102,50.425,13.1,24.207,5.468,4.481,2508,60,10.363,0.181,-0.517,-0.0009393,0.05017,352,0.97303
78,3899.202,90.511,39.711,23.003,15.92,6.681,3921,121,17.734,0.58,-87.793,0.0001388,0.04961,1130,1.921
79,2925.291,127.747,128.05,21.732,16.923,8.891,2965,163,35.51,0.475,-56.356,-0.00023,0.04992,2491,2.445
80,3592.085,68.272,5.1503,25.22,3.468,2.891,3600,74,6.213,0.166,-9.489,-0.0006361,0.05027,151,0.67024
81,956.687,95.642,7.52,24.809,8.875,3.412,972,105,6.354,0.616,9.844,-0.0004303,0.0504,344,0.96787
82,2690.599,80,7.2984,24.842,7.784,3.817,2699,95,6.18,0.51,71.614,-0.0003165,0.05033,344,0.96797
83,4047.89,94.874,9.0386,24.61,4.978,3.082,4059,104,8.728,0.381,19.033,0.0004486,0.04986,238,0.68152
84,2010.586,75.685,6.9912,24.889,4.698,3.007,2023,83,7.353,0.36,-12.714,-0.0006077,0.04962,210,0.75513
85,4147.874,110.867,30.993,23.272,12.203,6.457,4165,138,15.388,0.471,53.792,8.58e-05,0.04985,895,1.3466
86,1758.28,103.182,8.0151,24.74,8.226,2.66,1772,117,7.513,0.677,-27.591,-0.0005396,0.04987,259,0.78002
87,3780.849,109.617,5.9269,25.068,4.297,3.518,3789,119,6.426,0.181,64.861,-0.0006547,0.04944,199,0.71864
88,2694.432,111.847,4.97,25.259,4.916,3.133,2705,119,5.663,0.363,-31.022,5.095e-05,0.05022,185,0.69201
89,3350.139,119.416,11.912,24.31,6.311,4.527,3366,131,9.062,0.283,39.599,-1.69e-05,0.04966,400,1.0882
90,3023.145,13.971,16.884,23.931,9.719,5.728,3040,27,10.556,0.411,-13.033,-0.001259,0.0499,599,1.1801
91,2997.597,53.674,88.88,22.128,15.869,10.537,3024,83,27.905,0.336,71.583,-0.0006302,0.04993,2133,2.377
92,1130.549,128.646,10.894,24.407,9.65,4.681,1145,144,7.967,0.515,38.233,-0.0004724,0.04981,458,1.1587
93,3862.359,5.781,4.5384,25.358,3.276,2.874,3870,12,5.83,0.123,-4.665,0.0007553,0.04998,143,0.62087
94,638.38,125.128,4.2345,25.433,5.236,3.095,646,134,4.758,0.409,54.254,-0.0005794,0.05006,197,0.67853
95,3194.888,16.521,5.0096,25.251,5.055,3.251,3203,26,5.623,0.357,-67.063,-0.000952,0.04986,195,0.78375
96,3228.365,128.081,9.4674,24.559,5.75,3.924,3241,138,8.112,0.318,11.416,-0.0002038,0.04944,314,0.85288
