OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,182.59,16.674,61.945,22.52,12.356,5.667,14.366,7.572,25.353,0.541,58.193,0.007984,0.04991,1091,2.7144
2,350.901,12.376,141.22,21.625,7.329,6.328,11.55,9.414,45.382,0.137,-37.264,0.00781,0.04985,1252,2.5165
3,518.206,10.073,4.2437,25.431,3.817,3.691,4.206,3.705,5.197,0.033,37.916,0.007131,0.05007,149,0.7979
4,614.052,26.251,77.981,22.27,21.178,13.946,22.886,14.827,23.604,0.341,-19.719,0.006654,0.05027,2428,4.0255
5,891.027,17.966,42.142,22.938,10.795,7.189,12.688,8.002,19.425,0.334,-38.912,0.006525,0.05047,958,2.4934
6,936.143,7.789,17.272,23.907,5.277,4.026,6.977,4.891,12.94,0.237,-43.089,0.006565,0.0505,348,1.3172
7,1293.391,7.697,91.608,22.095,15.302,5.529,19.304,6.607,32.901,0.639,-1.727,0.007955,0.0505,1296,2.6755
8,1699.737,6.6,76.221,22.295,6.33,4.983,10.142,6.241,32.834,0.213,-8.21,0.009132,0.04966,726,2.0149
9,2382.685,19.401,25.576,23.48,9.803,5.949,10.855,6.76,14.092,0.393,-23.004,0.008221,0.05018,715,2.1001
10,2754.669,66.411,1564.3,19.014,16.833,12.047,33.749,23.996,162.559,0.284,56.11,0.008393,0.05009,8329,NA
11,3291.43,7.119,5.312,25.187,5.324,3.277,5.423,3.683,5.577,0.385,24.309,0.007955,0.0502,209,0.93767
12,3406.762,34.076,525.28,20.199,14.924,11.47,22.715,18.868,86.543,0.231,12.173,0.007304,0.05025,4805,6.0607
13,3543.334,6.857,19.334,23.784,5.063,3.902,6.638,4.418,14.316,0.229,-4.295,0.007141,0.05004,340,1.2995
14,3750.464,10.165,102.53,21.973,7.9,6.032,11.981,7.994,37.158,0.236,-6.538,0.007619,0.05049,1098,2.6635
15,3815.13,37.447,60.021,22.554,18.047,7.58,17.942,8.473,21.928,0.58,-87.443,0.00767,0.05073,1607,3.3096
16,3862.77,5.433,3.7238,25.573,3.53,2.375,4.108,2.485,5.242,0.327,9.206,0.007744,0.05083,121,0.78609
17,4181.67,3.837,3.4872,25.644,3.365,1.912,3.916,2.095,5.228,0.432,-8.794,0.007516,0.0509,96,0.62668
18,4196.115,14.809,25.753,23.473,7.703,3.063,10.415,3.456,16.939,0.602,-82.74,0.00757,0.05089,410,1.3552
19,441.301,24.585,38.89,23.025,25.805,8.806,24.879,8.985,14.625,0.659,12.662,0.007646,0.04991,1682,3.1169
20,1808.363,10.317,10.484,24.449,6.134,3.86,6.599,4.258,8.929,0.371,-10.208,0.009055,0.04971,317,1.3155
21,2287.402,60.625,324.07,20.723,18.019,12.014,24.497,18.283,63.649,0.333,-27.294,0.007922,0.04994,3964,NA
22,3027.101,13.74,9.8779,24.513,5.304,4.326,6.17,4.81,8.134,0.185,55.76,0.008117,0.05028,328,1.2368
23,3595.975,10.083,3.1473,25.755,4.477,2.551,4.724,2.659,3.998,0.43,66.887,0.007139,0.05,151,0.66354
24,1870.786,13.473,21.647,23.661,7.009,5.111,7.945,5.834,13.69,0.271,7.464,0.008942,0.0498,527,1.6824
25,1438.603,23.059,18.788,23.815,9.408,7.269,9.886,7.638,10.769,0.227,-25.249,0.008904,0.05058,706,2.1068
26,3255.209,25.752,64.596,22.474,8.301,6.648,11.061,8.848,25.874,0.199,-63.787,0.008001,0.05019,1139,2.7138
27,3929.832,12.838,8.9272,24.623,9.776,3.84,9.993,3.947,6.909,0.607,-15.012,0.007717,0.05084,399,1.5277
28,1234.167,21.905,14.616,24.088,10.474,5.952,10.209,6.109,9.432,0.432,7.654,0.00774,0.05048,573,1.6883
29,4096.198,18.005,17.947,23.865,6.673,3.745,8.333,4.437,12.542,0.439,78.741,0.007395,0.05092,407,1.4229
30,827.83,28.829,76.535,22.29,9.395,5.922,13.076,8.461,29.108,0.37,27.078,0.006547,0.05053,1192,3.0436
31,969.271,22.385,22.542,23.618,6.007,4.854,7.332,5.881,14.895,0.192,-56.51,0.006718,0.0505,450,1.6015
32,4146.457,24.608,11.691,24.33,7.567,4.588,8.003,4.761,8.984,0.394,69.151,0.007537,0.05091,404,1.4571
33,1643.467,21.342,9.0875,24.604,7.442,4.308,7.829,4.695,7.349,0.421,45.699,0.009061,0.04992,365,1.4237
34,1593.897,37.446,32.027,23.236,15.702,5.428,16.387,5.962,15.337,0.654,-72.435,0.00903,0.05019,982,2.628
35,1347.644,27.658,23.183,23.587,7.593,7.113,8.207,7.38,13.515,0.0629999999999999,58.71,0.00841,0.05053,653,2.08
36,2998.272,55.097,77.07,22.283,16.422,10.568,18.12,12.361,24.261,0.356,79.255,0.008118,0.05028,2166,3.816
37,3699.925,22.394,14.428,24.102,6.256,5.062,6.842,5.571,10.549,0.191,-37.064,0.007476,0.05023,425,1.5053
38,3765.473,39.772,58.689,22.579,14.919,7.2,16.422,8.45,23.297,0.517,-32.706,0.007624,0.05057,1257,2.7321
39,1021.221,20.945,5.1637,25.218,6.694,2.769,6.736,2.775,5.385,0.586,-27.028,0.006868,0.05054,226,1.107
40,1850.73,24.204,5.9531,25.063,4.748,4.137,5.04,4.23,6.139,0.129,80.627,0.009001,0.04975,218,1.0493
41,1055.691,21.867,7.3355,24.836,5.389,3.189,5.638,3.335,7.454,0.408,22.625,0.007107,0.05055,217,1.2114
