OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,184.592,16.865,66.892,22.437,15.98,7.124,19.676,8.329,23.113,0.554,36.149,-0.0005017,0.04926,1659,2.6197
2,349.649,14.461,153.22,21.537,10.664,7.923,14.647,11.155,43.699,0.257,-46.941,-0.0001947,0.04957,1840,2.8903
3,614.628,15.893,37.762,23.057,8.566,7.284,9.923,8.611,18.434,0.15,3.601,0.001159,0.04973,832,1.6506
4,884.973,19.676,39.585,23.006,11.476,6.754,13.568,7.017,18.417,0.411,-19.852,0.001658,0.04963,930,1.9758
5,936.562,7.007,14.407,24.104,5.472,3.358,7.136,3.689,11.706,0.386,5.585,0.001721,0.04964,295,0.9336
6,1279.414,5.717,17.176,23.913,4.688,4.254,5.328,5.225,13.614,0.093,-37.873,0.001282,0.0498,278,0.91642
7,1300.301,10.377,74.841,22.315,11.456,6.826,15.514,7.188,29.129,0.404,-41.789,0.001177,0.04983,1083,1.9438
8,1699.732,6.436,79.277,22.252,7.768,4.805,12.982,6.013,32.296,0.381,-0.237,0.0005911,0.04991,849,1.6996
9,1815.131,12.478,8.6904,24.652,7.701,5.757,7.566,5.636,6.832,0.252,-12.399,0.0004962,0.04982,393,1.1555
10,2469.811,4.814,4.7446,25.309,5.55,2.955,5.822,2.859,5.51,0.467,5.963,0.0005292,0.04972,173,0.77086
11,3028.581,13.096,12.084,24.294,7.175,5.526,7.767,6.136,8.378,0.23,-18.548,0.0006121,0.04981,473,1.2699
12,3256.888,30.868,74.69,22.317,14.791,6.751,18.743,8.611,26.627,0.544,64.129,-0.0003985,0.04965,1489,2.2511
13,3294.059,8.528,6.7476,24.927,5.144,4.373,5.461,4.551,6.292,0.15,37.664,-0.0004833,0.04961,261,0.9348
14,3406.566,33.905,525.41,20.199,15.232,10.719,24.071,17.22,85.518,0.296,3.415,-7.27e-05,0.04941,4859,4.7662
15,3543.304,8.07,21.301,23.679,5.547,4.679,6.459,5.759,14.57,0.156,-83.878,0.0008662,0.04934,407,1.1928
16,3750.865,10.249,101.14,21.988,8.453,6.111,13.568,7.681,35.482,0.277,9.348,0.002067,0.05008,1179,2.2802
17,3821.618,18.697,22.857,23.602,8.5,7.572,8.776,8.105,12.54,0.109,4.043,0.001988,0.05016,745,1.456
18,3862.356,7.81,4.6376,25.334,4.444,3.012,4.804,3.308,5.329,0.322,57.232,0.00197,0.05017,175,0.69226
19,4181.904,3.988,5.0354,25.245,4.137,2.158,4.939,2.319,6.398,0.478,5.492,0.001596,0.05018,133,0.64053
20,4195.218,15.522,28.959,23.346,7.945,4.547,9.592,5.151,17.586,0.428,-84.329,0.001593,0.05018,488,1.0401
21,429.022,19.742,26.407,23.446,16.803,9.368,17.01,9.277,11.659,0.443,5.547,0.00049,0.04974,1230,2.2348
22,1210.05,31.073,45.943,22.844,10.238,6.502,12.777,7.636,20.761,0.365,-83.758,0.001404,0.04969,951,1.9861
23,1865.112,13.731,18.144,23.853,7.88,3.89,8.926,4.489,12.922,0.506,-39.723,0.000596,0.04977,406,1.1136
24,2389.48,18.083,25.843,23.469,5.979,4.787,7.495,5.941,15.8,0.199,-47.923,0.000642,0.04975,520,1.2797
25,2753.482,64.747,1557.9,19.019,14.715,11.911,29.043,24.013,160.865,0.191,67.984,0.0008624,0.0499,8204,NA
26,518.13,13.489,5.0133,25.25,4.876,3.789,5.258,3.908,5.315,0.223,-56.76,0.001103,0.04977,210,0.76982
27,3695.422,22.117,15.307,24.038,9.344,5.942,10.194,6.267,9.498,0.364,-7.56,0.001928,0.04994,598,1.4058
28,4088.193,23.117,26.636,23.436,12.157,5.187,12.668,6.12,14.706,0.573,-26.999,0.001589,0.05017,675,1.7263
29,4142.481,15.642,4.2901,25.419,5.165,3.337,5.144,3.39,4.847,0.354,-24.602,0.001581,0.05017,188,0.70414
30,969.176,23.858,20.062,23.744,5.984,4.149,7.848,4.971,13.149,0.307,62.3,0.001726,0.04968,458,0.99948
31,1647.125,22.687,9.9494,24.506,6.485,5.414,6.681,5.775,7.693,0.165,80.034,0.0007562,0.04971,387,1.2461
32,1354.242,26.972,23.151,23.589,8.276,7.632,9.191,8.222,12.888,0.078,-26.369,0.0009724,0.04981,683,1.5971
33,1444.636,26.31,14.765,24.077,9.536,5.733,9.426,6.031,9.882,0.399,-24.676,0.0008263,0.04952,515,1.3343
34,1594.844,37.269,32.748,23.212,15.717,6.547,16.054,7.117,14.608,0.583,-75.801,0.0008672,0.04949,1148,2.0465
35,1051.458,19.672,8.3266,24.699,8.319,3.713,8.52,3.751,6.998,0.554,4.407,0.001619,0.04969,331,0.93619
36,1225.618,22.367,7.627,24.794,5.623,3.107,6.091,3.457,7.777,0.447,34.096,0.001398,0.04972,211,0.89609
37,829.606,29.786,69.195,22.4,6.521,5.771,9.144,8.503,28.513,0.115,29.236,0.001565,0.04963,941,1.6089
38,127.669,37.46,28.585,23.36,9.014,7.24,10.197,8.05,13.938,0.197,-46.663,-0.0005222,0.04934,928,1.6894
39,3146.426,33.392,31.879,23.241,7.551,6.109,9.078,7.565,16.791,0.191,-30.961,0.0002342,0.04975,724,1.8008
40,2620.596,27.486,12.86,24.227,4.796,4.22,5.697,4.913,10.337,0.12,69.777,0.0008082,0.04984,324,1.0627
41,2318.241,38.156,26.828,23.429,15.202,8.452,15.748,8.693,12.447,0.444,1.972,0.0008054,0.04977,1052,1.925
42,3763.08,40.212,56.907,22.612,15.959,6.846,18.423,8.192,21.803,0.571,-27.023,0.002061,0.0501,1365,2.4732
43,4030.361,23.857,4.5454,25.356,5.516,3.256,5.409,3.509,4.784,0.41,-16.817,0.001591,0.05017,204,0.75325
44,476.709,27.11,4.8125,25.294,5.309,2.818,5.585,3.06,5.251,0.469,55.125,0.0008447,0.04981,201,0.81291
45,28.044,32.672,7.7281,24.78,5.747,5.056,6.122,5.348,6.839,0.12,63.106,-0.0005219,0.04942,297,0.98746
46,259.733,36.441,9.6861,24.535,6.424,5.143,6.67,5.361,7.727,0.199,-72.802,-0.0004128,0.04933,366,1.1307
47,3000.14,55.854,71.371,22.366,16.533,8.759,18.36,9.885,23.361,0.47,71.505,0.0005715,0.04985,1959,2.9405
48,3583.517,27.358,4.2878,25.419,6.143,2.639,6.212,2.888,4.608,0.57,-20.256,0.001298,0.04946,205,0.84311
49,3496.003,36.514,14.88,24.068,6.877,5.488,7.5,6.289,10.43,0.202,37.036,0.0004735,0.04927,447,1.1772
50,3565.77,28.843,3.4145,25.667,3.394,2.235,3.777,2.684,4.822,0.342,36.076,0.001071,0.04939,116,0.58002
51,160.369,45.237,25.701,23.475,9.274,6.888,10.498,7.634,13.291,0.257,-65.791,-0.0005247,0.04929,841,1.8407
52,1790.636,49.959,138.09,21.65,10.523,7.621,15.323,11.036,39.903,0.276,28.437,0.0004723,0.04991,1947,3.185
53,4149.693,29.694,3.5608,25.621,4.885,2.01,5.558,2.153,4.742,0.589,-7.335,0.001574,0.05017,137,0.71975
54,2281.46,64.228,296.55,20.82,10.527,10.189,17.061,15.559,62.796,0.032,19.118,0.0009291,0.04976,3081,4.18
55,3855.727,54.719,276.34,20.896,15.599,8.841,21.717,13.304,60.122,0.433,8.241,0.001957,0.05017,2976,3.9402
56,96.942,35.25,6.8037,24.918,7.078,3.328,7.795,3.5,6.427,0.53,-17.531,-0.0005219,0.04938,253,0.92688
57,295.138,36.688,4.9813,25.257,3.834,2.827,4.513,3.078,5.86,0.263,-79.021,-0.000366,0.04941,163,0.70992
58,2895.804,38.142,7.6689,24.788,4.301,3.841,4.804,4.029,7.523,0.107,83.33,0.0004852,0.04982,231,0.74977
59,650.347,34.888,6.5058,24.967,5.774,3.164,5.964,3.387,6.482,0.452,5.454,0.001172,0.04972,228,0.86469
60,3184.457,44.793,9.875,24.514,6.783,5.875,7.306,5.918,7.303,0.134,75.573,-4.53e-05,0.04972,422,1.2666
61,596.571,42.644,16.579,23.951,6.228,5.453,7.271,6.212,10.967,0.124,60.43,0.001137,0.04974,485,1.1407
62,988.897,38.85,7.1625,24.862,4.843,3.785,5.121,3.961,7.056,0.218,84.443,0.001718,0.04969,234,0.8734
63,1224.987,36.742,2.0401,26.226,5.19,1.428,4.879,1.627,3.477,0.725,83.526,0.001403,0.0497,83,0.50241
64,1557.012,36.644,5.509,25.147,4.201,3.338,4.453,3.639,6.13,0.205,-65.496,0.0008776,0.04934,188,0.72954
65,1727.242,42.244,12.23,24.281,5.866,4.121,6.505,4.53,9.839,0.298,-57.113,0.000552,0.04995,333,1.1094
66,1860.88,40.633,6.3669,24.99,4.297,3.496,4.818,3.86,6.755,0.186,-74.894,0.0005572,0.04977,203,0.85304
67,2372.991,62.879,33.452,23.189,9.369,8.254,11.169,9.12,16.034,0.119,41.677,0.0006819,0.04974,944,1.8172
68,2177.943,47.09,16.08,23.984,6.881,4.426,8.357,4.962,11.402,0.357,-26.889,0.001395,0.04972,427,1.2941
69,2420.451,62.036,50.877,22.734,9.001,6.503,11.278,8.475,21.688,0.278,-72.432,0.0006078,0.04973,1035,1.9785
70,3736.806,48.991,7.8686,24.76,5.012,4.164,5.342,4.458,7.293,0.169,61.052,0.002036,0.05003,264,0.99611
71,2547.621,58.407,15.315,24.037,10.94,4.388,11.538,4.708,10.276,0.599,64.821,0.0005201,0.04976,510,1.3179
72,2491.713,52.758,12.78,24.234,6.68,4.896,7.352,5.596,9.073,0.267,88.94,0.0004486,0.04972,441,1.2405
73,3225.1,50.819,8.9437,24.621,5.838,3.789,6.707,4.278,7.646,0.351,-26.496,-0.000277,0.04968,319,1.0998
74,844.291,59.371,23.011,23.595,9.14,6.146,9.757,7.372,13.168,0.328,61.257,0.001606,0.04963,665,1.4716
75,2864.891,54.121,4.887,25.277,5.075,3.864,5.223,3.962,5.211,0.239,-62.097,0.0005064,0.04979,212,0.85442
76,3812.768,56.447,31.344,23.26,7.656,4.551,9.167,5.628,17.431,0.406,-37.641,0.002008,0.05015,614,1.4734
77,923.781,58.085,9.347,24.573,6.18,4.497,6.582,4.585,7.681,0.272,83.482,0.001719,0.04962,338,1.023
78,2212.87,58.732,8.1496,24.722,5.928,4.117,6.138,4.265,7.132,0.306,22.316,0.00126,0.04973,302,0.91612
79,3123.96,58.609,18.595,23.826,9.54,4.599,10.457,5.166,11.263,0.518,-10.197,0.000312,0.04977,619,1.3888
80,1055.609,72.076,112.92,21.868,8.316,6.627,12.166,9.853,37.624,0.203,-68.385,0.001591,0.04969,1338,2.4867
81,1905.564,69.775,50.495,22.742,9.871,5.655,12.689,7.432,21.94,0.427,-58.672,0.000678,0.04972,998,2.0165
82,321.455,61.142,7.5805,24.801,5.482,4.669,5.499,4.775,6.556,0.148,-84.178,-0.0003145,0.04948,311,1.0336
83,1825.925,59.727,6.8191,24.916,5.558,3.99,5.537,4.499,6.335,0.282,-14.085,0.0004805,0.04985,266,0.9667
84,711.253,73.21,103.63,21.961,9.139,7.133,13.198,9.947,34.266,0.219,33.812,0.001264,0.04969,1524,2.4746
85,7.969,63.648,5.6202,25.126,4.62,3.5,5.164,3.674,5.851,0.242,86.282,-0.0005668,0.04941,221,0.79524
