OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,123.308,28.376,100.93,21.99,9.684,6.461,13.007,8.588,32.69,0.333,83.42,-0.0006025,0.05444,1339,2.2204
2,276.933,10.587,106.42,21.932,6.96,6.914,10.33,9.224,36.295,0.00700000000000001,9.123,-0.000212,0.05446,990,1.712
3,640.713,11.042,11.784,24.322,4.937,4.358,5.502,4.838,9.042,0.117,-58.542,0.0002221,0.0544,309,1.0068
4,994.741,14.495,366.53,20.59,10.709,9.166,17.361,12.714,71.559,0.144,-31.934,-0.0001756,0.05486,2446,2.9534
5,1397.883,8.016,19.329,23.784,11.079,4.357,11.333,4.769,11.298,0.607,11.928,0.000599,0.05399,529,1.6042
6,1991.092,13.115,26.874,23.427,8.924,6.525,10.443,6.791,13.319,0.269,-13.093,0.0004863,0.0551,741,1.7537
7,2210.294,15.819,1587.9,18.998,22.565,9.935,29.781,14.799,162.532,0.56,-5.964,0.00053,0.0548,5240,4.4512
8,2396.928,10.718,8.1272,24.725,5.205,4.112,5.662,4.45,6.504,0.21,-9.51,0.000247,0.05463,297,0.99433
9,2726.136,10.495,21.794,23.654,3.955,3.802,5.324,4.776,14.999,0.039,-26.462,-1.135e-05,0.05446,306,1.0124
10,2911.327,10.612,6.6567,24.942,5.241,3.13,5.499,3.386,6.315,0.403,-53.87,0.000407,0.05426,211,0.77045
11,3086.284,5.757,3.1601,25.751,4.362,2.537,4.286,2.924,3.691,0.418,24.452,0.0003337,0.055,147,0.69887
12,3324.259,9.358,11.839,24.317,5.467,4.292,6.104,4.658,8.888,0.215,37.207,0.0004501,0.05438,335,1.0202
13,3576.911,7.158,17.879,23.869,8.581,4.109,9.144,4.484,11.036,0.521,-4.45,0.001262,0.05369,474,1.3372
14,3993.355,5.926,36.056,23.108,6.832,3.771,9.356,4.559,19.37,0.448,3.345,0.000511,0.05444,481,1.0277
15,1799.761,23.847,26.308,23.45,10.305,6.313,10.79,6.908,12.823,0.387,-57.544,-2.654e-06,0.05525,771,1.6959
16,593.788,12.88,7.3725,24.831,5.014,4.686,5.162,4.915,6.176,0.0649999999999999,-1.706,0.0001826,0.0544,276,1.0065
17,2647.18,17.763,5.428,25.163,5.109,3.284,5.376,3.511,5.285,0.357,64.281,-8.548e-05,0.05458,211,0.79957
