OBJ_ID,BRIGHTNESS,MAGNITUDE,MAX_X,MAX_Y,SKY,UPPERLIMIT,X,Y,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,POSITION_ANGLE,ELLIPTICITY,AREA,SEMI_MAJOR
1,103.69,-5.039,308,38,0.004491,2.6023,275.975,11.587,16.22,8.288,-0.609,0.368,1500,11.215
2,93.133,-4.923,152,61,0.003844,2.5676,124.601,29.889,16.708,9.24,64.598,0.439,1728,12.999
3,16.585,-3.049,1425,29,0.007164,1.3785,1406.644,12.174,8.573,5.705,-47.47,0.326,477,7.74
4,9.707,-2.468,1396,15,0.007107,1.0167,1382.176,5.106,8.059,3.171,-4.354,0.61,258,7.706
5,8.5579,-2.331,2406,23,0.004602,1.0099,2396.042,11.923,6.57,3.509,54.12,0.5,267,6.061
6,13.151,-2.797,3339,30,0.005187,1.4668,3325.552,12.892,7.925,5.4,56.553,0.335,457,7.584
7,7.8384,-2.236,651,18,0.004984,0.91596,642.055,9.78,4.664,3.712,28.515,0.154,195,3.953
8,2.6775,-1.069,2054,21,0.00792,0.59406,2050.094,12.048,4.384,1.972,84.249,0.634,105,4.232
9,12.695,-2.759,3720,46,0.004761,1.7057,3703.887,25.316,11.07,5.339,58.417,0.516,512,10.522
10,6.2495,-1.99,1847,35,0.003643,1.0528,1838.203,23.153,6.568,3.45,-60.223,0.434,244,6.141
11,6.0716,-1.958,3973,34,0.004338,0.98664,3966.462,24.295,5.526,3.41,-77.49,0.378,206,5.035
12,2.985,-1.187,2848,32,0.004915,0.66532,2839.818,23.583,4.868,2.493,51.113,0.487,114,4.493
13,27.149,-3.584,2465,55,0.004977,1.6686,2450.144,40.171,10.703,5.84,-46.129,0.464,663,9
14,13.092,-2.793,2478,80,0.005007,1.3455,2461.825,62.369,10.27,4.815,-53.769,0.518,512,9.519
15,18.155,-3.147,2417,59,0.004777,1.7999,2403.342,41.932,8.955,6.299,47.677,0.355,588,8.485
16,66.823,-4.562,1697,67,0.005949,1.8988,1680.135,48.278,10.96,7.953,-29.345,0.276,957,7.872
17,14.677,-2.917,1348,71,0.00678,1.8272,1331.707,52.979,9.071,6.384,64.261,0.277,570,8.614
18,8.8209,-2.364,546,54,0.005892,1.1177,535.576,46.189,5.868,3.96,13.535,0.355,278,5.449
19,5.0884,-1.766,1595,61,0.006226,0.91743,1587.184,53.18,5.031,4.032,-43.269,0.202,229,4.816
20,27.088,-3.582,3440,87,0.006665,1.8506,3424.385,64.991,12.622,5.834,64.218,0.557,781,11.664
21,16.785,-3.062,3768,80,0.004592,1.7619,3747.094,64.535,12.015,6.712,11.128,0.463,725,11.7
22,4.234,-1.567,1554,72,0.00624,0.84155,1545.222,63.7,4.312,3.402,-42.983,0.267,174,4.367
23,5.7122,-1.892,529,78,0.005571,0.97792,521.018,68.805,5.6,3.574,55.584,0.4,215,5.481
24,7.3851,-2.171,3958,93,0.004177,1.2446,3949.52,78.646,7.96,3.666,75.324,0.553,308,7.976
25,5.6073,-1.872,2664,86,0.003307,1.0346,2653.33,77.362,5.724,3.361,16.029,0.428,211,5.763
26,8.6104,-2.338,1688,100,0.005466,1.2706,1673.38,87.068,6.421,5.974,-47.361,0.078,398,6.294
27,7.302,-2.159,603,19,0.005896,0.93339,591.139,9.39,6.639,3.486,36.564,0.475,239,6.471
28,3.3565,-1.315,1657,8,0.006018,0.61339,1649.527,3.991,3.493,2.139,4.566,0.339,91,3.128
29,6.154,-1.973,2705,21,0.003263,1.1246,2692.418,7.805,5.66,5.389,67.626,0.082,265,5.743
30,13.499,-2.826,3588,19,0.005271,1.2923,3573.185,7.43,6.411,4.75,-12.966,0.286,338,5.475
31,25.246,-3.505,263,112,0.005345,1.6452,248.328,93.96,8.351,6.304,-82.531,0.255,562,7.394
32,1.0374,-0.04,239,95,0.004988,0.51015,234.425,90.569,2.849,2.098,-53.473,0.433,74,2.794
