X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,602.027,2457.774,16.4180177896371,9.67509077352766,0.071,-50.111,10.038,9.321,8540,0.030168454219873478
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4024.458,337.208,16.8376389349035,10.396923151731,0.153,78.637,11.297,9.568,8926,0.06397669745047116
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2912.586,675.095,16.9927498284715,12.8169680368643,0.222,-49.452,14.531,11.305,10969,0.03045824804029487
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3266.885,1575.385,17.3608690211136,10.6191006481717,0.344,34.521,13.111,8.603,7267,0.058174565453771435
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,550.77,3451.472,17.3930090120611,14.5823041202685,0.209,-88.111,16.396,12.974,12546,0.30152024743268696
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,647.231,1664.731,17.7349347127731,9.60370128648325,0.134,-80.987,10.32,8.937,6291,0.04977193190191071
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3643.37,1383.842,18.02128110067,10.3164371498594,0.213,-50.082,11.629,9.15,6120,0.04762682037890844
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,620.461,1435.905,17.9475269381646,12.2705936776914,0.277,-29.165,14.431,10.435,7975,0.02346110187230808
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2328.629,3768.075,18.1594564048484,9.05650438353563,0.191,-32.555,10.069,8.147,5022,0.12278806371417172
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,111.593,2197.481,17.7569048413878,11.2892081038486,0.217,-83.026,12.758,9.987,7034,0.12574831951303894
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,91.5879292875716,75.1021020158087,21609.2754492717,3056.61,2544.277,18.5343323947375,11.5630378700409,0.141,38.837,12.476,10.712,6181,0.027341586599340495
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,97.1874501296136,70.9468385946179,21661.7285137884,3939.438,2568.062,18.6225880301423,13.2175346534821,0.341,11.381,16.282,10.73,7034,0.3970279936638637
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,61.2596907253587,50.2329463947941,9667.48094839824,3445.896,3793.535,18.6122815498127,8.47414844836931,0.075,80.621,8.811,8.146,3946,0.07941326672338708
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,64.5400914590715,47.1142667651222,9552.82640606506,1174.967,1775.459,18.6032597510655,8.22525722394139,0.211,17.93,9.26,7.305,4005,0.02845073573209982
2753.8,65.1,18.976807254764,6.826,0.33,65.2,67.9812049237334,45.5474072989014,9727.52579712067,2754.033,65.365,18.9622947124671,8.75544982465207,0.207,66.605,9.832,7.799,4028,0.07630293456688908
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,76.0651035064347,47.9210152090539,11451.4727321584,3133.555,920.162,18.9371146278755,11.0455894749896,0.166,60.829,12.095,10.093,5080,0.1845071022321975
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,86.7778967002815,74.6289911622421,20345.415480385,2090.859,2689.479,18.8223718462691,14.8350954102763,0.272,17.395,17.387,12.654,7606,0.7393083763309214
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,68.7522639703358,46.7515394998284,10097.9401653139,3568.42,3363.177,18.8521506039475,8.41516884857339,0.25,29.804,9.717,7.286,3764,0.050631590369241614
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,63.9570705917172,62.0383584739657,12465.1851687154,1683.663,1521.524,18.905638115312,11.5144616464688,0.303,-21.211,13.792,9.609,5400,0.40933451204616783
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,90.4568361861151,48.8466915405022,13881.1810964667,1685.77,1217.333,19.015102554952,10.2189306759563,0.39,63.92,13.084,7.976,4899,0.08079814010692188
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,93.7952244868955,52.5253257126615,15477.4480162447,842.374,2935.267,18.9682661439474,11.3450539405505,0.326,-31.642,13.819,9.316,5751,0.1492945015723827
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,63.4905028341494,49.5225922106365,9877.84048682795,3870.467,2828.856,19.0321151155365,9.91152847304592,0.127,46.907,10.608,9.266,4399,0.25324877705390736
1037.7,530.6,19.126817041069,7.59,0.07,0.5,62.5164632765183,58.1403108471621,11418.8304093807,1037.508,531.566,19.1075676452593,10.099720640394,0.146,-81.932,10.929,9.329,4481,0.20070897786126757
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,56.5178502648905,50.8660652384014,9031.57829363868,3540.605,1141.498,19.0420389992545,8.36541802272905,0.145,-14.995,9.047,7.739,3643,0.05737248929729418
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,65.5435039905931,57.022848471816,11741.6312172266,1632.58,205.039,19.5225332384635,9.64097425720036,0.163,-26.608,10.538,8.817,3856,0.05670928151812175
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,73.9469479242453,62.1154362563661,14430.1108118557,3747.86,527.006,19.6437273404016,10.4160867093165,0.104,-32.735,11.004,9.862,4097,0.06172111474513208
1101.3,423.4,19.420519603726,8.066,0.28,85.9,73.2856601731871,52.7656753246947,12148.4362204871,1101.108,423.734,19.3969131720714,9.89406027877332,0.232,87.985,11.29,8.671,4088,0.09037017010412444
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,59.4235266657387,49.3215271325631,9207.56536309575,283.854,3676.768,19.1947061592168,10.1744882136155,0.111,-53.018,10.791,9.592,4614,0.23568488078059516
2288.5,982.4,19.606711685463,7.302,0.39,30.7,72.2315561296512,44.0612492390873,9998.47235570326,2288.468,982.384,19.6054073440639,8.83499073457352,0.32,30.747,10.714,7.284,3309,0.007618169057186681
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,84.655863581226,49.9469595129233,13283.6056131215,3798.048,3304.41,19.4937209217877,11.7461497324017,0.366,18.152,14.752,9.351,5008,0.23824938140972413
3965.5,1277.8,19.7229841142559,7.355,0.28,-9.3,66.3400904110214,47.7648650959354,9954.8446544478,3963.812,1279.042,19.6589418624107,10.0483137170373,0.341,-21.143,12.378,8.158,3619,0.4382660249420318
2019.5,1819.0,19.4883102356813,7.765,0.36,-22.5,74.9092724167865,47.9419343467434,11282.3873088701,2018.591,1820.056,19.4564774786595,10.2644026418979,0.245,-27.257,11.813,8.914,4131,0.28584957176537235
274.4,417.8,19.3290917320778,7.058,0.26,64.8,64.9715792889393,48.0789686738151,9813.60196747881,274.321,417.977,19.3269401067574,8.56680631180605,0.199,63.838,9.572,7.663,3420,0.039005797657160175
326.1,2755.4,19.5229681698661,6.408,0.25,31.5,58.6581494067136,43.9936120550352,8107.14332439939,325.79,2755.945,19.4276573073233,9.41903374747113,0.324,2.949,11.456,7.738,3643,0.22817986685346187
762.4,234.7,19.5973690485455,7.402,0.23,39.5,65.0774304260234,50.1096214280381,10244.7506147347,763.127,235.758,19.5642966028054,9.72384084114914,0.346,43.894,12.024,7.869,3564,0.265122056932361
179.5,767.5,19.6440123431225,7.405,0.08,13.4,59.359090077811,54.6103628715861,10183.8541295093,178.971,767.224,19.6284786253089,9.43115789471261,0.165,36.658,10.321,8.614,3640,0.1233120657374981
2802.2,1727.7,19.5691122107542,7.561,0.05,-60.2,59.7710623329718,56.7825092163232,10662.411207146,2802.241,1726.898,19.5333393333352,10.1015641426464,0.173,89.82,11.108,9.183,4049,0.1758158768991855
1856.5,3803.8,19.3862997245398,7.935,0.4,52.6,79.3688425208444,47.6213055125066,11874.1140690704,1856.316,3803.777,19.3819102113508,9.73355531267995,0.319,53.893,11.795,8.028,4102,0.03811248146293454
681.7,2289.8,19.5390159610631,8.38,0.14,56.4,68.6672968221914,59.0538752670846,12739.3780635647,681.123,2289.566,19.4852263837636,10.1787107828055,0.177,55.79,11.22,9.237,3971,0.16456655840305998
