X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.471,2457.715,16.4347252000218,19.0155278966691,0.099,-61.729,20.033,18.048,31365,0.08930435154567211
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.501,336.666,16.880547688147,17.6726642122516,0.201,81.466,19.771,15.799,23747,0.11246068100613849
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2913.381,676.171,17.037388604471,22.4061853391424,0.252,-53.437,25.907,19.367,29571,0.28318260540471
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3268.202,1576.737,17.4020907927134,19.2007022371579,0.4,40.736,24.788,14.885,23708,0.42436468822072226
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.572,3449.328,17.4924674143549,17.8594826240852,0.201,-55.794,19.98,15.967,18348,0.2261932513831029
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.324,1664.358,17.7794622855534,16.1813168221872,0.219,-79.556,18.31,14.293,16463,0.08092722046190252
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.724,1383.82,18.0929895052143,15.7967358020573,0.245,-52.431,18.18,13.727,13873,0.11549103798114652
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,618.577,1434.51,18.0036802960258,21.0652444418763,0.196,-16.992,23.493,18.885,19405,0.47494821128138304
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2327.968,3768.562,18.2251800471066,13.0989866863052,0.237,-41.3,14.996,11.438,9632,0.2770196400669936
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,111.677,2196.541,17.8002951447178,18.8271,0.19,-86.99,20.919,16.947,19259,0.1781890577024842
