X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A40_INPUT,B40_INPUT,AREA40_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072608283,1.882,0.44,-38.8,108.57753197166,60.8034179041293,20740.433577548,526.87,2786.61,16.8467458594849,2.74932,0.401,-39.046,16.365,9.797,11270,0.03471593403563634
387.3,454.0,17.30232513182,1.678,0.45,-40.8,95.8023439234137,52.6912891578776,15858.599511912,387.663,454.228,17.2711702934717,2.751168,0.448,-38.332,16.376,9.043,9145,0.10598570803737295
2460.5,1071.5,17.6005286899439,1.858,0.18,-1.7,100.294573688363,82.2415504244576,25913.0539053644,2460.223,1071.612,17.595405839712,2.261784,0.172,-0.235,13.463,11.146,8679,0.060629154521530004
1471.4,1174.9,17.9092020981665,1.331,0.17,39.7,73.597169621714,61.0856507860226,14123.7554895039,1471.192,1175.0,17.9003379051123,1.88076,0.21,24.544,11.195,8.845,6626,0.04944761530339132
4049.5,1094.9,18.0295863854997,1.459,0.35,-52.0,80.4158190865199,52.2702824062379,13205.2372735741,4049.437,1094.864,18.019058394116,2.065896,0.252,-50.832,12.297,9.203,6805,0.025573907535676656
2089.3,724.9,17.8812966001861,1.872,0.49,-49.4,102.386649113401,52.2171910478344,16796.032575674,2089.223,725.015,17.8717080285995,2.84424,0.424,-48.747,16.93,9.744,9063,0.033674903286719744
2043.1,360.7,18.3199917199614,1.233,0.0600000000000001,17.1,66.6484496496765,62.6495426706959,13117.7040723524,2043.12,360.584,18.30908043886,1.634808,0.0679999999999999,53.086,9.731,9.07,5581,0.0321032178238755
1437.2,4063.5,18.4899570149444,1.812,0.14,17.6,92.5631762146207,79.6043315445738,23148.6048282929,1437.13,4062.102,18.4376326520947,2.421552,0.113,36.127,14.414,12.791,7828,0.29886994236355
3041.3,2890.2,18.4687058360537,1.439,0.01,-18.4,75.2430592627036,74.4906286700766,17608.3214214163,3041.14,2890.438,18.4655774549396,1.731408,0.043,31.675,10.306,9.866,5460,0.05771015466812337
374.0,883.0,18.7329818677192,1.123,0.14,-18.6,60.2861696865205,51.8461059304076,9819.37186173716,373.873,883.179,18.7333478086234,1.421112,0.083,-24.813,8.459,7.759,3540,0.04390143108124363
854.5,2942.4,18.867599357655,1.628,0.28,66.0,83.4179747929352,60.0609418509134,15739.8885514558,854.111,2941.496,18.8502392012118,2.281608,0.289,70.767,13.581,9.652,5631,0.1998497385747419
200.8,395.8,19.1634354051059,1.467,0.17,88.1,74.0946288921769,61.4985419805068,14315.3318298904,200.309,395.999,19.1356885627983,2.050104,0.193,74.885,12.203,9.853,5172,0.11961247112023547
3502.9,419.1,19.0167382953369,1.317,0.11,87.6,67.8311990660858,60.3697671688164,12864.6764431213,3500.876,420.776,18.9484224513798,2.383584,0.316,-42.277,14.188,9.705,5359,0.5430227137660427
3395.6,774.1,19.2144711753737,1.413,0.15,70.6,71.3882289529778,60.6799946100311,13608.868389294,3397.224,773.994,19.1739243308546,2.308488,0.229,9.83,13.741,10.59,5515,0.33542178264970524
1148.4,4046.5,19.0248973902175,1.691,0.19,69.9,84.6154222409899,68.5384920152018,18219.3946633453,1147.977,4044.463,18.9154798356887,2.85684,0.25,-62.007,17.005,12.753,7712,0.4701292919526865
1783.4,3041.8,19.7152297104168,1.256,0.14,-5.0,62.3989483087288,53.6630955455068,10519.6881101488,1783.329,3041.982,19.6972671465809,1.738464,0.145,-22.265,10.348,8.849,3667,0.05307205151319729
3927.8,3879.3,19.6634648015494,1.179,0.25,-8.0,59.8742351208268,44.9056763406201,8446.77825031674,3928.444,3879.065,19.5861961496136,1.796256,0.107,-1.748,10.692,9.544,4134,0.20658804617495372
342.2,2519.4,19.6646720858896,1.586,0.42,77.1,78.646786965221,45.6151364398282,11270.4131215744,342.244,2519.154,19.6663323986306,2.301936,0.357,79.105,13.702,8.812,4401,0.050071370035900745
