X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,692.39215698924,387.739607913975,843416.667613984,527.128,2786.462,16.8990876103498,21.1554439690828,0.391,-35.745,27.109,16.505,29291,0.10153537446802062
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,599.922492339904,329.957370786947,621874.647443819,386.932,452.813,17.2982231978031,21.3077410029782,0.35,-44.759,26.429,17.184,25736,0.2486818486931911
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,493.347117004487,404.54463594368,627001.982989642,2459.491,1071.224,17.6435209936752,21.232702079434,0.094,2.667,22.307,20.218,23507,0.2261937644722622
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,379.894927282921,315.312789644825,376317.967153342,1471.895,1175.19,17.9529193552711,16.7211,0.19,24.664,18.579,15.043,15782,0.14425079488545492
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,443.088660400063,288.007629260041,400907.795116821,4048.127,1096.672,18.0360380101919,19.0319805094478,0.392,-46.28,24.408,14.832,17139,0.44851705818678633
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,595.376522280483,303.642026363046,567941.309777123,2089.973,723.638,17.9499983942498,19.8714373414708,0.456,-45.94,26.942,14.65,19380,0.3173366029235422
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,315.90907452977,296.954530057984,294714.7884495,2042.925,361.197,18.3842008632047,13.6162716996981,0.05,-18.495,13.97,13.269,9808,0.16611960554879582
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,399.485934914333,343.557904026326,431172.75474102,1437.029,4061.582,18.5446871194367,17.845816941233,0.273,-5.518,20.93,15.217,12451,0.40037421102590626
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,327.439523003788,324.16512777375,333462.702290722,3041.533,2891.561,18.5510564166805,14.4309567682812,0.112,22.74,15.314,13.601,9770,0.32155126821620206
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,288.988716731196,248.530296388828,225636.885750891,372.737,881.494,18.744551615467,16.7824595211489,0.0610000000000001,18.563,17.319,16.261,10952,0.39378117960421505
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,381.07900661849,274.376884765313,328482.636650088,854.563,2940.715,18.9683326780164,15.525806029189,0.266,-88.539,18.122,13.302,9132,0.3928147005683409
200.8,395.8,19.163435126387,8.731,0.17,88.1,315.344395430573,261.735848207375,259297.421782893,199.293,394.581,19.2708326060108,13.4783546817481,0.073,87.864,13.999,12.984,6875,0.443188957460294
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,294.879310298431,262.442586165604,243124.364528113,3500.253,420.386,18.9934386910526,18.125412615993,0.0679999999999999,47.461,18.775,17.498,10985,0.5903950525350583
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,302.024882640491,256.721150244417,243587.07862794,3394.61,774.655,19.3191914042674,13.332733361918,0.211,87.134,15.01,11.849,7026,0.30886723731669846
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,355.583219901485,288.022408120203,321749.149896107,1144.627,4046.513,19.0587589711741,16.1255922091562,0.159,30.249,17.584,14.78,8880,0.7576422133297744
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,254.038102866705,218.472768465367,174359.672878439,1782.622,3041.399,19.7526936416984,14.0751812444103,0.257,1.199,16.329,12.141,6544,0.1904223272359639
3927.8,3879.3,19.6634651170865,7.021,0.25,-8.0,265.338810240242,199.004107680182,165887.129042206,3928.059,3879.021,19.6987785883543,12.3177743695442,0.269,-2.004,14.407,10.528,5533,0.1038514483657417
342.2,2519.4,19.664671706824,9.44,0.42,77.1,355.699898535417,206.305941150542,230539.501032432,340.852,2521.612,19.7391986186401,17.0163417506819,0.449,78.546,22.924,12.626,7591,0.5391081156716863
2266.4,3089.2,19.6086701443024,9.051,0.27,39.7,313.397009722537,228.779817097452,225248.770695774,2263.712,3087.9,19.6328258619379,17.0619673277146,0.327,46.168,20.798,13.987,8353,0.5991007236932482
1705.5,442.3,19.3281798107021,6.879,0.02,13.4,245.271899915608,240.366461917296,185213.030915437,1705.051,443.337,19.3687460914655,12.4653806963526,0.055,-0.969,12.823,12.112,6365,0.24012976750327017
171.4,1729.8,19.6677306987168,6.157,0.11,75.6,225.909817162127,201.059737274293,142695.437552557,170.693,1729.774,19.7575276889462,10.7525084620288,0.086,88.105,11.247,10.279,4462,0.22863672990477885
3986.2,1200.2,19.2613623112116,7.98,0.14,62.4,288.719097308623,248.298423685416,225216.054735462,3985.251,1201.103,19.3218603057968,12.7682946674566,0.165,60.72,13.973,11.673,6319,0.2885831767420763
3902.2,1488.7,19.7095635408095,5.968,0.27,-18.3,243.025535999871,177.408641279906,135449.233622495,3899.456,1492.482,19.6411029639268,12.7431955678315,0.28,-38.688,15.018,10.816,4903,0.9444966157835853
4046.6,2149.2,19.26950947374,9.999,0.23,-40.1,345.721777644738,266.205768786448,289130.610134412,4046.701,2148.485,19.341948161045,17.3429412904213,0.157,-52.664,18.889,15.926,9741,0.20455540110069342
1846.0,3129.4,19.6000597989955,8.902,0.38,3.5,337.552620074647,209.282624446281,221934.351662427,1847.201,3130.136,19.6620760652652,14.1836251709145,0.259,6.05,16.477,12.206,6761,0.30782088868302593
1435.0,1934.1,19.9776660757602,6.645,0.18,13.5,230.917144261487,189.352058294419,137364.997002121,1434.54,1934.842,20.0417421192616,11.6367893075367,0.197,31.631,12.986,10.429,4673,0.21658939642967578
1839.7,576.6,19.9082415459492,5.801,0.05,-32.6,201.517605815925,191.441725525129,121199.120277458,1839.541,577.341,19.9598443976723,11.3492794672173,0.167,-33.718,12.435,10.354,4847,0.18337590767303785
424.6,166.0,19.8387475721631,8.306,0.24,-38.4,279.347215033793,212.303883425682,186316.86023594,425.8,167.785,19.8778498478937,14.2288975328379,0.16,-41.244,15.525,13.035,6200,0.43722347367591996
658.8,3698.6,20.0077311060648,8.411,0.49,56.4,331.540088873022,169.085445325241,176113.297146847,657.378,3695.309,20.0902139240634,13.7122147007695,0.5,65.811,19.392,9.697,5224,0.7357639456462642
3439.2,920.0,20.1371833067504,6.307,0.2,34.4,219.824207971321,175.859366377057,121448.147249356,3437.747,920.266,20.1743770725375,12.9505204571477,0.401,49.367,16.733,10.022,4896,0.3046414764404821
599.6,947.2,19.8979623505872,6.906,0.3,-29.3,259.535835763076,181.675085034153,148129.847919464,598.601,947.965,19.9717328997967,10.8506733461108,0.246,-38.616,12.496,9.418,4218,0.29170998870505144
398.8,3285.1,19.9775851295134,6.962,0.21,-82.7,241.4677156468,190.759495360972,144708.856312914,397.017,3285.25,20.0248327346584,13.0750459965921,0.187,23.629,14.501,11.793,4902,0.37012159092552865
795.1,112.2,19.9464663692941,6.28,0.21,73.6,229.358985322421,181.193598404713,130559.50091675,794.637,108.849,19.948921605295,12.9532595813949,0.377,-84.641,16.411,10.224,5085,0.6765834688694268
4173.4,1896.9,19.9872244537934,5.655,0.21,60.4,214.410461596382,169.384264661142,114095.602899966,4172.486,1896.901,20.0665213693839,10.4955192747191,0.186,44.45,11.633,9.472,3883,0.24199326667464016
3195.6,3301.0,19.8015692500433,8.929,0.41,26.8,332.472004579471,196.158482701888,204885.888845777,3197.112,3304.383,19.9317707161435,13.83024350675,0.269,35.324,16.176,11.819,5197,0.7855133321465614
1227.5,3972.7,20.0461130919053,6.961,0.18,-1.7,233.696944518388,191.631494505078,140692.126393684,1226.628,3973.421,20.1313151087604,11.5059113850229,0.2,15.455,12.864,10.288,4493,0.2832831643538292
399.2,1966.7,19.8430778679057,5.706,0.19,-58.9,219.016131571287,177.403066572742,122063.859955676,398.326,1966.899,19.9167655870805,10.8267947694597,0.155,-39.474,11.778,9.95,4504,0.23207807046215725
169.3,1928.6,19.813928187505,6.091,0.28,45.1,242.487537448944,174.591026963239,133002.932131845,168.41,1929.454,19.8604755013306,12.3623739141396,0.183,35.627,13.677,11.167,4742,0.26367619341843124
1733.5,3855.7,20.2409445817351,6.99,0.04,86.7,207.980409379478,199.661193004299,130456.572229278,1734.826,3854.929,20.3626104024593,11.5052333186251,0.131,-49.312,12.342,10.728,4021,0.3915558148036968
3780.4,3222.4,20.1518387416986,6.903,0.23,-47.0,234.900620212839,180.873477563886,133477.764606022,3779.679,3223.244,20.2318838412069,11.2159106340502,0.121,-55.906,11.963,10.515,4213,0.27370954225532373
3371.8,3369.6,20.1847731250248,7.624,0.35,76.9,268.214808875738,174.33962576923,146902.347161666,3370.505,3368.516,20.2281831167553,13.3388287961125,0.148,36.121,14.451,12.32,4907,0.34876134726878383
3659.3,1811.4,20.7457560607682,6.695,0.41,20.5,233.179547312537,137.575932914397,100781.958558322,3658.296,1812.117,20.7920305950031,10.6725021120167,0.181,15.506,11.793,9.66,3037,0.2635375716633669
2588.6,3559.1,20.2711777637855,7.805,0.39,-69.5,275.424646820989,168.009034560803,145373.521260745,2587.372,3562.766,20.3156051586261,13.249695966776,0.348,-65.687,16.409,10.698,4496,0.7783172409353833
2598.1,1221.8,20.4089762358889,5.388,0.17,-28.0,187.012986569556,155.220778852732,91195.0985215119,2596.429,1222.307,20.4400429124153,11.3957475500294,0.171,-14.534,12.516,10.372,3883,0.35474389107800025
1918.0,52.6,20.6819988208541,5.565,0.27,-58.6,192.011255415309,140.168216453176,84552.4326409362,1919.584,52.662,20.6482067799732,11.7082157820908,0.142,-43.524,12.64,10.849,3694,0.3241660310335522
995.4,10.3,20.484900004826,8.311,0.17,70.8,233.471088847891,193.781003743749,142132.757749056,997.293,13.363,20.7896776605897,9.82693073670513,0.434,16.397,13.062,7.387,2589,0.9434885552203671
3049.6,3948.0,20.7331241005573,7.479,0.13,-79.1,204.372876937214,177.804402935377,114160.442189424,3049.709,3946.823,20.7377020048251,11.0561184517443,0.189,80.694,12.277,9.953,3184,0.2365827078400309
1041.3,923.7,20.2933443602056,7.237,0.1,80.0,216.573428840777,194.9160859567,132618.077239022,1041.344,924.032,20.3717322618894,12.2738920055946,0.115,89.312,13.047,11.541,4423,0.17048330278691143
3394.4,3670.3,20.6613946313811,7.133,0.09,-76.5,197.799887156394,179.997897312318,111851.894402699,3393.9,3670.121,20.7372607797089,12.0835059283306,0.18,6.399,13.344,10.94,3719,0.18520562435834895
311.5,1593.8,20.6126262543337,5.806,0.32,24.2,206.591813262398,140.482433018431,91176.9374075723,310.894,1592.542,20.6826986684034,10.2386084763018,0.141,37.898,11.047,9.486,3036,0.31246997777722113
1220.5,3087.2,20.3220122651257,7.07,0.28,74.0,237.635201222495,171.097344880196,127733.23652211,1221.619,3085.895,20.3269868244666,13.8529357845909,0.097,-49.836,14.578,13.162,5119,0.34394960008939723
3900.8,464.5,20.6056239427284,7.984,0.34,-85.7,249.719103384391,164.814608233698,129299.647856381,3901.238,464.103,20.6796051253478,11.5541064383188,0.127,78.214,12.366,10.793,3407,0.18939184429357134
2976.9,380.8,20.2961329076152,8.087,0.14,-43.9,235.243795975234,202.309664538701,149514.971146955,2976.488,379.069,20.3702066199808,13.7395283949632,0.196,72.39,15.323,12.319,4807,0.3854697791814974
274.3,428.7,20.6580670918661,6.543,0.18,-70.7,198.979716477939,163.16336751191,101995.577317255,273.707,432.633,20.6623029532754,12.9240379177717,0.311,-89.562,15.57,10.728,4039,0.7955330729627496
3322.5,3834.9,20.3612232931222,7.087,0.34,-67.0,246.508996414088,162.695937633298,125996.753627301,3323.888,3834.663,20.4471631987353,11.794429000295,0.277,-55.267,13.871,10.029,3875,0.32992323095852777
307.0,2302.9,20.6694498199663,5.216,0.3,-7.5,189.658817981775,132.761172587243,79103.1889353023,306.71,2304.936,20.7327907721777,11.1242460381367,0.307,-35.286,13.363,9.263,3171,0.430395227133948
1967.3,324.3,20.3284462047339,6.516,0.09,-39.8,201.820608161659,183.65675342711,116445.386331022,1966.719,323.89,20.3286857786078,13.9128975722529,0.096,-50.791,14.633,13.223,5124,0.14222706783350064
2266.5,1515.4,20.5746827699485,5.977,0.27,48.3,204.202983757803,149.068178143196,95630.6042678307,2267.729,1517.416,20.5948034024795,12.0537132183406,0.346,56.505,14.905,9.749,3832,0.4739233080758997
2362.1,2902.2,20.6281950101013,5.537,0.35,13.2,205.177188656315,133.365172626605,85964.9428808229,2362.64,2902.22,20.7072082797853,9.44666678246883,0.301,4.865,11.299,7.896,2812,0.19143731871413122
2387.2,3912.5,20.4322260038152,8.465,0.17,31.6,238.448264941184,197.912059901183,148257.372273774,2386.816,3911.033,20.5696805303073,11.6841288902511,0.211,27.47,13.154,10.381,3625,0.4093351774622532
417.1,1171.2,20.7158192365005,5.16,0.15,-29.2,169.467566988994,144.047431940645,76690.5738136542,416.756,1173.838,20.6634436655756,12.5541839476726,0.102,72.236,13.248,11.898,3983,0.5422900280034095
1889.9,627.4,20.3972666225981,5.918,0.0,20.4,179.96225890675,179.96225890675,101744.922280297,1890.001,626.957,20.4699486930036,10.7454504251334,0.081,-68.265,11.209,10.296,3616,0.17143337320998875
126.6,859.1,20.4228383873159,6.861,0.0600000000000001,-55.1,200.335666644094,188.315526645448,118520.718983156,127.229,858.356,20.4566864605486,12.9482199919526,0.26,71.515,15.052,11.146,4428,0.20627280947189067
1549.2,2778.6,20.463786683821,8.599,0.47,-64.5,298.895188031523,158.414449656707,148752.265550786,1547.773,2779.047,20.6467697116441,10.7620204437643,0.392,-52.028,13.802,8.397,3236,0.47261782441613326
1182.7,1656.7,20.5563793092649,6.031,0.07,-65.4,182.50635365253,169.730908896853,97317.0191359011,1183.529,1657.807,20.6417238231321,9.66538367443321,0.146,-73.715,10.459,8.936,2703,0.32503831601774263
314.4,3489.9,20.9457288561872,5.076,0.0,67.4,147.673930584102,147.673930584102,68510.5638269952,313.47,3491.278,20.8852503532185,11.390903315892,0.043,8.102,11.644,11.142,2992,0.3538251958124412
1367.1,3602.4,21.0587959480521,6.735,0.18,47.9,185.623745649978,152.211471432982,88762.758194607,1365.967,3600.743,21.0433367570827,14.0454384361614,0.234,51.336,16.048,12.3,3581,0.40263421183985304
3668.2,2469.5,21.0895776290576,5.052,0.0,-61.3,142.957345384102,142.957345384102,64204.1089087292,3667.376,2467.983,21.0764037113946,10.5087097067623,0.131,-77.352,11.273,9.794,2776,0.3462680894504991
1801.0,2600.1,20.8565087450012,5.021,0.34,-8.1,184.03937430251,121.465987039657,70228.8091702808,1799.077,2600.114,20.957483937203,9.30677898227953,0.399,-1.41,12.005,7.219,2346,0.43440631759590326
3241.9,2138.4,20.8629282324973,7.582,0.41,-60.0,243.121601571099,143.441744926949,109559.232284281,3239.785,2140.487,20.8949771021476,11.1773781074991,0.282,-63.703,13.191,9.466,3043,0.5977123574064912
244.1,2625.5,20.9941456689992,8.151,0.23,-20.9,214.889603435546,165.46499464537,111704.689754053,240.809,2625.086,21.1081670955362,11.9741440195114,0.352,-10.911,14.875,9.644,3037,0.7014900068947683
1191.2,129.6,20.9068466461738,5.85,0.14,-88.3,173.511638846924,149.220009408354,81340.2583614614,1190.982,129.941,21.0341985652649,8.25852402987362,0.052,-25.868,8.482,8.042,2060,0.2672549853888552
261.7,664.5,20.8430256263396,5.168,0.31,-61.0,183.397258887757,126.544108632553,72909.5879799494,261.834,664.503,20.922314655121,8.86117060032138,0.208,-67.019,9.957,7.881,2344,0.16082745252902567
1043.3,2419.5,21.1654109800651,7.834,0.47,-50.6,244.330970751807,129.495414498458,99399.1757894918,1045.247,2416.927,21.226989550824,11.4780146314596,0.27,-49.346,13.434,9.802,2693,0.6569669673076695
