OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,71.77,22.788,19.742,23.762,15.579,7.318,15.632,7.548,10.196,0.53,-33.304,0.005878,0.05055,849,2.081
2,181.331,11.64,60.437,22.547,7.63,4.427,11.153,5.884,26.514,0.42,15.175,0.005878,0.05055,759,1.9027
3,350.754,11.949,163.27,21.468,7.916,5.41,13.581,7.567,48.927,0.317,-32.501,0.006318,0.05055,1187,2.7303
4,606.508,26.115,81.394,22.224,23.415,9.721,25.731,10.805,25.397,0.585,-36.265,0.006513,0.05025,2066,3.4675
5,887.971,19.893,47.774,22.802,9.702,7.229,11.764,8.796,20.569,0.255,-44.835,0.006513,0.05024,1020,2.323
6,935.113,6.668,20.5,23.721,5.478,3.511,7.137,4.349,14.645,0.359,6.21,0.006364,0.05022,343,1.3992
7,1213.768,27.542,58.911,22.575,9.415,6.824,11.592,8.487,23.772,0.275,-60.316,0.006469,0.05024,1123,2.6794
8,1295.614,8.918,102.44,21.974,12.667,7.21,16.589,8.515,34.057,0.431,-7.791,0.006458,0.05023,1398,2.8078
9,1528.89,3.619,2.1669,26.16,2.928,1.568,3.089,1.77,3.8,0.465,-17.987,0.006118,0.05014,67,0.48
10,1700.479,6.784,90.196,22.112,5.934,4.867,9.59,6.096,36.306,0.18,7.83,0.006118,0.05014,682,2.323
11,2469.51,3.906,3.911,25.519,3.491,2.3,3.855,2.514,5.604,0.341,-1.102,0.006118,0.05001,105,0.66972
12,2812.485,6.41,5.2299,25.204,5.721,3.083,5.827,3.249,5.278,0.461,2.676,0.006241,0.04999,227,0.99602
13,3026.351,11.418,10.674,24.429,4.535,4.276,5.283,4.872,9.039,0.0570000000000001,-84.31,0.006466,0.04988,285,1.1747
14,3293.789,10.985,7.2236,24.853,6.212,3.756,6.722,4.035,6.616,0.395,-66.41,0.006466,0.04988,270,1.2074
15,3542.702,6.234,21.52,23.668,3.926,3.462,5.324,4.341,16.153,0.118,-23.859,0.006476,0.04988,267,1.0919
16,3582.922,22.357,14.377,24.106,13.704,5.45,14.055,5.725,8.976,0.602,-36.662,0.006483,0.04988,568,1.8094
17,3750.607,9.792,119.7,21.805,7.046,5.73,11.222,7.729,41.254,0.187,-13.011,0.00649,0.04988,984,2.2137
18,3861.545,7.414,6.2967,25.002,4.818,3.323,5.403,3.626,6.332,0.31,44.96,0.00649,0.04988,220,0.92439
19,3910.948,5.806,2.5591,25.98,3.4,2.568,3.419,2.756,3.789,0.245,-17.145,0.00649,0.04988,112,0.80993
20,3937.284,11.598,10.09,24.49,7.181,3.741,7.536,4.194,8.335,0.479,-31.829,0.00649,0.04988,331,1.2822
