OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,180.142,11.515,56.365,22.622,5.151,4.391,7.825,6.479,26.712,0.148,56.722,0.0001301,0.05038,593,1.3656
2,350.588,11.783,160.38,21.487,6.873,5.868,10.884,9.096,48.724,0.146,-37.965,0.0001301,0.05038,1148,1.6326
3,431.199,19.564,29.047,23.342,16.267,9.162,16.27,9.264,11.927,0.437,10.07,0.0001301,0.05037,1374,2.0814
4,520.862,11.372,6.1858,25.022,5.51,3.072,5.748,3.327,6.301,0.442,-87.72,0.0001301,0.05027,206,0.84644
5,608.14,25.868,66.255,22.447,16.84,8.206,17.429,9.487,23.418,0.513,-56.691,2.327e-05,0.05023,1590,2.5996
6,895.931,5.769,6.2845,25.004,5.028,3.47,5.737,3.694,5.915,0.31,27.389,-0.0002674,0.05038,243,0.87499
7,935.164,7.695,18.304,23.844,6.041,4.469,7.448,5.328,12.734,0.26,-26.469,-0.0002514,0.05041,393,1.2602
8,1296.765,9.512,103.64,21.961,11.94,8.278,14.963,9.832,34.762,0.307,-7.916,0.0004995,0.05018,1338,2.0911
9,1700.166,6.916,89.823,22.117,6.445,5.303,10.267,7.073,35.224,0.177,4.86,-0.0004422,0.05003,802,1.5033
10,1814.327,9.494,7.2715,24.846,7.713,3.726,7.469,4.014,6.072,0.517,-14.958,-0.0005339,0.04989,325,1.0048
11,1862.758,22.039,31.797,23.244,14.267,6.011,14.24,6.8,15.447,0.579,-73.107,-0.0005837,0.04982,893,1.7278
12,2390.842,20.534,38.047,23.049,9.634,6.424,11.47,7.465,17.581,0.333,56.101,-0.0005307,0.04959,934,1.8183
13,2470.071,4.032,3.9802,25.5,3.54,2.377,4.048,2.568,5.826,0.329,25.382,-0.0002078,0.04959,100,0.57205
14,2807.55,7.375,5.4004,25.169,3.86,3.502,4.167,3.759,5.854,0.093,-53.219,-0.0001122,0.04964,187,0.78671
15,3007.5,22.837,31.004,23.271,20.158,6.306,19.906,6.966,13.658,0.687,-25.757,0.0004761,0.04959,1142,1.9128
16,3254.377,26.562,83.267,22.199,8.438,7.207,11.663,9.779,29.507,0.146,67.445,0.000492,0.0493,1345,2.2972
17,3292.538,8.463,6.7414,24.928,4.823,4.216,5.271,4.466,6.147,0.126,-42.167,0.000492,0.0493,262,0.93395
18,3543.671,8.164,22.367,23.626,5.985,4.154,7.014,5.526,14.551,0.306,76.601,0.0005665,0.04931,423,1.3366
19,3699.35,20.887,16.415,23.962,8.698,4.344,9.947,4.708,10.576,0.501,-57.367,0.0007038,0.04949,515,1.1622
20,3750.56,9.543,116.49,21.834,6.624,5.624,9.951,7.846,41.038,0.151,-8.901,0.0006582,0.0495,908,1.5676
21,3814.805,10.205,4.8206,25.292,6.04,2.671,6.055,2.977,5.165,0.558,-58.302,0.0005425,0.04948,197,0.7206
22,3862.175,6.517,5.4594,25.157,3.887,3.33,4.278,3.58,6.325,0.143,-34.515,0.0004983,0.04948,166,0.82959
23,4192.664,10.594,30.698,23.282,8.494,4.425,9.264,5.898,18.635,0.479,23.251,0.000921,0.0495,428,1.0819
24,3409.55,34.858,536.76,20.176,9.518,8.475,16.967,14.909,92.46,0.11,-35.349,0.0004939,0.0493,2979,3.3761
25,4036.856,21.043,7.3269,24.838,8.448,4.743,9.113,4.699,5.893,0.439,-75.062,0.001079,0.04953,355,1.1244
26,739.425,11.147,3.7404,25.568,4.079,3.168,4.158,3.431,4.406,0.224,72.029,-0.0003458,0.05037,167,0.73246
27,4096.052,17.298,19.034,23.801,4.258,3.681,5.547,4.725,14.465,0.136,-26.059,0.001064,0.04949,297,1.0643
28,1647.902,21.661,8.4581,24.682,6.436,5.301,6.981,5.463,7.16,0.176,67.785,-0.0004054,0.05006,319,0.91453
29,888.479,23.361,39.691,23.003,7.542,5.661,9.389,7.51,19.196,0.249,16.178,-0.0002636,0.05038,777,1.6152
30,3373.144,22.939,37.512,23.065,8.574,5.915,9.886,7.374,18.193,0.31,6.264,0.000492,0.0493,811,1.5206
31,4146.267,21.479,9.5631,24.549,6.979,6.041,7.105,6.487,7.161,0.134,79.027,0.001035,0.04953,411,1.1173
32,974.595,28.566,34.689,23.15,13.851,6.361,14.689,7.411,16.049,0.541,32.876,-0.000236,0.05043,965,1.8067
33,1442.413,25.315,21.427,23.673,11.073,6.747,11.333,7.186,11.515,0.391,-38.526,-0.0002473,0.05006,755,1.3988
34,3828.193,20.884,8.4945,24.677,5.083,4.285,5.631,4.467,7.946,0.157,-65.123,0.0005333,0.04947,243,0.80657
35,1212.829,29.857,58.605,22.58,10.01,6.043,12.635,7.429,23.88,0.396,-40.874,0.0004513,0.05021,1102,1.9552
36,1056.802,22.125,6.0577,25.044,4.483,2.894,5.237,3.21,6.479,0.354,-73.093,-0.0002101,0.0504,190,0.79945
37,1595.36,38.769,30.73,23.281,15.902,5.881,16.395,6.467,14.538,0.63,-74.12,-0.0003771,0.05006,953,1.8768
38,3794.554,23.426,8.0988,24.729,5.25,4.925,5.407,5.374,7.062,0.0620000000000001,31.508,0.0005727,0.04948,300,0.9506
39,3816.464,21.385,7.1765,24.86,4.795,3.306,5.019,3.696,7.857,0.311,-40.125,0.0005398,0.04947,173,0.72201
40,4075.223,28.887,14.223,24.118,7.402,4.775,8.339,5.425,9.574,0.355,66.472,0.0009638,0.04947,494,1.3275
41,829.506,30.128,72.802,22.345,7.015,4.941,11.357,7.252,29.661,0.296,45.973,-0.0003174,0.05038,861,1.71
42,3150.638,29.799,16.477,23.958,5.474,3.501,7.298,4.194,13.167,0.361,49.933,0.000492,0.0494,273,0.88789
43,136.313,38.683,59.167,22.57,20.299,7.105,20.211,8.187,20.857,0.65,5.643,0.0001309,0.05034,1660,2.2196
44,476.213,30.375,9.5963,24.545,6.893,3.773,7.606,3.95,8.117,0.453,-57.015,0.0001301,0.05034,303,0.91461
45,2622.052,29.455,14.842,24.071,5.168,4.737,6.099,5.439,11.217,0.083,-87.583,-0.000169,0.04959,349,1.0436
46,566.608,23.889,3.0263,25.798,3.56,1.978,3.874,2.189,4.494,0.444,-18.53,0.0001209,0.05024,101,0.55638
47,2754.017,65.355,1643,18.961,9.863,7.832,20.03,17.274,174.657,0.206,66.178,4.954e-06,0.04962,4082,3.6128
48,1791.102,49.345,160.01,21.49,9.356,7.012,13.839,10.583,45.399,0.251,45.438,-0.0005464,0.04989,1686,2.6984
49,2283.457,62.797,364.54,20.596,13.573,9.029,20.979,13.706,71.1,0.335,-46.479,-0.0006692,0.04959,3184,3.4562
50,1351.237,30.726,15.834,24.001,3.844,3.627,4.942,4.686,12.651,0.0570000000000001,-23.067,0.0002701,0.05012,272,0.86654
51,3492.925,33.399,13.505,24.174,7.173,3.71,8.929,4.139,9.773,0.483,27.427,0.0005382,0.0493,404,1.1183
52,3568.584,29.248,4.8152,25.293,5.193,2.801,5.613,3.037,5.151,0.461,-26.928,0.000635,0.04934,195,0.68986
53,4197.338,27.646,2.5595,25.98,3.907,2.247,3.51,2.479,3.841,0.425,-70.06,0.0009205,0.0495,103,0.49575
54,3761.509,41.441,55.899,22.631,9.703,5.949,11.355,7.771,23.294,0.387,-25.282,0.0005968,0.04949,1020,1.9947
55,37.36,36.802,17.289,23.906,11.509,6.414,11.669,6.579,9.583,0.443,-5.926,0.0001339,0.05023,738,1.5409
56,647.488,33.983,5.6921,25.112,4.525,2.949,5.105,3.249,5.916,0.348,34.611,-9.933e-05,0.05025,197,0.76313
57,1725.317,43.136,14.09,24.128,7.488,3.983,8.464,4.292,9.909,0.468,-62.584,-0.0004719,0.04997,426,1.2253
58,291.95,35.175,5.4571,25.158,5.706,3.127,5.899,3.346,5.612,0.452,36.891,0.0001301,0.05038,210,0.8488
59,337.661,36.61,9.6063,24.544,4.488,3.199,5.347,3.648,8.906,0.287,2.964,0.0001301,0.05038,227,0.77531
60,199.699,37.685,4.519,25.362,4.146,2.95,4.473,3.157,5.487,0.289,56.714,0.0001301,0.05038,152,0.63542
61,3130.518,52.09,41.058,22.967,16.461,7.879,15.911,8.668,16.68,0.521,-42.081,0.000492,0.04944,1298,1.9603
