OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,518.196,10.076,4.4872,25.37,3.82,3.692,526,17,5.388,0.033,38.531,0.005497,0.05043,149,0.75915
2,936.154,7.783,17.271,23.907,5.267,4.025,952,22,12.779,0.236,-43.272,0.006692,0.05058,346,1.2783
3,3595.699,11.364,4.318,25.412,5.906,2.92,3603,22,4.441,0.506,73.215,0.005155,0.05067,218,1.021
4,1809.002,9.947,13.82,24.149,7.774,4.081,1826,21,10.232,0.475,-14.331,0.004045,0.04978,402,1.3007
5,3027.09,13.738,10.433,24.454,5.307,4.323,3037,26,8.509,0.185,56.309,0.006217,0.04955,323,1.3889
6,1699.466,8.221,85.208,22.174,9.703,6.195,1731,35,31.793,0.362,-31.262,0.005456,0.04966,1101,2.4568
7,4196.063,14.845,26.394,23.446,7.76,3.113,4200,38,17.094,0.599,-82.937,0.006114,0.0497,413,1.6021
8,4180.353,5.659,4.5627,25.352,4.73,2.513,4189,16,5.619,0.469,-46.633,0.006117,0.04973,149,0.82939
9,621.865,18.181,52.801,22.693,19.803,8.153,661,46,19.585,0.588,18.883,0.006749,0.05048,1544,2.7395
10,891.012,17.977,42.083,22.94,10.787,7.189,922,36,19.1,0.333,-38.948,0.006573,0.05053,960,2.1828
11,1643.247,21.299,10.72,24.424,7.475,4.36,1658,34,8.082,0.417,43.702,0.005686,0.04966,409,1.5174
12,1969.931,24.605,3.1019,25.771,4.021,2.324,1975,33,4.144,0.422,-69.264,0.005764,0.04959,133,0.63977
13,261.174,42.82,8.0875,24.73,6.231,3.064,269,58,7.438,0.508,76.185,0.007814,0.05052,264,1.1491
14,2382.493,19.21,27.834,23.389,10.307,6.052,2398,35,14.609,0.413,-24.715,0.00628,0.04909,777,1.8753
15,441.222,27.556,49.298,22.768,24.202,11.563,488,61,16.573,0.522,14.923,0.005188,0.05056,2016,2.9814
16,3861.86,5.935,4.5374,25.358,4.228,2.648,3870,12,5.743,0.374,-8.874,0.006008,0.05,145,0.74488
17,2039.004,13.648,5.7609,25.099,6.566,4.048,2053,21,5.353,0.384,1.426,0.007677,0.04962,283,1.0154
18,2208.893,61.092,11.25,24.372,7.301,5.066,2224,76,8.232,0.306,-35.409,0.007657,0.04941,440,1.5653
19,4146.409,24.497,12.403,24.266,7.682,4.579,4158,39,9.373,0.404,69.166,0.006047,0.04982,408,1.4704
20,6.469,62.885,3.124,25.763,3.402,1.993,12,72,4.474,0.414,-77.843,0.007829,0.05073,102,0.65367
21,3539.576,11.853,25.89,23.467,11.362,4.89,3558,37,14.694,0.57,-52.528,0.004306,0.05078,609,1.7545
22,350.801,12.51,144.84,21.598,7.483,6.716,377,40,45.086,0.103,-32.538,0.005718,0.05039,1310,2.8178
23,336.861,39.115,10.622,24.435,6.26,4.618,350,51,8.403,0.262,9.353,0.006064,0.05043,353,1.281
24,2619.959,27.509,10.815,24.415,5.591,3.062,2630,40,9.75,0.452,63.821,0.006011,0.04996,255,1.1384
25,3700.213,22.549,15.634,24.015,6.3,5.355,3715,35,10.913,0.15,-30.74,0.005194,0.05075,451,1.6392
26,28.893,42.07,7.3394,24.836,6.429,3.655,38,55,6.602,0.432,80.77,0.007183,0.05063,284,1.155
27,4096.152,18.035,18.493,23.832,6.686,3.812,4105,37,12.695,0.43,78.921,0.006086,0.05008,411,1.4778
28,3185.342,39.398,7.9946,24.743,6.618,5.577,3199,50,6.769,0.157,57.434,0.007613,0.05046,318,1.3944
29,807.63,83.673,10.893,24.407,10.496,5.827,830,102,7.275,0.445,-36.174,0.006693,0.05038,533,1.5506
30,2998.254,55.018,81.153,22.227,16.426,10.601,3026,87,25.229,0.355,79.345,0.006186,0.04947,2154,2.6253
31,3224.579,53.613,9.9452,24.506,5.999,4.626,3234,69,8.489,0.229,36.436,0.007691,0.0507,303,1.2387
32,2897.26,39.191,7.5736,24.802,4.711,3.701,2908,48,7.147,0.214,-9.797,0.007512,0.04916,252,1.1278
33,1349.254,92.838,7.5554,24.804,6.139,4.655,1362,104,6.379,0.242,47.445,0.007394,0.04997,326,1.3646
34,893.423,58.767,4.2261,25.435,4.705,2.676,898,67,5.102,0.431,89.268,0.006286,0.05054,158,0.8852
35,229.254,66.22,6.3097,25,8.338,4.518,248,77,5.424,0.458,13.112,0.007917,0.05019,310,1.3374
36,2670.559,93.837,4.7439,25.31,4.699,2.899,2681,101,5.314,0.383,-6.249,0.00638,0.04968,188,0.94203
