OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,211.491,9.537,8.6902,24.652,4.724,4.195,222,20,7.252,0.112,-77.809,0.002535,0.05535,272,1.0709
2,587.141,12.003,13.464,24.177,7.213,6.177,603,26,8.672,0.144,-23.288,0.003969,0.05458,462,1.3741
3,278.023,10.742,114.27,21.855,9.307,6.541,312,39,36.907,0.297,5.132,0.003877,0.05419,1174,2.448
4,1799.941,22.608,24.704,23.518,10.64,5.642,1816,39,12.664,0.47,-63.149,0.002811,0.05506,694,2.0375
5,2771.677,8.048,6.4498,24.976,6.804,3.858,2783,17,5.251,0.433,22.96,0.002357,0.05491,300,1.2256
6,3570.838,7.321,14.246,24.116,4.396,3.618,3581,18,11.344,0.177,-19.234,0.004219,0.05473,263,0.9435
7,2396.707,13.279,7.9403,24.75,5.843,3.36,2407,24,6.652,0.425,48.888,0.00323,0.05459,280,1.1838
8,1399.76,11.516,31.343,23.26,13.586,6.324,1423,31,14.337,0.535,24.289,0.005097,0.05457,880,1.9557
9,468.669,14.913,4.1298,25.46,4.351,2.626,475,20,4.932,0.397,-27.252,0.003238,0.05481,134,0.73564
10,2724.983,12.596,32.664,23.215,6.571,5.869,2739,31,16.472,0.107,-54.822,0.003334,0.05418,647,1.5719
11,1110.878,29.517,23.169,23.588,13.304,6.42,1137,49,11.415,0.517,-29.453,0.002312,0.05388,801,1.661
12,3314.034,11.734,21.246,23.682,15.393,5.844,3340,26,10.799,0.62,6.106,0.004359,0.05443,740,1.7952
13,124.286,29.302,103.64,21.961,10.97,7.365,152,58,31.84,0.329,64.668,0.002618,0.05513,1536,2.8473
14,100.837,21.762,4.3264,25.41,4.562,3.957,109,31,4.369,0.133,-22.95,0.002878,0.05471,188,0.8793
15,3705.953,26.75,16.351,23.966,9.385,6.738,3727,44,8.568,0.282,41.175,0.004453,0.05412,707,1.8984
16,3443.569,15.904,9.5911,24.545,5.985,3.711,3451,28,7.835,0.38,83.656,0.0068,0.05454,286,1.2996
17,639.078,11.013,9.4873,24.557,5.355,4.07,649,23,7.528,0.24,-32.024,0.003507,0.05519,294,1.1113
18,4138.729,28.471,17.348,23.902,12.222,5.131,4162,40,9.846,0.58,-11.614,0.004716,0.05504,599,1.6278
19,3903.546,34.653,13.06,24.21,6.399,4.821,3916,44,9.044,0.247,14.919,0.003525,0.05428,403,1.4104
