OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,640.795,11.11,12.25,24.28,4.919,4.475,5.506,4.883,9.329,0.09,-57.233,-0.0007494,0.05383,314,0.98179
2,2396.967,10.675,8.6178,24.662,5.205,4.185,5.657,4.522,6.838,0.196,-8.723,-0.0008404,0.0542,303,0.97649
3,2911.529,10.824,7.6032,24.798,5.393,3.801,5.799,4.054,6.484,0.295,-68.092,-0.000895,0.05422,263,0.93866
4,1397.849,8.01,19.389,23.781,11.097,4.355,11.385,4.76,11.234,0.608,11.905,0.000583,0.05543,532,1.4394
5,1991.096,13.105,26.924,23.425,8.922,6.519,10.446,6.798,13.335,0.269,-12.9,0.000458,0.05514,742,1.5946
6,4129.401,30.281,9.4008,24.567,6.325,4.165,6.548,4.536,7.336,0.342,-63.729,-0.0006202,0.05385,324,1.0154
7,276.962,10.609,106.94,21.927,6.995,6.923,10.374,9.214,36.409,0.01,16.819,-0.0006729,0.0541,995,1.4981
8,2647.292,16.782,5.9459,25.064,5.866,3.467,6.167,3.606,5.358,0.409,72.58,-0.001419,0.05427,244,0.94391
9,123.32,28.403,101.31,21.986,9.727,6.474,13.16,8.617,32.636,0.334,83.784,-0.0009947,0.05443,1359,2.2815
10,1266.386,40.836,5.4478,25.159,6.575,3.389,6.674,3.382,4.974,0.485,-84.504,0.0005304,0.05428,243,0.86326
11,1799.702,23.779,27.413,23.405,10.322,6.451,10.803,7.046,13.24,0.375,-57.631,-0.0008451,0.05404,791,1.7044
12,450.579,33.348,27.128,23.416,8.797,6.024,10.184,6.798,13.372,0.315,-80.309,6.272e-05,0.05441,761,1.8013
13,3903.871,34.024,10.81,24.415,7.323,3.957,7.977,4.312,7.719,0.46,-37.541,-0.001352,0.0548,375,1.1535
14,3576.942,7.178,18.344,23.841,8.591,4.126,9.145,4.51,11.246,0.52,-4.367,0.000333,0.05439,476,1.3733
15,3993.344,6.211,37.358,23.069,7.011,4.209,9.542,5.106,19.457,0.4,3.5,-0.001106,0.05453,519,1.2789
16,3702.205,34.623,6.8356,24.913,4.877,4.094,5.579,4.415,5.69,0.161,37.911,0.0001802,0.0545,279,0.94313
17,2944.265,24.502,5.3035,25.189,4.852,3.56,5.072,3.944,4.782,0.266,62.015,-0.001279,0.05398,241,0.81545
18,1642.652,34.99,7.8039,24.769,11.588,3.173,11.557,3.35,5.548,0.726,-42.154,0.0002587,0.05472,398,0.96032
19,2403.57,44.305,16.035,23.987,5.984,4.063,7.031,4.806,10.814,0.321,28.26,-0.0008376,0.0542,387,1.0388
20,718.781,21.921,22.005,23.644,15.767,5.333,15.999,5.742,10.677,0.662,2.65,-0.0007227,0.05445,838,1.5314
21,2705.736,65.559,5.1423,25.222,4.052,3.319,4.278,3.499,5.364,0.181,85.432,-0.001586,0.05444,171,0.76484
22,3424.932,66.458,35.205,23.133,9.657,7.065,9.76,8.35,16.126,0.268,70.859,-0.0001426,0.05484,860,1.7783
23,3153.489,42.593,32.564,23.218,6.68,4.959,8.957,6.055,16.479,0.258,41.401,-0.001061,0.05423,632,1.3834
24,538.395,48.356,12.783,24.233,6.931,4.966,7.677,5.293,8.591,0.283,80.014,-0.0002423,0.05402,436,0.972
25,1510.036,70.717,5.3108,25.187,4.832,4,5.163,3.792,5.179,0.172,-70.077,0.0002826,0.05427,208,0.84022
26,1100.645,47.744,32.955,23.205,16.251,6.871,16.77,7.074,14.013,0.577,-62.846,-0.001017,0.0538,1068,1.9006
27,1469.209,64.297,35.826,23.114,12.77,7.765,13.435,8.459,14.679,0.392,45.838,0.0002423,0.05462,1101,1.9506
28,3755.262,70.404,10.22,24.476,5.712,5.057,6.102,5.304,8.079,0.115,43.117,-0.0002312,0.05464,305,1.0048
29,2453.603,47.106,48.64,22.783,12.401,7.701,13.245,9.062,18.085,0.379,40.761,-0.0003964,0.05419,1276,2.0456
30,732.604,91.876,37.607,23.062,9.798,6.074,11.01,7.008,16.842,0.38,-6.375,-0.0008709,0.05464,865,1.7156
31,2390.373,87.001,24.408,23.531,7.662,5.537,8.645,6.28,13.938,0.277,-73.302,-0.001147,0.05423,514,1.2496
32,2382.392,67.352,18.158,23.852,8.007,4.595,9.529,5.245,10.888,0.426,25.139,-0.00111,0.05422,496,1.4355
33,3069.914,48.281,8.9747,24.617,9.014,4.031,9.063,4.112,6.436,0.553,-56.879,-0.001452,0.05361,390,1.187
34,2058.227,109.194,14.025,24.133,10.683,4.348,11.269,4.44,8.702,0.593,71.967,6.964e-05,0.05489,505,1.1691
35,1665.905,83.459,10.144,24.485,10.886,3.979,10.804,4.036,7.045,0.634,55.516,-0.0006298,0.05429,424,1.0996
36,649.697,70.471,6.177,25.023,7.379,3.549,7.593,3.569,5.19,0.519,29.434,-0.0008428,0.05393,297,0.89505
37,1344.858,107.471,4.1731,25.449,4.653,2.289,4.896,2.644,4.79,0.508,-34.626,0.000284,0.05481,150,0.6696
38,1401.48,87.452,4.7844,25.3,4.352,3.977,4.66,3.928,4.854,0.086,89.662,9.5e-05,0.05527,199,0.76332
39,4152.897,117.162,2.2517,26.119,4.139,2.162,4.307,2.391,2.937,0.478,57.64,-0.001128,0.05456,121,0.55374
40,2017.657,125.921,114.67,21.851,25.971,6.805,27.777,8.629,31.689,0.738,66.896,-7.03e-05,0.0549,2103,2.4073
41,1616.329,86.121,8.0183,24.74,7.312,4.47,7.5,4.533,6.218,0.389,-66.524,0.0001812,0.05478,330,1.0343
42,690.48,93.146,7.1687,24.861,4.529,3.903,5.098,4.1,6.263,0.138,79.961,-0.0009555,0.05451,252,0.90483
43,1781.81,102.465,60.336,22.549,14.768,7.592,17.746,8.694,20.531,0.486,41.988,-0.0007272,0.05412,1498,1.9937
44,3011.302,106.67,48.583,22.784,15.833,7.242,17.374,7.99,18.511,0.543,14.667,-0.001481,0.05382,1253,1.9278
45,3227.512,95.996,6.99,24.889,5.182,3.981,5.549,4.247,6.011,0.232,-19.162,-0.0005549,0.05498,269,0.92057
46,2674.77,104.848,30.399,23.293,9.543,6.282,11.23,7.099,14.39,0.342,-38.551,-0.001601,0.05441,796,1.5315
47,2188.326,106.073,7.0266,24.883,4.62,3.411,4.914,3.822,6.566,0.262,-70.95,-0.0002873,0.05478,221,0.85227
