OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,122.604,29.211,84.433,22.184,10.892,7.989,14.362,10.469,27.153,0.267,61.256,0.007125,0.05449,1479,3.4746
2,277.989,11.135,96.89,22.034,9.141,6.798,13.092,8.93,31.832,0.256,6.236,0.007112,0.05448,1239,2.709
3,590.059,10.23,7.836,24.765,6.369,4.557,6.35,4.717,6.321,0.284,61.703,0.007112,0.05437,293,1.1023
4,997.06,13.282,303.44,20.795,12.822,7.367,21.288,10.575,61.509,0.425,16.367,0.005778,0.05428,2514,4.4499
5,1398.295,10.908,26.285,23.451,14.071,6.14,14.577,6.334,12.384,0.564,21.986,0.006378,0.05502,819,2.1636
6,1649.487,3.296,2.2597,26.115,3.106,1.574,3.237,1.765,3.664,0.493,22.927,0.006682,0.05586,69,0.509
7,1994.084,13.567,28.784,23.352,12.367,7.226,13.102,7.453,12.552,0.416,-17.966,0.005927,0.05534,976,2.7556
8,2208.351,20.039,1544.7,19.028,25.273,15.058,33.965,19.972,150.747,0.404,-19.81,0.005792,0.05455,7954,7.2884
9,2695.327,5.107,3.6242,25.602,4.219,2.346,4.455,2.35,4.599,0.444,12.356,0.004486,0.0544,120,0.72515
10,2723.589,12.255,26.982,23.422,7.01,5.399,8.275,6.446,14.466,0.23,-17.543,0.004288,0.0544,568,1.7729
11,3324.307,13.74,13.067,24.21,8.404,5.392,8.808,5.751,8.475,0.358,65.966,0.005232,0.05482,446,1.6009
12,3445.691,12.92,7.2378,24.851,7.72,2.939,8.04,3.132,6.368,0.619,-76.085,0.005237,0.05503,248,1.1871
13,3571.609,7.391,10.74,24.422,4.215,3.409,5.158,3.877,9.144,0.191,47.467,0.005235,0.05507,226,1.1015
14,3699.638,25.694,13.811,24.149,11.329,4.705,12.136,4.706,7.979,0.585,81.757,0.005236,0.05509,559,1.6958
15,3985.595,9.342,37.65,23.061,13.826,5.304,14.554,6.524,17.131,0.616,-27.097,0.005268,0.05519,763,2.1788
16,1808.924,8.299,3.2619,25.716,3.894,2.68,4.046,2.893,3.882,0.312,-53.141,0.006585,0.05562,134,0.71069
17,212.108,8.945,4.5594,25.353,3.676,2.788,4.151,3.328,4.846,0.242,-11.284,0.007112,0.05448,160,0.86557
18,641.263,11.705,8.5252,24.673,4.611,3.316,4.951,3.565,7.71,0.281,89.555,0.006948,0.05433,213,0.85768
19,2395.38,12.08,9.3168,24.577,5.646,3.966,6.112,4.099,7.523,0.298,26.077,0.005098,0.05442,291,1.271
20,2630.065,13.081,3.8655,25.532,4.679,2.983,4.884,2.955,4.465,0.362,60.815,0.004727,0.05441,144,0.84898
21,905.367,17.313,10.231,24.475,7.879,5.692,8.033,5.64,6.895,0.278,50.758,0.005712,0.05411,440,1.5371
22,714.062,24.122,28.383,23.367,14.902,10.728,14.788,10.86,12.344,0.28,15.753,0.006347,0.05419,990,2.877
23,1114.06,29.773,17.273,23.907,14.817,4.8,15.028,4.906,9.954,0.676,-29.477,0.006411,0.05453,572,1.8779
24,1919.629,52.651,342.05,20.665,12.627,10.797,19.921,16.624,61.28,0.145,-42.276,0.006439,0.05551,3710,5.2931
25,799.862,25.206,7.0121,24.885,7.143,4.469,7.146,4.646,5.496,0.374,-72.981,0.00576,0.05406,315,1.2806
26,1795.562,28.299,18.422,23.837,8.016,5.112,8.908,5.757,10.763,0.362,34.59,0.00653,0.05562,536,1.6512
27,4142.226,27.777,13.098,24.207,10.857,5.795,10.876,5.802,7.735,0.466,-10.171,0.005389,0.05528,560,1.6779
28,2942.298,28.324,11.035,24.393,7.093,4.343,7.336,4.651,7.876,0.388,-83.295,0.005086,0.05475,364,1.2304
29,3151.474,37.823,40.411,22.984,8.816,6.368,10.03,7.792,17.867,0.278,64.965,0.005151,0.05477,842,2.3768
30,1838.97,24.574,4.268,25.424,4.52,2.731,4.758,2.876,4.592,0.396,54.919,0.006642,0.05562,161,0.75285
31,2316.462,31.45,11.554,24.343,6.566,5.018,6.585,5.416,7.879,0.236,-58.767,0.005355,0.05445,403,1.5852
32,2449.989,40.484,30.924,23.274,9.433,4.992,10.862,5.932,15.66,0.471,-45.425,0.004905,0.05442,648,1.811
33,3900.678,32.224,6.3305,24.996,6.247,2.821,6.708,3,5.717,0.548,-63.221,0.005255,0.05515,229,0.9966
34,449.5,33.245,19.941,23.751,6.624,5.013,7.722,5.858,11.492,0.243,-36.191,0.007112,0.05444,530,1.7246
35,2345.266,43.219,10.444,24.453,10.855,4.637,10.511,4.777,7.043,0.573,86.024,0.005203,0.05443,433,1.4293
36,2517.474,28.649,5.7254,25.105,3.625,2.547,4.125,2.953,6.412,0.297,2.586,0.00487,0.05441,143,0.79425
37,1207.133,49.978,54.155,22.666,9.665,7.115,10.999,8.762,20.238,0.264,86.146,0.006047,0.05468,1152,2.4191
38,3605.49,51.857,56.748,22.615,10.308,7.254,12.996,8.455,21.587,0.296,-48.104,0.005238,0.05507,1080,2.7275
39,978.111,40.686,22.176,23.635,8.106,6.224,8.723,6.518,11.596,0.232,21.396,0.005695,0.05419,665,2.052
40,3909.674,35.512,5.0967,25.232,4.338,2.686,4.473,2.879,5.665,0.381,-64.607,0.005259,0.05516,151,0.79635
41,3825.016,38.681,12.48,24.26,7.172,4.844,7.543,5.301,8.669,0.325,14.848,0.005237,0.05512,383,1.5423
42,2017.809,38.024,7.1912,24.858,6.576,3.275,7.108,3.367,5.807,0.502,-38.698,0.005645,0.05508,291,1.0702
43,2408.811,43.354,13.857,24.146,6.313,5.329,6.896,5.83,9.52,0.156,-28.98,0.004981,0.05442,370,1.4972
