OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,1397.017,6.967,16.315,23.969,12.114,3.049,1416,15,10.683,0.748,9.942,0.001356,0.05508,426,1.2452
2,123.138,29.29,89.001,22.127,11.736,7.327,143,64,28.336,0.376,74.022,-0.0004386,0.05447,1595,1.8568
3,2912.773,12.113,9.0743,24.605,6.979,4.097,2923,27,7.066,0.413,81.035,-0.001558,0.054,339,1.1482
4,2626.664,14.063,5.1558,25.219,5.642,3.418,2636,24,5.06,0.394,62.268,-0.0006119,0.05461,218,0.79293
5,276.718,10.979,91.709,22.094,7.31,6.828,298,35,32.143,0.0659999999999999,-3.166,0.0001846,0.05421,1088,1.8192
6,2395.782,11.112,6.8031,24.918,5.536,3.649,2409,18,6.238,0.341,-11.047,-0.0001961,0.05449,233,0.88632
7,1649.645,20.269,12.756,24.236,11.475,5.681,1664,41,7.43,0.505,-79.481,-0.0007342,0.05463,604,1.58
8,1798.305,27.904,20.362,23.728,8.164,6.084,1819,41,10.947,0.255,7.24,0.0002146,0.05465,658,1.6461
9,642.441,11.749,9.7315,24.53,5.143,4.32,654,24,7.735,0.16,46.215,0.000399,0.055,295,1.0096
10,3322.422,8.422,10.101,24.489,4.7,3.847,3333,19,8.561,0.181,-20.585,0.001025,0.05402,267,0.93652
11,2647.506,16.761,5.9912,25.056,6.402,3.251,2659,28,5.526,0.492,-51.855,-0.0009279,0.05434,245,0.75386
12,2866.141,13.776,4.7172,25.316,5.512,3.329,2877,23,4.796,0.396,33.17,-0.0008526,0.0542,197,0.78121
13,738.637,21.185,4.997,25.253,3.468,2.95,746,28,5.836,0.149,-68.908,0.001705,0.05465,145,0.70505
14,4128.553,32.331,4.1874,25.445,3.783,2.677,4135,39,5.01,0.292,-60.506,0.0006499,0.0545,141,0.69043
15,2942.868,22.719,9.5102,24.555,7.008,5.3,2957,36,6.657,0.244,-79.852,-0.001604,0.05393,415,1.1839
16,1681.488,46.699,62.266,22.514,6.251,5.228,1699,62,26.002,0.164,-19.869,-7.502e-05,0.05467,774,1.4909
17,2339.006,62.096,5.5873,25.132,6.725,3.34,2348,72,5.2,0.503,-42.779,0.0005689,0.05452,243,0.77215
18,3983.522,48.484,54.503,22.659,12.989,7.754,4005,78,20.37,0.403,58.348,-0.0003252,0.05445,1270,1.8127
19,2452.878,47.55,43.12,22.913,14.185,6.131,2480,72,17.078,0.568,45.565,-0.001084,0.05477,1171,2.0361
20,3823.313,37.146,9.2155,24.589,5.751,3.723,3833,47,7.696,0.353,-39.393,-0.001151,0.05483,276,0.86121
21,2747.355,46.947,13.934,24.14,6.524,4.218,2764,58,9.775,0.353,-4.534,-0.000727,0.05431,382,1.2591
22,1586.922,55.165,4.9388,25.266,3.519,3.158,1593,63,5.832,0.102,-10.059,0.0008306,0.05497,141,0.65721
23,1060.354,71.488,5.5821,25.133,5.083,3.196,1070,82,5.476,0.371,67.221,-0.001949,0.05393,200,0.80332
24,1205.395,51.798,54.543,22.658,8.71,7.866,1228,72,21.692,0.097,84.699,0.0001337,0.05396,1051,1.9438
25,3188.069,76.527,8.7516,24.645,6.613,5.336,3199,89,6.563,0.193,65.562,-0.0007407,0.05402,364,1.0431
26,537.709,46.078,10.976,24.399,7.378,4.05,552,56,7.938,0.451,-24.847,0.0008128,0.05514,377,1.1146
27,3327.704,79.595,13.97,24.137,4.63,3.641,3339,92,10.778,0.214,23.247,0.001335,0.05416,290,1.0376
28,3345.605,81.447,4.7172,25.316,5.37,2.591,3356,89,5.241,0.517,29.944,0.00123,0.05407,167,0.74941
29,995.71,13.994,312.94,20.761,11.581,8.668,1035,54,63.815,0.251,18.76,-0.0004666,0.05446,2629,2.1736
30,973.099,38.066,15.071,24.055,6.716,4.617,986,49,10.113,0.313,24.264,0.0001037,0.05467,428,1.3071
31,733.231,92.314,29.514,23.325,8.515,5.389,755,110,14.628,0.367,-14.71,0.001208,0.05475,725,1.5146
32,2727.438,12.008,24.23,23.539,5.925,4.943,2742,28,14.631,0.166,-84.688,-0.0009122,0.0542,464,1.2013
33,594.647,12.347,5.8878,25.075,4.852,3.219,603,21,5.842,0.337,51.693,-0.0001422,0.0547,200,0.8086
34,3257.966,115.956,153.68,21.533,13.701,9.133,3295,143,38.368,0.333,20.434,-0.0003222,0.05464,2422,2.46
35,1918.026,52.898,321.63,20.732,12.108,9.149,1951,95,61.956,0.244,-72.238,0.0006181,0.05447,3273,2.8248
36,2518.52,26.739,11.14,24.383,7.49,4.616,2532,37,8.356,0.384,-6.994,-0.0004607,0.05442,351,1.1504
37,3904.595,35.494,8.2251,24.712,6.2,3.505,3916,45,6.782,0.435,30.729,-0.0001165,0.05461,291,1.0192
38,2405.913,44.542,13,24.215,5.275,4.263,2417,58,9.576,0.192,-51.112,-0.0007961,0.05452,346,1.1934
39,3424.414,67.217,27.344,23.408,10.181,5.087,3439,89,14.252,0.5,69.496,0.0009904,0.05441,684,1.4782
40,550.859,111.792,41.081,22.966,7.344,5.447,571,131,18.672,0.258,-39.458,0.0005859,0.05431,792,1.6027
41,568.081,130.606,30.054,23.305,8.468,6.443,590,151,14.427,0.239,-3.867,0.0003249,0.05413,800,1.5583
42,577.327,109.239,5.2376,25.202,5.467,4.071,589,119,4.555,0.255,-10.159,0.0001906,0.05398,270,0.90175
43,1437.923,111.697,7.7034,24.783,5.198,3.054,1446,123,7.102,0.413,-66.211,-0.0006767,0.05454,223,0.8486
44,2382.349,82.143,44.131,22.888,12.47,9.882,2409,116,15.966,0.208,80.225,-0.000684,0.05433,1483,2.0421
45,125.165,132.906,54.394,22.661,6.528,5.579,148,150,23.24,0.145,-7.436,-0.0003943,0.05403,811,1.6995
46,1976.613,71.606,5.9171,25.07,5.534,3.48,1987,79,5.648,0.371,15.275,0.001302,0.05488,225,0.79923
47,55.839,133.131,9.6758,24.536,5.53,4.305,67,143,7.598,0.222,1.437,-0.0008964,0.05384,321,1.0948
48,2090.983,108.229,41.817,22.947,19.583,7.087,2121,130,17.122,0.638,4.624,0.0009051,0.05498,1088,1.9183
49,2105.976,88.609,53.969,22.67,12.345,6.378,2135,112,20.57,0.483,41.059,0.001112,0.05519,1203,2.3147
50,2123.742,67.035,15.665,24.013,7.063,6.967,2139,82,9.095,0.014,-42.754,0.001355,0.05532,601,1.4825
51,326.424,156.448,16.968,23.926,12.487,5.654,357,170,8.897,0.547,15.049,-4.165e-05,0.05404,743,1.5748
52,1139.728,156.035,9.5005,24.556,6.414,3.944,1150,168,7.292,0.385,-58.043,-0.001675,0.05398,345,1.004
53,3909.683,94.966,44.805,22.872,15.872,7.983,3939,117,16.255,0.497,29.341,-0.0002147,0.05423,1458,2.1186
54,1245.526,99.002,22.209,23.634,17.408,4.514,1270,121,11.82,0.741,-29.684,0.0003214,0.05355,694,1.4476
55,246.435,96.69,21.542,23.667,7.345,5.004,269,110,12.504,0.319,12.002,-0.0007381,0.05416,550,1.3797
56,2573.376,101.605,7.457,24.819,4.946,3.336,2583,109,6.484,0.325,-19.06,-0.0005744,0.05363,262,0.83141
57,2331.537,183.875,73.137,22.34,16.995,6.448,2353,218,24.808,0.621,-77.951,0.000835,0.0547,1453,1.9675
58,1114.219,116.197,21.397,23.674,11.052,5.265,1138,129,10.725,0.524,22.674,-0.001837,0.05401,761,1.4796
59,170.372,119.368,16.438,23.96,6.041,4.323,185,130,10.997,0.284,-12.018,0.000494,0.05414,410,1.129
60,2206.827,20.056,1522,19.044,26.031,15.624,2274,115,152.892,0.4,-24.552,0.001306,0.05477,7872,4.2108
61,2238.786,49.64,22.197,23.634,11.768,7.375,2264,74,10.588,0.373,-57.484,0.001214,0.05453,868,1.4936
62,2146.675,56.599,2.3732,26.062,3.827,2.491,2154,62,3.602,0.349,31.837,0.001363,0.05521,88,0.48867
63,3993.029,7.133,33.874,23.175,7.509,5.092,4009,27,17.811,0.322,6.912,-0.0001635,0.05446,562,1.4013
64,73.54,15.128,2.9151,25.838,3.492,2.311,78,21,3.848,0.338,-79.869,0.0003838,0.05386,116,0.55523
65,448.35,30.594,22.049,23.642,7.559,5.839,463,43,12.078,0.228,-14.254,0.0006758,0.05561,624,1.395
66,4171.599,171.45,25.834,23.47,11.531,6.658,4193,189,11.857,0.423,6.663,-0.0001297,0.05436,913,1.6832
67,4189.654,195.048,12.207,24.283,6.111,4.549,4200,208,8.893,0.256,39.092,-0.0008183,0.05436,371,1.1089
68,1098.668,50.252,24.722,23.517,13.74,7.648,1123,72,11.544,0.443,-61.49,-0.001299,0.05409,917,1.84
