X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,78.1902140505895,73.4988012075541,18054.3779766933,601.89,2457.906,16.4194798040092,9.54459273478968,0.087,-72.458,9.989,9.123,8269,0.02468689025909259
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,89.9354631386117,71.9483705108893,20328.3350747991,4024.622,337.04,16.83455803557,10.6111909243025,0.158,82.832,11.564,9.734,9428,0.020545767621795122
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,114.18895561226,85.6417167091951,30722.6970079638,2912.979,674.829,16.9855477501134,13.4296527667695,0.281,-43.128,15.838,11.383,11958,0.06882811966147676
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,102.388504279019,62.4569876102016,20090.1003102662,3266.725,1575.371,17.3546349096763,10.9043951271036,0.328,35.922,13.302,8.935,8100,0.06872286857873107
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,98.9582828508979,82.1353747662452,25534.7885848872,550.213,3450.842,17.3957724757768,13.5287453963773,0.18,-60.792,14.94,12.256,12113,0.15530962766318845
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,75.6757926198118,62.0541499482457,14752.9096220741,647.092,1664.546,17.7268250975604,10.0016442514219,0.212,-85.226,11.267,8.882,6986,0.04104529251474192
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,84.1850197435097,63.1387648076322,16698.6273208061,3643.568,1384.238,18.0128313178433,11.5073871898881,0.118,-56.391,12.253,10.807,7509,0.08824803116181804
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,105.999134620987,75.2593855809009,25061.8346772823,620.475,1436.49,17.9409982002619,12.9548593988125,0.237,-31.143,14.831,11.311,8942,0.13952988245447315
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,69.8065986277808,53.0530149571134,11634.7329500364,2330.197,3771.264,18.1071346442041,13.7271394817711,0.408,65.514,17.841,10.562,8416,0.6800928550152673
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,97.5551809589289,68.2886266712502,20929.0054173938,111.548,2197.504,17.7541395760679,11.3182267710097,0.21,-81.982,12.734,10.057,7154,0.12363879223934107
3056.7,2544.2,18.5275050059928,10.521,0.18,37.4,91.5879292875716,75.1021020158087,21609.2754492717,3057.018,2544.478,18.5177302617665,12.1668219626573,0.161,31.757,13.283,11.145,6885,0.08672272374928941
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,97.1874501296136,70.9468385946179,21661.7285137884,3939.572,2568.22,18.6123774205594,13.8319161777752,0.331,13.424,16.911,11.311,7860,0.4320154829360646
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,61.2596907253587,50.2329463947941,9667.48094839824,3446.149,3793.814,18.5944537491849,9.50775155896493,0.133,26.309,10.211,8.857,4822,0.16194435427262907
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,64.5400914590715,47.1142667651222,9552.82640606506,1174.877,1775.624,18.5908290547231,8.49533622407024,0.21,13.849,9.558,7.546,4254,0.05958622438083182
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,76.8922278424794,64.5894713876827,15602.4948194647,1514.426,1691.715,18.3747237960625,12.8113782067348,0.239,-60.598,14.686,11.179,8229,0.49436406448595865
2753.8,65.1,18.976807254764,6.826,0.33,65.2,67.9812049237334,45.5474072989014,9727.52579712067,2753.479,65.395,18.9432738382216,9.73089628497807,0.139,79.455,10.487,9.029,5008,0.11000859108488786
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,76.0651035064347,47.9210152090539,11451.4727321584,3132.522,919.92,18.9452261335297,9.63208849502536,0.374,-73.906,12.174,7.616,4587,0.04613959833052252
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,86.7778967002815,74.6289911622421,20345.415480385,2089.826,2689.602,18.8307803003357,14.9301483875747,0.125,31.673,15.961,13.965,7405,0.5756564888770425
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,68.7522639703358,46.7515394998284,10097.9401653139,3568.618,3363.131,18.8401409144529,8.75413118476071,0.272,29.321,10.26,7.467,4174,0.03340708485407775
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,63.9570705917172,62.0383584739657,12465.1851687154,1685.37,1520.623,18.9388615891611,9.21683771387996,0.039,-70.625,9.402,9.04,4084,0.025592168347737004
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,90.4568361861151,48.8466915405022,13881.1810964667,1685.788,1217.126,19.0187207512412,10.1758251496377,0.399,64.267,13.126,7.893,4797,0.045755080310309976
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,93.7952244868955,52.5253257126615,15477.4480162447,842.642,2935.312,18.9650772939633,11.0895152298466,0.303,-32.713,13.283,9.253,5258,0.10610302689081091
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,63.4905028341494,49.5225922106365,9877.84048682795,3870.616,2828.558,19.0181633202421,10.0904136155066,0.212,39.294,11.367,8.962,5001,0.2286047674573946
1037.7,530.6,19.126817041069,7.59,0.07,0.5,62.5164632765183,58.1403108471621,11418.8304093807,1037.429,530.951,19.1084757045858,9.45507248385754,0.037,-65.981,9.635,9.283,4330,0.09597356702911927
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,56.5178502648905,50.8660652384014,9031.57829363868,3539.98,1141.217,19.0154499349597,9.22526347287707,0.024,18.663,9.338,9.117,4572,0.10432747859925588
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,65.5435039905931,57.022848471816,11741.6312172266,1632.123,205.569,19.5301085221809,9.28759298069204,0.0649999999999999,-31.409,9.605,8.985,3449,0.11965723291234077
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,73.9469479242453,62.1154362563661,14430.1108118557,3748.011,526.877,19.5977533066833,11.4832407021711,0.136,-59.339,12.354,10.677,4914,0.10025780142915279
1101.3,423.4,19.420519603726,8.066,0.28,85.9,73.2856601731871,52.7656753246947,12148.4362204871,1101.581,424.035,19.378895491124,10.7216616353996,0.301,80.031,12.824,8.966,4747,0.1619163966336229
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,59.4235266657387,49.3215271325631,9207.56536309575,284.544,3677.209,19.1700716367974,10.9096787883054,0.204,-50.562,12.228,9.731,5400,0.22792670107572083
2288.5,982.4,19.606711685463,7.302,0.39,30.7,72.2315561296512,44.0612492390873,9998.47235570326,2285.854,984.406,19.5403707025213,12.6349780682042,0.284,-30.906,14.932,10.695,4777,0.6772109465490104
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,84.655863581226,49.9469595129233,13283.6056131215,3799.636,3304.511,19.4776483465573,11.9822993160745,0.164,15.0,13.105,10.953,5141,0.1313581085412681
3965.5,1277.8,19.7229841142559,7.355,0.28,-9.3,66.3400904110214,47.7648650959354,9954.8446544478,3963.899,1278.7,19.6727801741444,9.81289515362311,0.341,-24.777,12.088,7.962,3432,0.38079688402252193
2019.5,1819.0,19.4883102356813,7.765,0.36,-22.5,74.9092724167865,47.9419343467434,11282.3873088701,2018.87,1819.392,19.4311163648744,11.3793738175701,0.23,-47.097,12.968,9.986,5024,0.187368928671521
274.4,417.8,19.3290917320778,7.058,0.26,64.8,64.9715792889393,48.0789686738151,9813.60196747881,274.227,417.771,19.3144221549492,8.76588698626671,0.184,67.018,9.704,7.919,3519,0.045732627160594785
326.1,2755.4,19.5229681698661,6.408,0.25,31.5,58.6581494067136,43.9936120550352,8107.14332439939,326.401,2755.962,19.4546015661477,8.41326616921157,0.246,38.291,9.689,7.301,3024,0.18697062349807195
