X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.844,2458.047,16.428870773214,19.7063551611657,0.078,-77.206,20.523,18.915,34678,0.05103267184547148
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.885,337.421,16.8743406933855,18.5052207768511,0.21,76.917,20.82,16.452,26714,0.11488275212963191
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.743,675.389,17.0202078701332,23.1385345032913,0.26,-35.686,26.898,19.895,32956,0.09184009536444743
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3266.921,1575.449,17.4161441876141,17.3133964604291,0.311,36.646,20.858,14.376,19351,0.12148031880332988
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.892,3450.55,17.4758819049087,18.8490439347995,0.126,-59.061,20.162,17.628,20186,0.20085372766166096
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.303,1665.565,17.7792397165303,16.3856698115152,0.228,-80.815,18.649,14.399,16531,0.22551594752426093
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3644.336,1383.7,18.0895484652106,15.9780395853809,0.238,-44.47,18.304,13.951,14086,0.1980658174765961
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,617.59,1436.734,17.9797551341868,22.478321386794,0.343,-26.047,27.732,18.232,21417,0.6139347547844201
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.091,3768.888,18.2238720724636,13.5822113641336,0.26,-47.215,15.789,11.687,10412,0.28473481538674544
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,112.525,2198.05,17.7967838149298,19.4676935761533,0.257,-75.992,22.585,16.792,20548,0.3328435080643988
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3941.431,2569.664,18.7130153740052,17.1441539336008,0.341,11.667,21.119,13.915,11181,0.8773662945407725
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3445.94,3792.829,18.6547556157337,14.1472741874893,0.144,-69.494,15.291,13.09,10452,0.1310006551405856
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1175.116,1775.63,18.6449307797813,13.4836166100568,0.177,18.603,14.863,12.237,9377,0.08174539267226213
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.989,1693.292,18.4351053130637,18.3048391416041,0.0600000000000001,87.232,18.88,17.742,14764,0.18864423264657593
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2752.86,64.806,19.0086614639444,13.7734385570561,0.115,69.896,14.641,12.957,8515,0.2070358390516325
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,345.589334631919,217.721280818109,236380.193764057,3134.335,919.924,19.009214036616,15.2157837713343,0.189,86.228,16.896,13.71,9056,0.3416676061406282
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2090.621,2687.39,18.9257314163498,18.9515398458278,0.168,25.038,20.777,17.279,11651,0.6154976160993688
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3567.972,3362.985,18.9119998075768,12.7609706733069,0.275,46.694,14.987,10.873,8036,0.17604782206216818
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1684.248,1521.443,19.0037009243971,14.317159718324,0.284,-18.946,16.92,12.117,8448,0.32330369450532637
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1686.689,1218.532,19.1366204586038,13.0387965088807,0.386,55.679,16.64,10.217,7033,0.40567207564586066
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,841.377,2936.565,19.049828747747,15.9182525975686,0.365,-39.508,19.976,12.69,10077,0.3951892384642073
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3869.528,2829.112,19.0962056671533,14.0696265610001,0.074,43.982,14.621,13.536,8297,0.43399979940125627
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1037.864,530.601,19.1721568155535,14.7307317655302,0.092,71.863,15.459,14.033,8830,0.0964328953135596
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3540.268,1141.446,19.1063580796644,12.8597718349899,0.148,-12.921,13.932,11.866,8011,0.1283656072133182
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1631.961,204.257,19.6021579220741,13.7163565084901,0.108,-24.101,14.523,12.961,7032,0.22500964449168648
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3748.0,526.86,19.721772981305,14.8881505315469,0.158,7.348,16.225,13.663,7218,0.16138379718973447
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1100.729,424.05,19.5003909354063,13.3803489304278,0.305,85.685,16.05,11.159,6802,0.23550351684413928
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,285.164,3677.545,19.2509710240187,14.5947122496814,0.181,-75.643,16.127,13.203,7730,0.20392875894821927
2288.5,982.4,19.606711685463,7.302,0.39,30.7,304.246166141097,185.590161346069,177390.327834325,2288.73,983.045,19.6877131196774,12.7936161453672,0.333,41.216,15.665,10.447,6380,0.21213361270052
