X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A40_INPUT,B40_INPUT,AREA40_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072608283,1.882,0.44,-38.8,108.57753197166,60.8034179041293,20740.433577548,526.848,2786.636,16.8475003669543,2.725968,0.397,-38.895,16.226,9.777,10896,0.041124002512904156
387.3,454.0,17.30232513182,1.678,0.45,-40.8,95.8023439234137,52.6912891578776,15858.599511912,387.682,454.224,17.2693598971436,2.763936,0.445,-38.136,16.452,9.136,9386,0.11041376654166037
2460.5,1071.5,17.6005286899439,1.858,0.18,-1.7,100.294573688363,82.2415504244576,25913.0539053644,2460.221,1071.609,17.593491126083,2.268,0.173,-0.239,13.5,11.162,8651,0.06153851818482729
1471.4,1174.9,17.9092020981665,1.331,0.17,39.7,73.597169621714,61.0856507860226,14123.7554895039,1471.167,1175.008,17.900163755428,1.882104,0.211,24.437,11.203,8.837,6611,0.05445301411441734
4049.5,1094.9,18.0295863854997,1.459,0.35,-52.0,80.4158190865199,52.2702824062379,13205.2372735741,4049.441,1094.857,18.0176715096764,2.066904,0.25,-50.966,12.303,9.223,6783,0.027948901083166288
2089.3,724.9,17.8812966001861,1.872,0.49,-49.4,102.386649113401,52.2171910478344,16796.032575674,2089.243,725.047,17.8728233201252,2.827608,0.425,-48.746,16.831,9.679,8851,0.03579722846878969
2043.1,360.7,18.3199917199614,1.233,0.0600000000000001,17.1,66.6484496496765,62.6495426706959,13117.7040723524,2043.112,360.596,18.3068711911878,1.646232,0.07,52.094,9.799,9.111,5647,0.033572580046788154
1437.2,4063.5,18.4899570149444,1.812,0.14,17.6,92.5631762146207,79.6043315445738,23148.6048282929,1437.124,4062.122,18.4366944042969,2.407944,0.108,35.59,14.333,12.782,7695,0.29586099099464525
3041.3,2890.2,18.4687058360537,1.439,0.01,-18.4,75.2430592627036,74.4906286700766,17608.3214214163,3041.142,2890.426,18.4654937080766,1.730568,0.042,31.55,10.301,9.865,5453,0.05553711601533615
374.0,883.0,18.7329818677192,1.123,0.14,-18.6,60.2861696865205,51.8461059304076,9819.37186173716,373.884,883.205,18.7323301233468,1.420776,0.091,-24.658,8.457,7.684,3434,0.047126840366274965
854.5,2942.4,18.867599357655,1.628,0.28,66.0,83.4179747929352,60.0609418509134,15739.8885514558,853.623,2940.17,18.8324815758391,2.90724,0.44,70.161,17.305,9.699,6462,0.4843519101904417
200.8,395.8,19.1634354051059,1.467,0.17,88.1,74.0946288921769,61.4985419805068,14315.3318298904,200.274,395.987,19.1311183397993,2.064048,0.189,73.576,12.286,9.963,5250,0.12901039447119664
3502.9,419.1,19.0167382953369,1.317,0.11,87.6,67.8311990660858,60.3697671688164,12864.6764431213,3500.888,420.777,18.9493374160319,2.381568,0.316,-42.28,14.176,9.699,5359,0.5409010047223652
3395.6,774.1,19.2144711753737,1.413,0.15,70.6,71.3882289529778,60.6799946100311,13608.868389294,3397.264,774.058,19.1761780653531,2.297736,0.231,9.685,13.677,10.514,5389,0.34158273884123186
1148.4,4046.5,19.0248973902175,1.691,0.19,69.9,84.6154222409899,68.5384920152018,18219.3946633453,1147.955,4044.553,18.9108002035883,2.869608,0.25,-62.732,17.081,12.815,7792,0.4600292394525411
1783.4,3041.8,19.7152297104168,1.256,0.14,-5.0,62.3989483087288,53.6630955455068,10519.6881101488,1783.499,3041.689,19.7104323514198,1.638336,0.125,-10.78,9.752,8.529,3350,0.031259861915404516
3927.8,3879.3,19.6634648015494,1.179,0.25,-8.0,59.8742351208268,44.9056763406201,8446.77825031674,3928.459,3879.084,19.5813172714896,1.803648,0.107,-1.327,10.736,9.59,4143,0.21500841030453122
342.2,2519.4,19.6646720858896,1.586,0.42,77.1,78.646786965221,45.6151364398282,11270.4131215744,342.242,2519.166,19.6620760652652,2.306976,0.357,79.091,13.732,8.836,4405,0.04781096672450093
2266.4,3089.2,19.6086701203018,1.521,0.27,39.7,74.9124849268828,54.6861139966244,12870.0768285799,2264.537,3087.964,19.5537498267214,2.688672,0.337,50.397,16.004,10.604,5601,0.4604173891722599
1705.5,442.3,19.3281794863145,1.156,0.02,13.4,59.0371913403344,57.8564475135277,10730.6819875395,1705.254,443.145,19.2804577551612,1.514184,0.02,-54.968,9.013,8.836,3553,0.2002296673781
171.4,1729.8,19.6677303946088,1.034,0.11,75.6,52.8310281962905,47.0196150946985,7804.01338025812,171.097,1729.926,19.651950910363,1.393056,0.088,71.368,8.292,7.558,2810,0.0728198355696566
3986.2,1200.2,19.261362624953,1.341,0.14,62.4,67.9870513479856,58.4688641592676,12488.2256015112,3985.908,1200.735,19.2345227568415,1.681008,0.113,79.407,10.006,8.878,3816,0.13319918727399985
4046.6,2149.2,19.2695094298366,1.68,0.23,-40.1,83.1021461394174,63.9886525273514,16705.7153560163,4046.823,2149.351,19.2598115847872,2.317896,0.259,-35.731,13.797,10.229,5531,0.0572384567183174
