X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,692.39215698924,387.739607913975,843416.667613984,527.284,2786.457,16.8935612188995,21.4967498633631,0.392,-34.452,27.569,16.765,29865,0.10417868329243983
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,599.922492339904,329.957370786947,621874.647443819,386.948,452.825,17.2989379023359,21.2862035253824,0.349,-44.759,26.382,17.162,25720,0.24541130316982238
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,493.347117004487,404.54463594368,627001.982989642,2459.598,1071.136,17.6424609727077,21.2083026888999,0.096,3.716,22.306,20.174,23438,0.21184251710395668
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,379.894927282921,315.312789644825,376317.967153342,1471.789,1175.146,17.9454760029834,16.9046739098984,0.2,24.206,18.9,15.118,15988,0.11719833605279231
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,443.088660400063,288.007629260041,400907.795116821,4048.029,1096.772,18.0358124905328,19.0834435835884,0.392,-45.808,24.474,14.874,17172,0.4763196404867542
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,595.376522280483,303.642026363046,567941.309777123,2090.556,722.823,17.9313037182045,21.5295136342882,0.471,-43.757,29.601,15.662,21215,0.49564161511584126
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,315.90907452977,296.954530057984,294714.7884495,2043.147,361.301,18.3789299124709,14.1748015859129,0.107,-11.457,15.0,13.4,10510,0.16861401669073578
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,399.485934914333,343.557904026326,431172.75474102,1436.994,4061.604,18.549245724237,17.7921004353899,0.273,-5.513,20.867,15.165,12457,0.399437006626906
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,327.439523003788,324.16512777375,333462.702290722,3041.528,2891.544,18.5532786381297,14.4032510380122,0.111,23.139,15.276,13.586,9769,0.32085406723239696
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,288.988716731196,248.530296388828,225636.885750891,372.732,881.511,18.750741566587,16.6824814176429,0.0620000000000001,18.497,17.225,16.154,10943,0.39275870288740633
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,381.07900661849,274.376884765313,328482.636650088,855.496,2941.469,18.9386673434848,16.7854588550626,0.225,77.414,19.067,14.771,10100,0.30748403379772427
200.8,395.8,19.163435126387,8.731,0.17,88.1,315.344395430573,261.735848207375,259297.421782893,199.288,394.587,19.2728565100462,13.4527993518078,0.074,87.417,13.98,12.952,6862,0.44518744522304354
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,294.879310298431,262.442586165604,243124.364528113,3500.201,420.42,18.9913298703434,18.1160515448593,0.074,46.815,18.826,17.425,10916,0.603026198181663
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,302.024882640491,256.721150244417,243587.07862794,3394.458,774.655,19.30812589844,13.6084599019507,0.217,87.922,15.379,12.035,7269,0.3155665655536525
