OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,518.197,10.075,4.4834,25.371,3.82,3.691,526,17,5.414,0.034,38.656,0.005522,0.04971,149,0.80303
2,2382.647,19.216,27.2,23.414,10.225,5.995,2398,35,14.372,0.414,-25.829,0.006936,0.04945,768,2.2402
3,890.935,17.914,43.353,22.907,10.805,7.267,922,36,19.595,0.327,-38.106,0.005512,0.05047,969,2.2729
4,3291.327,7.166,5.2995,25.189,5.322,3.215,3302,14,5.531,0.396,25.809,0.007508,0.04998,206,0.82549
5,4195.684,16.173,27.222,23.413,9.675,3.178,4200,45,16.644,0.671,-79.405,0.005421,0.0497,480,1.5974
6,4180.275,5.721,4.7261,25.314,4.795,2.507,4189,16,5.803,0.477,-46.099,0.005433,0.0497,150,0.75105
7,350.932,12.51,142.75,21.614,7.374,6.565,377,40,45.045,0.11,-41.485,0.006759,0.04949,1273,2.8556
8,336.864,39.109,10.474,24.45,6.288,4.619,350,51,8.352,0.265,8.886,0.006714,0.04948,354,1.2661
9,2038.99,13.644,5.8601,25.08,6.561,4.052,2053,21,5.445,0.382,1.434,0.00748,0.05024,282,1.0504
10,969.256,22.393,22.908,23.6,6.017,4.907,981,38,14.853,0.185,-56.142,0.005845,0.05065,454,1.7249
11,1024.686,24.922,8.6062,24.663,7.492,5.806,1036,39,7.027,0.225,44.385,0.005974,0.05036,346,1.3538
12,1699.371,7.922,83.383,22.197,9.631,5.877,1731,35,31.725,0.39,-30.48,0.00619,0.05002,1042,2.4949
13,1969.935,24.581,3.1491,25.755,4.024,2.326,1975,33,4.194,0.422,-69.237,0.005409,0.05039,133,0.69838
14,2464.88,33.901,6.3427,24.994,5.688,3.839,2476,46,6.291,0.325,-33.29,0.006997,0.04952,241,1.0122
15,3596.573,10.312,5.4734,25.154,6.029,3.911,3607,22,5.284,0.351,-89.675,0.004133,0.04976,252,1.2485
16,261.27,42.81,8.4801,24.679,6.271,3.126,269,58,7.747,0.502,76.272,0.006953,0.04971,271,1.1551
17,936.142,7.802,17.552,23.889,5.295,4.036,952,22,12.947,0.238,-43.008,0.005704,0.05053,349,1.3804
18,1870.933,13.49,23.383,23.578,7.061,5.26,1891,27,14.278,0.255,7.444,0.005955,0.04983,547,1.5121
19,3929.91,12.786,9.1044,24.602,9.738,3.827,3947,23,6.988,0.607,-14.639,0.007494,0.0509,396,1.2669
20,1905.372,64.486,44.745,22.873,9.287,5.342,1925,82,20.984,0.425,60.945,0.005833,0.04969,836,1.9161
21,1898.297,80.263,9.8802,24.513,4.86,3.726,1908,89,9.188,0.233,41.072,0.005865,0.0495,248,0.99913
22,922.474,53.809,5.9864,25.057,5.217,3.626,931,63,5.832,0.305,67.664,0.005635,0.05047,238,1.114
23,1593.878,37.629,37.244,23.072,16.381,5.892,1613,73,16.737,0.64,-71.785,0.005626,0.05008,1075,2.5554
24,1238.125,65.608,15.053,24.056,9.344,5.122,1254,80,9.726,0.452,-35.673,0.006055,0.04967,549,1.6736
25,4034.679,64.521,4.7199,25.315,5.44,2.973,4042,75,5.468,0.453,-75.843,0.007369,0.05012,174,0.90406
26,3567.876,28.364,11.352,24.362,6.862,6.216,3584,43,7.989,0.094,24.314,0.003745,0.04988,471,1.7048
27,182.638,16.342,62.407,22.512,12.234,5.427,207,46,25.411,0.556,55.874,0.007245,0.05021,1062,2.3535
28,160.473,42.135,23.006,23.595,8.415,5.651,187,56,12.472,0.328,-7.938,0.007284,0.05006,736,2.48
29,105.859,36.899,49.528,22.763,23.228,8.428,145,58,17.318,0.637,9.403,0.00658,0.04948,1866,2.6037
30,529.474,74.252,13.457,24.178,6.724,6.263,544,89,9.293,0.069,71.874,0.005437,0.05001,474,1.542
31,3444.279,84.561,10.588,24.438,10.203,4.188,3455,104,8.198,0.59,75.261,0.006397,0.04999,384,1.3586
32,3378.158,83.569,3.0267,25.798,3.8,3.457,3387,90,3.981,0.09,17.356,0.007167,0.05008,139,0.69901
33,1349.263,92.838,7.657,24.79,6.139,4.656,1362,104,6.474,0.242,47.401,0.007219,0.05033,325,1.1879
34,4049.735,98.897,14.464,24.099,8.85,4.996,4061,117,9.917,0.435,-88.463,0.007284,0.0498,484,1.4367
35,949.953,95.853,3.8591,25.534,4.966,3.313,957,104,4.339,0.333,-57.868,0.005616,0.05072,197,0.9687
36,3684.325,111.923,41.857,22.946,8.662,5.732,3701,133,19.823,0.338,41.219,0.004998,0.04993,874,2.3054
37,3407.094,34.128,531.19,20.187,15.34,11.495,3458,87,85.771,0.251,12.099,0.0066,0.05002,4936,4.0974
38,4189.914,109.256,9.5562,24.549,8.39,4.985,4200,121,7.701,0.406,-7.715,0.005427,0.04969,355,1.3317
39,612.006,28.63,81.97,22.216,22.093,14.289,661,72,23.516,0.353,-30.519,0.006095,0.04982,2662,2.927
40,565.231,34.258,20.057,23.744,13.081,9.258,588,58,10.784,0.292,-59.324,0.005276,0.04983,818,2.0023
41,1197.941,110.479,7.858,24.762,6.324,3.813,1213,119,7.244,0.397,-4.85,0.005884,0.04977,275,1.0326
42,134.793,115.86,3.5111,25.636,4.857,3.003,140,126,4.42,0.382,77.445,0.006636,0.05008,150,0.74465
43,58.762,124.639,6.1689,25.024,7.448,3.513,68,140,5.595,0.528,-72.537,0.005364,0.0495,293,1.1043
44,1791.953,51.294,130.41,21.712,8.789,6.248,1818,79,41.562,0.289,46.748,0.007018,0.04959,1399,2.8052
45,1803.838,86.842,14.016,24.133,4.431,3.876,1813,97,11.446,0.125,-38.401,0.006749,0.04959,297,1.2411
46,1827.41,62.965,8.4411,24.684,6.687,3.713,1835,76,7.185,0.445,-65.982,0.00652,0.04955,316,1.332
47,1775.415,29.964,5.8391,25.084,6.236,4.196,1788,40,5.214,0.327,-4.107,0.007169,0.04971,299,1.1999
48,1996.512,131.006,12.385,24.268,9.092,5.91,2014,143,8.194,0.35,24.312,0.005433,0.04961,534,1.4668
49,2627.968,132.127,11.699,24.33,5.538,4.99,2638,143,8.957,0.099,12.134,0.006884,0.04984,378,1.3269
50,3629.075,42.956,15.168,24.048,11.661,7.31,3656,59,8.947,0.373,6.694,0.004559,0.04985,686,1.9098
