X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,130.662737369889,73.1711329271378,30035.9521953255,527.059,2786.578,16.8407286015215,13.16370819002,0.393,-35.579,16.896,10.251,12576,0.02710044974077442
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,116.045375573119,63.8249565652154,23268.4920482548,387.645,454.236,17.2681500081354,12.2903300460565,0.439,-37.726,16.409,9.209,9491,0.10798571574210596
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,101.750255573071,83.4352095699185,26670.7201567411,2460.382,1071.843,17.5880283850155,12.6826674723025,0.107,-7.177,13.421,11.987,9667,0.07673300761410468
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,74.4205884858798,61.7690884432802,14441.5618606676,1470.865,1174.986,17.900039379896,10.1105139671532,0.23,28.077,11.522,8.868,6695,0.10991602335273988
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,90.2968571297626,58.6929571343457,16649.7799626092,4049.47,1094.861,18.0165909682925,10.9908091947318,0.245,-37.042,12.649,9.544,7095,0.027792851292065417
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,127.455555256288,65.0023331807069,26027.8075803073,2089.261,724.941,17.8778563581582,12.602650410132,0.44,-48.193,16.841,9.438,8602,0.01324736090576075
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,63.7890175820791,59.9616765271543,12016.2665511215,2043.076,360.685,18.308826690184,9.37317722013192,0.072,51.693,9.73,9.033,5325,0.023035859247551103
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,91.5945158752421,78.7712836527082,22666.6462595361,1437.521,4062.983,18.4529628813964,12.3601124502975,0.134,-4.564,13.282,11.495,6553,0.1424383763355908
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,70.2382047973408,69.5358227493674,15343.7627011108,3041.347,2889.856,18.4599389899337,10.4451424472814,0.046,-66.072,10.694,10.201,5920,0.07160802811418589
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,89.0252931209383,64.0982110470756,17927.0650227271,854.158,2941.827,18.8376604455433,11.7508007227167,0.295,73.253,13.995,9.862,5953,0.14626210038805648
200.8,395.8,19.163435126387,8.731,0.17,88.1,74.3315920453596,61.6952213976484,14407.0424046781,200.524,396.353,19.1278766426019,11.1916199550378,0.198,69.876,12.497,10.028,5436,0.14261006452767971
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,66.1775527129409,58.8980219145174,12245.0703516176,3503.166,419.498,18.9924858131788,9.87870325371706,0.129,56.392,10.585,9.217,4534,0.10733569907397722
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,70.9173710931994,60.2797654292195,13429.9394392252,3397.267,774.153,19.1789210472669,12.0617360131119,0.214,6.85,13.605,10.695,5648,0.34104295791114164
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,85.6954609315338,69.4133233545424,18687.4709138708,1148.071,4044.706,18.9241331939563,14.3987269477895,0.227,-62.358,16.377,12.658,7220,0.4167509963910879
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,61.5837246126086,52.9620031668434,10246.6104872274,1783.357,3041.97,19.7031422861815,9.38988200437045,0.144,-21.23,10.149,8.686,3528,0.04258880016900561
3927.8,3879.3,19.6634651170865,7.021,0.25,-8.0,62.7618125967971,47.0713594475978,9281.15640938911,3927.808,3880.271,19.5712537330747,10.4579323960332,0.125,-62.371,11.18,9.777,4273,0.2678136167887781
342.2,2519.4,19.664671706824,9.44,0.42,77.1,91.5777419705445,53.1150903429158,15281.2094417864,341.912,2519.445,19.6560172256982,11.2639342757315,0.342,78.86,13.886,9.134,4494,0.0608193503266725
2266.4,3089.2,19.6086701443024,9.051,0.27,39.7,79.1216751819242,57.7588228828047,14356.9993311011,2265.815,3089.981,19.5809077870781,11.3938101707901,0.138,37.081,12.272,10.581,4717,0.20290124410707105
1705.5,442.3,19.3281798107021,6.879,0.02,13.4,55.2424404396049,54.1375916308128,9395.53815643043,1705.345,442.928,19.2808125999081,8.82657011822826,0.0669999999999999,76.495,9.138,8.523,3529,0.16034832060493515
171.4,1729.8,19.6677306987168,6.157,0.11,75.6,51.5304057239577,45.8620610943224,7424.49643603849,169.143,1729.753,19.6108407441645,10.4336685047973,0.367,3.528,13.114,8.298,3772,0.46561278908088166
3986.2,1200.2,19.2613623112116,7.98,0.14,62.4,67.2022952959769,57.7939739545401,12201.5930783201,3984.996,1201.692,19.2102251953073,10.7495934806857,0.184,-49.457,11.9,9.705,4567,0.39684801080862925
4046.6,2149.2,19.26950947374,9.999,0.23,-40.1,85.8765044799876,66.1249084495905,17839.7726341156,4046.444,2149.61,19.2740021268613,11.3375266800568,0.219,-41.268,12.829,10.025,5127,0.08820995702082132
1846.0,3129.4,19.6000597989955,8.902,0.38,3.5,84.7178002273044,52.5250361409287,13979.4763275114,1846.939,3130.137,19.5630992095716,11.1606845108174,0.314,8.934,13.475,9.238,4530,0.24993138833734693
1435.0,1934.1,19.9776660757602,6.645,0.18,13.5,56.0247639464142,45.9403064360596,8085.81491000275,1434.582,1932.314,19.9375388551974,10.4265455765081,0.309,75.553,12.543,8.669,3504,0.37552375033140056
1839.7,576.6,19.9082415459492,5.801,0.05,-32.6,46.6295805548226,44.2981015270815,6489.27973412075,1839.344,576.58,19.9041053213725,7.70082191522437,0.03,-77.702,7.819,7.583,2610,0.07178052553933612
424.6,166.0,19.8387475721631,8.306,0.24,-38.4,70.9338371861605,53.909716261482,12013.5226771942,424.263,165.272,19.7543254722629,11.042096736988,0.0590000000000001,-68.66,11.383,10.714,4189,0.23291768580017955
658.8,3698.6,20.0077311060648,8.411,0.49,56.4,86.4176160333513,44.0729841770092,11965.3280949421,659.601,3700.795,19.9764037518484,11.2324217974576,0.476,60.795,15.517,8.134,3981,0.47148095047976646
3439.2,920.0,20.1371833067504,6.307,0.2,34.4,53.6570223742773,42.9256178994218,7235.90733443027,3439.135,919.981,20.1348358401665,8.0250865436455,0.127,31.09,8.589,7.499,2539,0.014325801428417932
599.6,947.2,19.8979623505872,6.906,0.3,-29.3,63.0008015990798,44.1005611193558,8728.5089847458,598.892,947.384,19.8562616841668,8.91337203374795,0.227,-24.062,10.138,7.835,3172,0.16840136534310388
398.8,3285.1,19.9775851295134,6.962,0.21,-82.7,59.3669142811545,46.8998622821121,8747.13675180186,398.238,3286.83,19.9334364397219,9.82194057892838,0.351,-74.808,12.192,7.911,3497,0.37434225406106675
795.1,112.2,19.9464663692941,6.28,0.21,73.6,54.5400095789245,43.0866075673504,7382.5667735931,795.012,112.546,19.9364347055804,8.04761205849288,0.151,72.565,8.734,7.411,2628,0.07416771352367767
4173.4,1896.9,19.9872244537934,5.655,0.21,60.4,49.7645455351777,39.3139909727904,6146.34662275412,4173.514,1896.838,19.9550789782085,7.93772703335155,0.186,66.138,8.798,7.164,2670,0.06933930001362765
3195.6,3301.0,19.8015692500433,8.929,0.41,26.8,85.7809073631262,50.6107353442445,13639.0196741725,3196.497,3302.864,19.7748421216004,12.4093362916797,0.248,39.837,14.31,10.754,4747,0.4171505125829003
1227.5,3972.7,20.0461130919053,6.961,0.18,-1.7,57.9746758634277,47.5392342080107,8658.45458665287,1227.268,3973.065,20.04634760097,8.57516492879292,0.099,-11.277,9.034,8.135,2744,0.08650783695494987
399.2,1966.7,19.8430778679057,5.706,0.19,-58.9,50.0232467419288,40.5188298609623,6367.64207398458,398.326,1966.752,19.8167421002007,8.57931370798387,0.203,-21.054,9.61,7.661,3005,0.1828620993656093
