OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,518.207,10.073,4.2126,25.439,3.816,3.692,4.206,3.705,5.189,0.033,37.629,0.00734,0.04966,149,0.68476
2,1809.219,9.898,11.688,24.331,7.209,3.943,7.834,4.403,9.261,0.453,-14.543,0.007295,0.04937,372,1.2588
3,3539.681,11.655,23.706,23.563,11.277,4.863,12.084,5.528,13.809,0.569,-52.543,0.007841,0.05111,605,1.8345
4,890.959,17.935,42.567,22.927,10.804,7.257,12.698,8.064,19.636,0.328,-38.251,0.006249,0.05008,967,2.4489
5,616.735,14.111,40.929,22.97,16.012,5.777,19.377,6.502,17.921,0.639,1.633,0.008542,0.05013,1121,2.2858
6,4096.398,18.191,18.444,23.835,6.681,3.999,8.346,4.702,12.549,0.401,76.609,0.006644,0.04987,442,1.4416
7,3596.581,10.28,4.6106,25.341,6.007,3.906,6.066,3.982,4.521,0.35,89.845,0.007433,0.051,251,1.1029
8,3568.883,28.08,8.2457,24.709,6.808,4.949,7.013,5.274,6.445,0.273,20.14,0.007798,0.05088,390,1.294
9,968.366,21.945,24.187,23.541,6.374,5.933,7.826,7.071,14.871,0.069,70.76,0.005802,0.05054,540,1.495
10,936.782,7.771,17.936,23.866,5.953,4.299,7.807,5.05,13.107,0.278,-22.908,0.006025,0.05046,373,1.4706
11,3863.086,5.518,3.6245,25.602,3.401,2.363,3.765,2.517,5.295,0.305,6.132,0.009358,0.04965,114,0.6313
12,1643.249,21.284,9.808,24.521,7.465,4.351,7.882,4.713,7.519,0.417,43.606,0.007916,0.05075,409,1.4019
13,1969.939,24.548,3.2655,25.715,4.032,2.328,4.36,2.544,4.419,0.423,-69.229,0.004534,0.05005,133,0.70654
14,3629.021,42.997,13.21,24.198,11.653,7.295,11.623,7.39,7.955,0.374,7.203,0.007385,0.05076,680,1.6469
15,440.619,27.847,51.109,22.729,23.875,11.774,23.169,11.87,16.592,0.507,16.391,0.005382,0.05002,2274,3.3946
16,290.599,38.685,7.31,24.84,5.792,4.119,5.957,4.115,6.938,0.289,-4.532,0.004898,0.05058,257,1.0357
17,2490.001,47.525,11.149,24.382,5.101,4.175,5.606,4.838,9.429,0.182,45.798,0.00733,0.05014,308,1.1942
18,1103.502,47.38,3.5209,25.633,4.263,3.487,4.383,3.571,4.184,0.182,-53.411,0.006663,0.05019,175,0.88263
19,2208.616,61.812,10.495,24.448,7.114,4.796,7.46,4.963,8.055,0.326,-27.289,0.008168,0.05042,413,1.5198
20,666.946,72.879,21.776,23.655,8.18,6.485,9.009,7.152,12.863,0.207,59.649,0.007476,0.05059,630,1.6466
21,354.494,75.241,5.5911,25.131,5.703,4.135,5.721,4.437,5.557,0.275,83.494,0.006034,0.05006,244,1.0879
22,276.59,80.268,8.5624,24.669,12.185,4.318,11.777,4.296,7.05,0.646,-42.559,0.006181,0.05024,361,1.212
23,2843.704,89.925,15.193,24.046,5.911,4.042,7.27,4.797,11.363,0.316,-49.904,0.007868,0.04952,394,1.3889
24,350.33,12.91,149.19,21.566,8.73,6.797,13.326,9.862,45.945,0.221,-31.533,0.003873,0.05035,1431,2.7599
25,339.055,40.403,12.466,24.261,7.966,4.756,8.835,4.973,8.793,0.403,2.378,0.004431,0.05037,470,1.4802
26,3556.457,81.571,8.3786,24.692,5.182,3.241,5.685,3.766,7.976,0.375,23.704,0.008042,0.0505,240,0.90528
27,3291.317,7.164,4.9601,25.261,5.318,3.208,5.412,3.65,5.278,0.397,25.936,0.009155,0.04987,206,0.76063
28,30.719,101.353,8.9079,24.626,8.08,2.909,8.887,3.09,7.809,0.64,78.25,0.006412,0.05004,302,1.1454
29,294.56,106.44,6.9486,24.895,7.863,4.146,7.558,4.248,5.816,0.473,82.96,0.007075,0.05002,362,1.3659
30,827.913,28.838,76.003,22.298,9.349,5.9,13.078,8.491,29.313,0.369,27.364,0.007015,0.05,1162,2.0414
31,847.133,54.589,16.495,23.957,10.199,4.209,11.415,4.818,10.958,0.587,-24.104,0.006572,0.05,513,1.6407
32,849.292,70.2,4.8066,25.295,4.337,2.787,4.818,3.117,5.536,0.357,-24.586,0.006051,0.0501,177,0.85673
33,3255.129,25.815,63.109,22.5,8.116,6.59,10.884,8.82,25.675,0.188,-64.908,0.009356,0.05001,1113,2.2029
34,2299.167,121.987,20.643,23.713,10.24,5.732,10.845,6.273,11.663,0.44,-58.923,0.007864,0.04971,739,1.6201
35,4074.806,28.436,14.867,24.069,7.127,4.638,7.714,5.164,10.613,0.349,85.658,0.007687,0.05014,446,1.3828
36,1055.721,22.19,7.8209,24.767,6.137,3.264,6.65,3.32,7.386,0.468,23.959,0.005779,0.05071,252,1.1196
37,343.538,125.47,8.347,24.696,7.664,5.077,7.563,5.158,6.733,0.338,47.657,0.008056,0.04977,373,1.4355
38,1248.963,101.135,68.511,22.411,22.439,7.886,22.824,8.638,24.056,0.649,9.143,0.007615,0.05059,1734,2.6759
39,645.35,35.83,7.6695,24.788,8.042,3.12,8.29,3.325,6.832,0.612,-6.441,0.008501,0.05038,302,1.2317
40,182.641,16.333,61.314,22.531,12.169,5.383,14.255,7.14,25.574,0.558,56.161,0.00809,0.05069,1038,2.1299
41,160.445,42.132,22.9,23.6,8.395,5.648,10.035,6.276,12.617,0.327,-8.141,0.007471,0.0505,732,2.0143
42,108.122,37.728,46.789,22.825,21.726,8.129,21.649,8.81,17.418,0.626,5.913,0.006877,0.05035,1676,2.7986
43,3185.338,39.397,7.4857,24.814,6.611,5.592,6.705,5.91,6.417,0.154,57.012,0.008561,0.05025,324,1.1786
44,2185.864,99.09,5.8504,25.082,4.95,2.766,5.324,2.952,6.55,0.441,79.022,0.007926,0.05052,186,0.91579
45,2814.063,5.911,5.1392,25.223,7.252,2.384,7.495,2.64,5.807,0.671,3.653,0.006655,0.04917,192,0.77507
46,1197.926,110.445,7.6065,24.797,6.303,3.829,6.582,4.024,7.084,0.393,-4.958,0.006841,0.05017,280,1.2001
47,1788.165,135.983,19.4,23.781,13.796,4.245,13.929,4.716,11.868,0.692,-3.961,0.007131,0.04986,601,1.7854
48,59.302,124.124,5.9639,25.061,7.253,3.102,7.549,3.147,5.867,0.572,-78.436,0.005862,0.05004,251,1.0085
49,4057.696,137.884,5.8916,25.074,5.483,2.909,5.652,3.156,6.192,0.469,14.213,0.006601,0.05025,211,0.98849
50,1434.138,27.017,25.418,23.487,14.144,7.304,14.644,7.639,12.239,0.484,-39.157,0.008093,0.05058,1017,2.0567
51,2627.997,132.099,10.839,24.413,5.488,4.962,5.952,5.691,8.48,0.096,10.359,0.00893,0.05059,373,1.317
52,1024.432,24.87,9.0871,24.604,7.601,5.964,7.352,6.31,7.403,0.215,39.072,0.005207,0.05086,357,1.2339
53,1659.82,140.029,9.7533,24.527,5.268,4.151,5.985,4.604,8.623,0.212,-6.426,0.008499,0.05051,283,1.1549
54,1888.16,146.863,4.8537,25.285,4.884,2.468,5.273,2.752,5.845,0.495,63.544,0.005882,0.04958,162,0.80091
55,2464.563,33.622,6.5945,24.952,5.483,4.474,5.525,4.873,6.179,0.184,-35.113,0.007193,0.05005,282,1.0086
56,2897.257,39.181,7.2889,24.843,4.706,3.695,5.085,4.051,7.009,0.215,-9.861,0.008642,0.04944,252,1.2216
57,893.532,58.838,4.3178,25.412,4.689,2.756,4.844,2.933,5.246,0.412,87.729,0.005877,0.05011,162,0.83072
58,6.468,62.887,3.1493,25.754,3.403,1.993,3.825,2.382,4.622,0.414,-77.863,0.007604,0.04981,101,0.651
59,1293.659,7.863,90.657,22.106,15.274,5.892,19.226,7.192,32.49,0.614,-1.636,0.00939,0.04999,1338,2.9143
60,1208.766,31.845,44.92,22.869,9.665,6.805,11.694,8.361,20.292,0.296,-53.102,0.007711,0.04987,979,1.9408
61,1234.042,21.874,13.91,24.142,10.467,5.977,10.203,6.138,8.999,0.429,7.974,0.008814,0.05011,579,1.5907
62,1079.898,170.676,30.22,23.299,12.089,9.468,12.595,9.741,13.24,0.217,-42.292,0.006035,0.05058,1231,2.4332
63,358.751,168.091,16.16,23.979,14.662,5.654,14.897,5.84,9.631,0.614,57.353,0.007291,0.0501,687,1.7201
64,3407.31,35.321,527.6,20.194,15.84,13.137,24.867,21.073,84.972,0.171,34.415,0.008717,0.05059,5305,NA
65,2421.297,66.161,49.637,22.76,8.011,6.095,11.014,7.966,22.339,0.239,19.204,0.00715,0.04993,924,2.0338
66,2432.963,47.156,7.1072,24.871,5.708,4.291,5.991,4.456,6.452,0.248,34.908,0.007352,0.05002,288,1.2496
67,3935.865,11.518,5.9213,25.069,5.11,3.549,5.873,3.757,5.883,0.305,-9.668,0.00934,0.05027,244,0.9453
68,1991.515,164.533,20.413,23.725,9.872,7.277,9.791,7.629,11.589,0.263,46.341,0.007474,0.04977,732,1.8636
69,4196.054,14.92,26.363,23.447,7.902,3.143,10.461,3.576,17.234,0.602,-83.014,0.006603,0.04964,424,1.3574
70,4180.277,5.711,4.5577,25.353,4.789,2.504,5.182,2.724,5.702,0.477,-46.104,0.006555,0.04961,150,0.72372
71,992.952,166.277,31.172,23.266,7.331,6.194,9.248,7.541,16.492,0.155,84.646,0.006025,0.0508,732,1.8045
72,1858.66,82.898,34.798,23.146,14.327,6.94,15.876,7.594,15.909,0.516,52.356,0.006181,0.04895,1103,1.9031
