OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,1649.541,3.409,2.4772,26.015,3.1,1.716,3.181,1.946,3.948,0.446,23.422,0.00516,0.05531,74,0.51355
2,212.157,9.875,6.2047,25.018,5.406,3.267,6.151,3.46,5.638,0.396,-46.175,0.0041,0.05542,230,1.0411
3,590.042,10.293,8.264,24.707,6.352,4.588,6.42,4.778,6.608,0.278,61.104,0.005591,0.05441,304,1.0632
4,3445.693,12.936,6.7313,24.93,7.71,2.934,8.053,3.14,5.991,0.619,-76.104,0.006777,0.05453,250,1.1136
5,2395.513,12.364,10.056,24.494,6.263,4.053,6.625,4.15,7.745,0.353,31.958,0.005273,0.05513,324,1.0747
6,799.684,25.069,7.2203,24.854,7.164,4.618,7.248,4.794,5.629,0.355,-73.307,0.005522,0.05395,326,1.1362
7,1398.263,10.606,25.003,23.505,14.295,5.924,14.961,6.061,12.285,0.586,21.91,0.0074,0.05481,768,2.067
8,2942.288,28.334,10.719,24.425,7.082,4.355,7.306,4.671,7.714,0.385,-83.278,0.005931,0.05479,368,1.1711
9,1989.161,14.361,24.105,23.545,9.069,6.287,9.382,7.03,12.527,0.307,-56.397,0.00608,0.05455,691,1.9491
10,3699.617,25.79,13.746,24.155,11.32,4.732,12.124,4.777,7.982,0.582,82.018,0.005372,0.05463,570,1.7609
11,2778.413,10.785,4.058,25.479,4.755,2.54,4.649,2.643,4.703,0.466,-36.167,0.003643,0.05481,147,0.79782
12,74.892,15.7,3.0278,25.797,4.536,2.551,4.779,2.68,3.633,0.438,-1.071,0.005885,0.05457,147,0.69896
13,641.23,11.774,8.8425,24.634,4.655,3.328,5.073,3.665,7.914,0.285,-89.112,0.005379,0.05526,222,1.0173
14,1838.985,24.455,4.8942,25.276,4.621,2.815,4.986,2.936,5.138,0.391,53.513,0.003037,0.05538,173,0.70718
15,2517.809,29.707,6.4361,24.978,3.836,3.268,4.236,3.692,6.668,0.148,41.705,0.005839,0.05505,172,0.82434
16,278.066,11.273,100.06,21.999,9.261,6.962,13.167,9.045,32.76,0.248,6.368,0.004476,0.05493,1266,2.5314
17,2838.708,22.765,4.1313,25.46,4.904,3.106,5.097,3.16,4.202,0.367,54.451,0.004268,0.05501,179,0.83077
18,3824.78,39.062,13.174,24.201,7.316,5.415,7.72,5.735,8.991,0.26,5.456,0.004762,0.05478,407,1.4223
19,449.452,33.276,20.679,23.711,6.637,5.025,7.71,5.869,11.959,0.243,-36.43,0.005601,0.05532,530,1.4559
