OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,1651.543,10.489,6.6343,24.946,6.366,5.229,5.889,5.575,5.829,0.179,66.007,0.001058,0.05489,262,0.99619
2,2394.777,10.838,6.3522,24.993,5.026,3.171,5.499,3.463,6.181,0.369,-31.381,0.0004879,0.05519,205,0.76213
3,1397.108,6.665,14.694,24.082,12.045,2.901,13.225,3.113,10.185,0.759,9.935,0.003695,0.05518,378,0.96822
4,2866.087,13.607,4.5226,25.362,5.472,3.252,5.504,3.357,4.631,0.406,30.773,-0.0006102,0.05433,194,0.81482
5,2647.506,16.76,5.9243,25.068,6.401,3.251,6.462,3.436,5.439,0.492,-51.855,-0.001022,0.05451,247,0.9067
6,2727.434,12.052,24.373,23.533,5.962,4.936,7.125,5.956,14.671,0.172,-84.404,-0.0009936,0.05459,466,1.3905
7,2626.665,14.063,5.1644,25.217,5.642,3.418,5.51,3.576,5.07,0.394,62.268,-0.0006515,0.0546,218,0.78845
8,1989.008,14.052,22.353,23.627,9.259,4.983,9.939,5.766,12.323,0.462,-51.264,0.0009811,0.05441,617,1.4399
9,4128.552,32.333,4.147,25.456,3.782,2.675,3.97,3.061,4.965,0.293,-60.493,0.0009365,0.05455,141,0.6685
10,2912.774,12.115,8.9599,24.619,6.978,4.095,7.076,4.231,7.006,0.413,81.062,-0.001027,0.05399,337,1.0413
11,3577.847,6.272,15.342,24.035,10.336,3.409,11.461,3.935,10.029,0.67,-0.971,0.001369,0.05466,442,1.1237
12,276.721,10.978,91.75,22.093,7.31,6.826,10.752,8.681,32.245,0.0659999999999999,-3.062,0.0001475,0.05349,1088,2.0601
13,2338.973,62.132,5.4965,25.15,6.742,3.333,6.767,3.556,5.088,0.506,-42.905,0.000684,0.05451,246,0.97782
14,1127.795,21.525,11.56,24.343,8.486,6.394,8.299,6.758,7.683,0.247,-15.187,0.000597,0.05478,460,1.3166
15,123.149,29.241,89.691,22.118,11.76,7.338,15.596,9.349,28.5,0.376,74.162,-0.0009031,0.05445,1602,2.291
16,1976.647,71.628,6.0587,25.044,5.601,3.47,5.843,3.613,5.761,0.38,15.456,0.0007941,0.05439,228,0.8145
17,642.448,11.644,9.4436,24.562,5.07,4.242,5.411,4.704,7.626,0.163,46.775,0.0009637,0.05537,283,1.0062
18,706.237,21.669,10.932,24.403,5.242,5.06,6.053,5.146,8.103,0.035,11.767,0.0006574,0.05489,358,1.0514
19,738.599,21.236,5.0864,25.234,3.521,2.946,3.785,3.27,5.897,0.163,-66.626,0.00105,0.0544,147,0.65094
20,3992.996,6.713,32.911,23.207,7.538,4.494,10.197,5.008,17.668,0.404,4.365,0.0007278,0.05508,533,1.4721
21,1798.319,27.908,20.141,23.74,8.163,6.08,8.934,6.83,10.819,0.255,7.142,0.0005502,0.05507,658,1.3343
