X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.403,2457.789,16.4348542239322,19.1875326844803,0.098,-62.634,20.203,18.224,32461,0.10108916598659155
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.788,336.714,16.8781188557513,18.1040481461191,0.203,80.26,20.279,16.166,24891,0.0970466482996473
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2913.021,675.066,17.0514591590109,20.936619011316,0.231,-42.948,23.875,18.357,26776,0.12851583643876963
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3268.223,1576.375,17.4118836500092,18.7027430254228,0.397,41.212,24.085,14.525,22737,0.3785468240101254
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.695,3449.219,17.4961134414396,17.8191492970905,0.182,-54.673,19.702,16.125,18289,0.25464188664310106
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.476,1663.931,17.7791952082002,15.9741535820838,0.214,-83.107,18.018,14.154,15928,0.14508181198198122
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.636,1384.066,18.0887195007079,15.928422824467,0.213,-52.511,17.955,14.137,13955,0.10579323469995969
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,617.987,1434.242,18.0032972527321,21.691324792829,0.183,-12.077,23.998,19.602,20555,0.6005299728669667
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2327.492,3769.753,18.2156911547875,14.7876920330388,0.351,-57.161,18.356,11.906,11278,0.4801443057464305
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,111.659,2196.589,17.8026575157343,18.8047720938064,0.185,-87.793,20.83,16.968,19317,0.1697821271526094
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3941.062,2568.833,18.7233729088042,17.4469554226518,0.355,9.024,21.724,14.003,11879,0.7536430597590631
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3446.826,3792.75,18.6311383258875,15.8793293388291,0.301,-66.82,18.993,13.277,12069,0.26905850945039506
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1174.654,1775.648,18.6460674953054,13.4164492154966,0.197,8.536,14.972,12.026,9574,0.12322831446865867
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.298,1692.385,18.4583571333629,16.9890652709324,0.105,-80.271,17.958,16.081,13178,0.29113581251592063
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2754.792,66.602,19.0073502298495,14.4483192923606,0.274,57.614,16.957,12.309,8532,0.3651445217353773
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,345.589334631919,217.721280818109,236380.193764057,3133.522,918.836,19.0295778535333,13.8270048123229,0.22,-82.803,15.656,12.218,8441,0.3029989440683595
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2086.763,2689.432,19.0153804500661,14.9687075207247,0.239,-77.215,17.159,13.055,9100,0.42236581065539985
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3567.848,3362.597,18.9012507899209,12.9631161545363,0.244,29.988,14.909,11.266,7806,0.1987123449295881
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1686.237,1517.937,18.970463923858,15.2887147326386,0.264,-88.578,17.821,13.11,8899,0.5425125622187964
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1686.132,1217.608,19.1288018545921,13.5182236202838,0.458,68.271,18.362,9.956,7939,0.2287700953063765
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,840.239,2938.076,19.0682008466263,15.6426777753683,0.389,-43.508,20.012,12.227,9094,0.7573682166662141
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3870.351,2828.37,19.1211923310876,12.8831993541977,0.204,41.34,14.44,11.496,7348,0.26692595036097805
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1036.867,529.92,19.1730402135276,15.7119630545327,0.213,73.323,17.711,13.941,9019,0.23407969748894047
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3540.478,1141.172,19.0860731484177,13.306530746066,0.041,-13.829,13.588,13.025,8121,0.08695534426054194
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1632.385,202.707,19.6127061156626,15.6358562285537,0.045,-72.47,16.0,15.277,8026,0.4914534145071471
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3749.07,530.997,19.6671932701797,18.4254932820807,0.122,-86.994,19.664,17.256,8999,0.8919692968792784
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1101.458,425.392,19.4701228348515,14.8727859372748,0.246,80.575,17.128,12.923,8063,0.4117807641427267
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,284.719,3676.013,19.2191579106367,15.7772857244838,0.192,-52.931,17.552,14.178,9441,0.14736878539975543
2288.5,982.4,19.606711685463,7.302,0.39,30.7,304.246166141097,185.590161346069,177390.327834325,2291.153,982.091,19.6401760458068,15.6649061556078,0.336,11.527,19.224,12.76,7621,0.5383638706231143
