X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.884,2457.655,16.4401574492,18.9109068338353,0.042,-89.087,19.321,18.514,32609,0.04103810936940053
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.896,337.259,16.8810341073141,18.2158089483833,0.204,77.474,20.417,16.245,26493,0.10479305535204342
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.553,675.796,17.039053068168,22.3143980987164,0.237,-37.112,25.546,19.501,31482,0.18318776729396
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3266.826,1575.639,17.4298332848571,16.7826927658228,0.322,37.004,20.382,13.82,18913,0.16702080784762405
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.77,3450.575,17.4861459123285,18.5071052598725,0.156,-56.483,20.145,16.998,20316,0.2005681896998862
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.32,1664.771,17.7941633904684,15.3263371806182,0.154,-75.724,16.663,14.093,14855,0.11711800989007976
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3644.141,1383.471,18.1026288850549,15.6515511669611,0.252,-44.043,18.097,13.538,13783,0.1982475184490423
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,619.722,1435.675,18.0141843979689,20.1566351593712,0.227,-30.395,22.926,17.711,18854,0.2019713521275798
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.149,3768.802,18.2304277598862,13.4310917352239,0.253,-46.735,15.54,11.602,10309,0.2707617310232189
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,112.469,2197.854,17.8131226341479,18.5119589129298,0.254,-78.41,21.433,15.996,19058,0.3089922964859428
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3940.221,2569.018,18.7211980938799,17.0741235475207,0.359,13.082,21.326,13.667,11624,0.6100272248700567
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3445.851,3792.864,18.661505707136,13.9911082241544,0.14,-71.893,15.087,12.972,10306,0.12491861906077967
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1175.133,1775.769,18.6557030948564,13.4582010922708,0.165,21.43,14.728,12.296,9597,0.11284879741834523
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.892,1693.134,18.4541224578782,17.5850250855664,0.0649999999999999,-87.521,18.186,17.001,14046,0.20036601172715565
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2753.458,64.927,19.033103432046,12.8920079759516,0.187,67.477,14.298,11.621,7966,0.13621333716292158
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2086.655,2686.963,19.02305057268,15.3364594283035,0.219,87.214,17.354,13.55,8996,0.3672009949747862
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3567.913,3363.054,18.9084049645454,12.9977179612423,0.262,48.266,15.13,11.159,8275,0.18023044137796604
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1684.713,1521.851,18.9986260996481,14.7315855713837,0.233,-21.763,16.821,12.897,8849,0.32450412272290646
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1686.872,1218.515,19.1317369048095,13.6271327107356,0.409,55.397,17.726,10.479,7684,0.41603539026192976
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,841.288,2936.175,19.0755201153099,15.0648538492745,0.385,-37.89,19.21,11.819,9219,0.3982921424920137
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3869.707,2829.525,19.1081729337515,13.5489149233435,0.056,35.598,13.945,13.163,7770,0.4353321336338422
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1037.354,530.363,19.2025204995101,13.5888639241844,0.09,62.218,14.245,12.97,8033,0.17308275519489527
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3540.258,1141.407,19.1134076012039,12.8452847379885,0.146,-12.607,13.9,11.868,8076,0.14084372070115747
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1631.935,204.264,19.6028499982355,13.6872778499963,0.113,-23.475,14.533,12.891,6985,0.22666673219933992
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3747.117,527.057,19.7521730691595,14.2933847977307,0.139,13.274,15.404,13.263,6630,0.27751014817037034
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1100.7,424.256,19.5085676015262,13.513314208513,0.342,87.889,16.659,10.968,6904,0.2733532540177619
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,285.222,3677.868,19.2504532259619,14.6132232392447,0.165,-76.419,15.992,13.348,7863,0.2684224447034697
2288.5,982.4,19.606711685463,7.302,0.39,30.7,304.246166141097,185.590161346069,177390.327834325,2288.255,982.419,19.7144198584415,11.8567564024905,0.303,36.455,14.202,9.905,5768,0.22095158976556106
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,344.432559509766,203.215210110762,219892.431834022,3800.591,3305.406,19.5820781525126,14.9716342696447,0.279,30.503,17.632,12.706,7776,0.3751823799488208
3965.5,1277.8,19.7229841142559,7.355,0.28,-9.3,274.661797554018,197.756494238893,170639.230960842,3963.682,1278.187,19.7316328579898,14.1464883257295,0.282,-36.503,16.695,11.991,6611,0.372147029343704
2019.5,1819.0,19.4883102356813,7.765,0.36,-22.5,314.905685656597,201.539638820222,199384.250707878,2018.097,1818.947,19.5805335364302,12.4821085008904,0.372,-10.472,15.751,9.899,5782,0.3359602190797145
274.4,417.8,19.3290917320778,7.058,0.26,64.8,286.379551524783,211.920868128339,190662.639797164,274.749,418.486,19.4284702123344,11.9330412204098,0.148,62.477,12.928,11.012,6088,0.25139818951601073
326.1,2755.4,19.5229681698661,6.408,0.25,31.5,259.080023586496,194.310017689872,158153.567172328,324.862,2754.794,19.5088959524813,12.5794840484815,0.266,4.818,14.683,10.774,5999,0.27709778005002444
762.4,234.7,19.5973690485455,7.402,0.23,39.5,273.392844798682,210.512490494985,180806.852504886,762.845,235.631,19.6817666158899,12.0888393389523,0.133,22.299,12.983,11.251,5675,0.2666131948593737
179.5,767.5,19.6440123431225,7.405,0.08,13.4,247.830242179309,228.003822804965,177519.596708147,182.175,765.848,19.6819591735218,15.3490316841487,0.271,-28.243,17.977,13.113,7235,0.6333632510253662
2802.2,1727.7,19.5691122107542,7.561,0.05,-60.2,250.516052370519,237.990249751993,187302.941122346,2801.996,1726.597,19.6390154247462,13.0026275198515,0.18,86.165,14.359,11.78,6344,0.2643288331371212
1856.5,3803.8,19.3862997245398,7.935,0.4,52.6,336.04701220537,201.628207323222,212863.500595679,1857.896,3805.324,19.4917796029348,13.3754281384186,0.314,46.173,16.149,11.082,6717,0.4640622220729304
681.7,2289.8,19.5390159610631,8.38,0.14,56.4,280.62060408194,241.333719510468,212758.752064854,681.954,2289.548,19.5926804284138,13.150924774935,0.199,45.963,14.694,11.768,6387,0.12900014206811466
247.8,1539.3,19.8126185556686,9.391,0.27,47.0,306.559795833985,223.788650958809,215527.717251872,250.308,1540.399,19.7936459664551,18.4635909896748,0.254,52.492,21.377,15.948,8690,0.5489531231245051
3347.2,204.1,19.8290454954225,8.176,0.41,87.1,314.927543473459,185.807250649341,183832.873392966,3348.217,202.908,19.931980812237,13.2608663620067,0.321,-68.001,16.093,10.931,5357,0.3749578543985637
862.9,1191.8,20.1711968626351,6.15,0.09,61.9,201.82779440708,183.663292910443,116453.679042356,861.899,1191.32,20.2303722517566,11.2992425000528,0.133,50.227,12.135,10.524,4483,0.25160838004339214
1272.4,1735.9,20.1990092566513,6.184,0.01,46.8,193.003856507374,191.0738179423,115855.602798208,1271.876,1735.072,20.1448376451315,12.0076190522518,0.256,-76.357,13.921,10.364,4657,0.22393591639418067
3231.2,1238.9,20.1816975710561,5.722,0.17,-50.3,202.524096021231,168.094999697621,106950.14304329,3231.111,1238.195,20.2331202244296,10.7550242776109,0.197,-56.737,12.002,9.635,4185,0.17543097370753322
215.9,1419.3,20.044556973411,5.763,0.21,88.5,214.249399364977,169.257025498332,113924.253142367,216.369,1420.117,20.1285222166615,10.0780853372057,0.094,89.996,10.588,9.596,3835,0.25238004277472836
145.0,673.8,20.1446028104667,7.17,0.29,9.8,250.184210686207,177.630789587207,139613.693496102,147.838,676.079,20.2026460669058,15.1344587677261,0.388,12.683,19.346,11.835,5400,0.7371578555941106
767.2,2329.7,19.7882596249538,8.374,0.39,-31.9,316.492870677848,193.060651113487,191958.598642336,766.61,2328.944,19.8768661822908,13.0558330297228,0.391,-23.956,16.73,10.192,5760,0.2611274615215073
3810.9,2177.0,19.9786914395031,9.021,0.52,49.5,357.216587574505,171.463962035762,192421.831897028,3811.626,2178.958,20.1200518433575,13.4453496044171,0.415,56.591,17.579,10.286,5671,0.5043513927491569
4046.1,3790.1,20.0048407773483,6.043,0.17,-57.4,216.411802544237,179.621796111716,122120.858823484,4046.246,3790.438,19.9831429131527,11.4890247986937,0.175,79.127,12.649,10.435,4724,0.08545062173879026
3409.2,34.4,20.2099432849696,6.53,0.3,-23.5,236.062230153521,165.243561107465,122546.503412762,3406.808,33.84,20.2045764865217,12.6343709085969,0.296,3.564,15.058,10.604,4742,0.4914432773038597
2681.3,3996.8,20.2247480280014,5.695,0.15,-18.0,197.869999617597,168.189499674957,104551.123546166,2682.379,3997.487,20.3033399252211,11.0058194036155,0.255,26.035,12.751,9.502,3933,0.30024697665022027
261.9,255.4,20.0067326049513,6.367,0.13,77.8,217.594687933349,189.307378502014,129409.364071218,262.712,254.806,20.1093799095907,10.7292342839552,0.08,71.942,11.186,10.286,4173,0.28745988076117235
3964.0,3000.1,20.2472057499571,6.637,0.29,-73.9,234.713633014441,166.646679440253,122881.032789005,3963.343,2999.681,20.3175168895525,11.9482446576893,0.246,-70.68,13.76,10.377,4621,0.20991974472114797
1013.3,1812.9,20.1510736677292,7.563,0.15,-20.4,235.157320908361,199.883722772107,147667.800406106,1010.751,1815.024,19.828109792559,16.5810715474302,0.131,-4.914,17.787,15.45,7009,0.9260491892951924
1044.9,784.5,20.0061601383017,9.138,0.22,-49.6,280.568722089317,218.843603229667,192895.894097731,1046.847,784.891,20.0755415899032,14.2281290056001,0.082,43.842,14.85,13.634,5718,0.4207124203001241
103.0,3283.0,19.8682687451332,9.323,0.53,48.8,376.138971520612,176.785316614688,208902.864967883,102.836,3286.907,19.905997342771,15.677513056126,0.335,42.687,19.225,12.792,6260,0.7857197899498951
3846.4,292.9,20.0323499590514,6.654,0.29,-4.3,245.605798986815,174.380117280638,134550.543012027,3847.104,293.363,20.1410884099602,10.9229405798988,0.257,-7.207,12.672,9.422,4383,0.27513874551097367
