X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,692.39215698924,387.739607913975,843416.667613984,526.866,2787.256,16.8978021887105,22.0173821173181,0.383,-41.2,28.03,17.307,30374,0.18077311175691138
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,599.922492339904,329.957370786947,621874.647443819,386.975,452.886,17.2925224354229,21.3993611601842,0.356,-44.713,26.666,17.185,25630,0.23291390847916962
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,493.347117004487,404.54463594368,627001.982989642,2459.58,1071.08,17.6455654360836,21.1171483648716,0.106,4.422,22.334,19.971,23319,0.22141639444423225
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,379.894927282921,315.312789644825,376317.967153342,1471.229,1174.974,17.9614401177851,15.847534697296,0.138,30.172,17.069,14.709,14814,0.11092406846901298
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,595.376522280483,303.642026363046,567941.309777123,2089.505,723.93,17.9599145791278,19.2652550893831,0.461,-46.48,26.241,14.131,18516,0.25306374752238503
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,315.90907452977,296.954530057984,294714.7884495,2042.949,361.213,18.38532813359,13.6178708507975,0.051,-19.857,13.979,13.262,9808,0.16885889055971368
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,399.485934914333,343.557904026326,431172.75474102,1437.018,4061.566,18.5459038831846,17.8549786159491,0.271,-5.674,20.912,15.248,12494,0.40430030629954306
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,327.439523003788,324.16512777375,333462.702290722,3041.472,2891.525,18.5554599270698,14.3690025835477,0.106,24.271,15.197,13.583,9752,0.3186187207412246
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,288.988716731196,248.530296388828,225636.885750891,372.765,881.437,18.7457434226171,16.7626413250717,0.0629999999999999,18.911,17.317,16.217,10914,0.3992232061785474
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,381.07900661849,274.376884765313,328482.636650088,854.51,2940.72,18.9580023458808,15.6842086719095,0.264,-88.18,18.282,13.46,9229,0.38154641047332805
200.8,395.8,19.163435126387,8.731,0.17,88.1,315.344395430573,261.735848207375,259297.421782893,199.319,395.054,19.260508015988,13.6547442905387,0.11,85.958,14.474,12.878,6967,0.3843010494975645
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,294.879310298431,262.442586165604,243124.364528113,3500.287,420.377,18.9868537199899,18.1991843826035,0.072,47.018,18.892,17.536,10990,0.5847145936162843
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,302.024882640491,256.721150244417,243587.07862794,3394.75,774.595,19.3199269979302,13.1803035014373,0.21,87.234,14.829,11.709,6886,0.2884305374880433
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,355.583219901485,288.022408120203,321749.149896107,1144.632,4046.52,19.0586866586625,16.1090851197701,0.159,30.374,17.566,14.78,8872,0.756639402639086
