X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,692.39215698924,387.739607913975,843416.667613984,527.088,2786.794,16.9070315726572,21.4196915681576,0.381,-40.758,27.225,16.863,30878,0.12933957261387904
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,599.922492339904,329.957370786947,621874.647443819,387.476,452.944,17.3152605206258,19.7473681859634,0.348,-41.826,24.456,15.944,22543,0.2156709437811394
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,493.347117004487,404.54463594368,627001.982989642,2460.087,1070.777,17.6686939484761,20.0327707785019,0.174,-13.84,22.042,18.204,20732,0.2152159572741946
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,379.894927282921,315.312789644825,376317.967153342,1471.094,1174.961,17.9688615912022,15.0409612485373,0.195,29.026,16.764,13.498,13727,0.13465444999412218
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,443.088660400063,288.007629260041,400907.795116821,4049.532,1094.927,18.08830525568,16.1004243720468,0.235,-55.889,18.408,14.084,14001,0.11773562326365533
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,595.376522280483,303.642026363046,567941.309777123,2088.809,724.505,17.9633632440343,19.2242156042841,0.499,-50.114,27.16,13.604,18523,0.20694609580409812
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,315.90907452977,296.954530057984,294714.7884495,2043.616,360.92,18.3694985436173,14.8088341134608,0.112,16.592,15.715,13.959,11862,0.14963517163411014
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,399.485934914333,343.557904026326,431172.75474102,1438.276,4062.222,18.5896078596937,15.3712884230308,0.214,-7.453,17.338,13.626,10180,0.38906019888157767
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,327.439523003788,324.16512777375,333462.702290722,3041.687,2890.332,18.5570076624777,14.704331095429,0.079,66.19,15.322,14.109,10412,0.19461631234282778
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,288.988716731196,248.530296388828,225636.885750891,373.263,882.997,18.7903906055104,13.1098528986026,0.177,-24.143,14.451,11.891,8583,0.18684239135835692
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,381.07900661849,274.376884765313,328482.636650088,855.065,2941.895,18.9415197688781,16.2456863368711,0.261,65.798,18.898,13.964,10528,0.21171431952596784
200.8,395.8,19.163435126387,8.731,0.17,88.1,315.344395430573,261.735848207375,259297.421782893,199.828,395.784,19.2502806814713,14.6397846809644,0.095,85.696,15.389,13.933,8163,0.26071137957062823
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,294.879310298431,262.442586165604,243124.364528113,3503.396,419.507,19.0890434975921,13.2116165908643,0.216,65.25,14.921,11.704,7569,0.1933458944038108
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,302.024882640491,256.721150244417,243587.07862794,3395.47,774.663,19.3101294383899,13.481696968557,0.187,57.186,14.952,12.15,7314,0.22351453699864338
