OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,MAX_X,MAX_Y,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,518.356,10.125,4.5077,25.365,3.951,3.667,527,17,5.462,0.072,25.729,0.006082,0.04971,152,0.76819
2,1809.245,9.899,11.715,24.328,7.196,3.942,1826,21,9.241,0.452,-14.702,0.007157,0.04948,371,1.2032
3,3539.641,11.742,24.25,23.538,11.309,4.866,3558,37,13.992,0.57,-52.624,0.006998,0.05126,609,1.6481
4,622.027,18.182,51.309,22.725,19.754,8.125,661,46,19.173,0.589,18.926,0.007819,0.05026,1577,2.6383
5,440.515,27.312,49.615,22.761,24.217,11.618,488,61,16.602,0.52,15.199,0.005264,0.04987,2117,3.8224
6,350.72,12.678,147.17,21.58,7.841,6.817,377,42,45.865,0.131,-35.255,0.004635,0.05015,1366,2.8308
7,337.86,40.458,11,24.396,6.657,4.603,350,53,8.831,0.309,8.591,0.005268,0.05007,352,1.3597
8,2382.52,19.513,25.303,23.492,10.014,5.927,2398,35,13.866,0.408,-23.628,0.008848,0.04997,726,1.8306
9,3596.572,10.316,4.8889,25.277,6.028,3.909,3607,22,4.758,0.352,-89.701,0.006452,0.05098,252,0.89349
10,3027.536,13.823,9.5624,24.549,5.19,4.057,3037,26,8.158,0.218,69.357,0.008361,0.05014,300,1.0448
11,1699.549,7.808,81.419,22.223,9.415,5.886,1731,35,31.423,0.375,-30.088,0.007729,0.05025,1039,1.9954
12,4095.845,18.049,19.698,23.764,6.756,4.457,4108,38,12.862,0.34,70.469,0.005745,0.0494,483,1.5718
13,2998.837,54.077,73.888,22.329,16.135,9.874,3026,82,23.973,0.388,72.962,0.008165,0.05016,2022,2.8376
14,4074.767,28.44,15.2,24.045,7.128,4.669,4086,44,10.744,0.345,85.886,0.006726,0.04989,449,1.5062
15,182.627,16.366,62.107,22.517,12.247,5.408,207,46,25.627,0.558,55.876,0.007371,0.05065,1052,2.0805
16,160.469,42.129,23.378,23.578,8.406,5.657,186,56,12.81,0.327,-8.107,0.006818,0.05044,732,1.875
17,113.394,39.116,41.456,22.956,17.815,8.004,145,58,16.511,0.551,-2.234,0.006318,0.0501,1448,2.408
18,77.545,22.162,12.02,24.3,10.795,6.116,95,37,7.947,0.434,-27.896,0.006404,0.04979,536,1.5425
19,967.857,21.654,24.691,23.519,6.851,6.151,981,38,14.627,0.102,37.447,0.005942,0.05058,587,1.6506
