X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.499,2457.714,16.4369206944634,18.8628278385824,0.083,-62.281,19.698,18.059,31174,0.08502752689503734
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.709,336.72,16.8786041877538,17.8908460316722,0.191,80.814,19.891,16.086,24206,0.09552294058090617
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.938,675.347,17.0450007146753,21.0614659592347,0.232,-39.856,24.033,18.447,27149,0.12889299905911755
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3268.151,1576.633,17.4092530208124,18.6694542193391,0.407,41.268,24.244,14.379,22445,0.40488911528239113
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.395,3449.53,17.4986196874875,17.2423820071648,0.151,-54.907,18.713,15.889,17345,0.20021921837409368
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,648.239,1664.044,17.7670021371157,17.2339284204444,0.119,-78.846,18.361,16.173,17660,0.2316830309371357
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.667,1384.036,18.0866793928645,15.9646380222353,0.211,-52.821,17.973,14.183,13993,0.10214274325679887
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,617.792,1434.056,17.9980849011619,21.9993649971084,0.171,-10.059,24.162,20.023,20948,0.6510427861315587
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2327.552,3769.63,18.2152587826927,14.4446920365233,0.33,-54.801,17.647,11.822,10903,0.45465240057532547
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,111.704,2196.562,17.8022028142431,18.8089997542666,0.189,-87.709,20.886,16.932,19253,0.17944652811032386
