X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,692.39215698924,387.739607913975,843416.667613984,526.928,2786.913,16.9070315726572,21.6220735014013,0.375,-39.788,27.35,17.091,31623,0.14139181392126135
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,599.922492339904,329.957370786947,621874.647443819,388.263,452.648,17.2895698261902,22.1375764679651,0.325,-47.42,26.945,18.184,26085,0.3329604253411811
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,493.347117004487,404.54463594368,627001.982989642,2460.216,1070.914,17.6645411446183,20.7231514151685,0.166,-15.6,22.692,18.93,21756,0.18262649619695254
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,379.894927282921,315.312789644825,376317.967153342,1471.019,1174.687,17.9592051450905,15.6880715326327,0.187,26.107,17.399,14.147,14559,0.13275396088674965
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,443.088660400063,288.007629260041,400907.795116821,4049.509,1094.902,18.0857935837228,16.1921640771084,0.236,-55.202,18.525,14.157,14143,0.11242944473713418
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,595.376522280483,303.642026363046,567941.309777123,2088.812,724.502,17.9632577789957,19.2256312313536,0.499,-50.1,27.162,13.614,18537,0.2067248506585229
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,315.90907452977,296.954530057984,294714.7884495,2043.971,360.664,18.347943252994,16.0903501454754,0.076,16.729,16.739,15.463,13174,0.18309653326297695
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,399.485934914333,343.557904026326,431172.75474102,1437.557,4062.06,18.5800735473915,15.7862538177998,0.241,-2.411,18.12,13.757,10786,0.3471705303514343
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,327.439523003788,324.16512777375,333462.702290722,3041.671,2890.326,18.5539598202869,14.7465573431903,0.079,66.44,15.366,14.145,10419,0.18765027965991915
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,288.988716731196,248.530296388828,225636.885750891,373.603,883.208,18.7459060431828,15.2873244076261,0.176,-53.774,16.841,13.883,10733,0.09329006484431278
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,381.07900661849,274.376884765313,328482.636650088,855.121,2942.011,18.9400277935748,16.4451253902182,0.261,66.214,19.13,14.13,10823,0.2060556820305253
200.8,395.8,19.163435126387,8.731,0.17,88.1,315.344395430573,261.735848207375,259297.421782893,199.607,395.417,19.233078337058,14.7284553482366,0.055,-81.164,15.151,14.318,8150,0.2867021876667897
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,294.879310298431,262.442586165604,243124.364528113,3503.396,419.506,19.0891922285793,13.2116165908643,0.216,65.251,14.921,11.704,7572,0.1934844604526612
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,302.024882640491,256.721150244417,243587.07862794,3395.464,774.742,19.3083078857359,13.5393346395235,0.191,56.73,15.053,12.172,7365,0.22901941361108347
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,355.583219901485,288.022408120203,321749.149896107,1147.884,4044.39,19.0542846780561,16.8130040338126,0.151,-66.411,18.247,15.5,9550,0.43839446298287077
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,254.038102866705,218.472768465367,174359.672878439,1782.758,3042.276,19.8173672939804,12.5314004264488,0.192,-6.908,13.941,11.267,5886,0.2593787133171664
3927.8,3879.3,19.6634651170865,7.021,0.25,-8.0,265.338810240242,199.004107680182,165887.129042206,3928.286,3878.416,19.7026711033092,12.1077854952919,0.186,-8.327,13.42,10.928,5495,0.21646263488418435
342.2,2519.4,19.664671706824,9.44,0.42,77.1,355.699898535417,206.305941150542,230539.501032432,342.218,2519.107,19.7828006902896,14.5225560083616,0.314,75.502,17.534,12.026,7028,0.24343878221284398
2266.4,3089.2,19.6086701443024,9.051,0.27,39.7,313.397009722537,228.779817097452,225248.770695774,2265.189,3090.231,19.7020170216933,14.7885743756455,0.096,48.288,15.554,14.059,7046,0.36882028815894424
1705.5,442.3,19.3281798107021,6.879,0.02,13.4,245.271899915608,240.366461917296,185213.030915437,1705.156,442.681,19.3434510403641,13.2310227707082,0.129,-70.591,14.177,12.349,7142,0.10711252913563499
171.4,1729.8,19.6677306987168,6.157,0.11,75.6,225.909817162127,201.059737274293,142695.437552557,168.773,1729.991,19.7102742095469,13.3272866092089,0.229,7.21,15.178,11.697,5975,0.5336123804254056
4046.6,2149.2,19.26950947374,9.999,0.23,-40.1,345.721777644738,266.205768786448,289130.610134412,4047.2,2148.711,19.4051396119923,14.316866380427,0.205,-43.825,16.057,12.766,7598,0.312314553663351
1846.0,3129.4,19.6000597989955,8.902,0.38,3.5,337.552620074647,209.282624446281,221934.351662427,1845.514,3128.805,19.7220260495924,13.1674005106171,0.113,11.606,13.981,12.397,5917,0.2882832931035835
1435.0,1934.1,19.9776660757602,6.645,0.18,13.5,230.917144261487,189.352058294419,137364.997002121,1434.847,1932.659,20.0711782771127,12.1332152432898,0.165,67.228,13.278,11.086,4635,0.3449216038143547
1839.7,576.6,19.9082415459492,5.801,0.05,-32.6,201.517605815925,191.441725525129,121199.120277458,1839.906,577.29,19.9727896427507,10.5888172183677,0.071,-34.59,10.986,10.211,4321,0.19341514849085847
424.6,166.0,19.8387475721631,8.306,0.24,-38.4,279.347215033793,212.303883425682,186316.86023594,423.995,165.007,19.8509685536734,13.9764214625919,0.036,-54.043,14.235,13.722,6076,0.23383897230347664
