OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,1529.386,5.991,3.7252,25.572,5.309,3.325,5.799,3.485,4.246,0.374,6.283,0.004162,0.04972,201,0.80021
2,520.315,13.618,8.6547,24.657,7.69,6.264,8.117,6.691,7.131,0.185,-38.313,0.003692,0.04884,399,1.1023
3,1961.504,18.034,8.4607,24.681,8.161,4.983,8.381,5.167,6.449,0.389,71.649,0.0002765,0.05031,465,1.1645
4,1809.333,11.094,14.127,24.125,8.798,4.684,10.037,5.274,9.559,0.468,-8.65,0.006415,0.0486,576,1.4334
5,3543.01,7.842,22.553,23.617,5.805,4.104,7.278,5.29,15.727,0.293,78.418,0.006403,0.05147,409,1.1129
6,1864.466,20.292,38.486,23.037,13.126,8.206,13.997,8.597,17.061,0.375,-43.871,0.004734,0.04902,1268,1.8925
7,1901.916,5.561,2.862,25.858,4.293,3.243,4.76,3.268,3.798,0.245,26.231,0.004326,0.04979,153,0.664
8,1864.621,41.145,4.6794,25.325,6.192,2.78,6.803,2.58,5.556,0.551,-56.167,0.004885,0.04891,179,0.75724
9,1917.379,8.377,4.6673,25.327,8.163,3.194,8.413,3.249,4.802,0.609,-30.975,0.003921,0.04971,263,0.84028
10,1789.957,49.573,163.74,21.465,10.334,7.474,14.946,11.126,47.967,0.277,35.331,0.004624,0.04853,1983,2.3231
11,1826.33,90.495,32.556,23.218,24.499,6.698,24.267,7.362,14.185,0.727,14.476,0.003621,0.04806,1375,1.8872
12,1847.677,70.814,39.026,23.022,16.546,7.392,17.874,8.264,16.931,0.553,24.286,0.004635,0.04789,1357,1.7195
13,2050.872,96.691,15.997,23.99,13.783,7.213,13.897,7.639,8.348,0.477,-70.969,0.003472,0.04982,1004,1.6744
14,594.351,32.045,91.824,22.093,25.667,12.253,25.84,13.463,26.726,0.523,-24.918,0.003324,0.05044,2890,NA
15,663.171,71.722,34.126,23.167,10.252,8.212,11.796,9.296,15.936,0.199,5.489,0.003807,0.05058,1126,1.8197
16,647.179,11.589,10.417,24.456,9.208,4.704,9.722,5.003,7.467,0.489,-21.666,0.005166,0.04984,514,1.2971
17,647.711,37.368,9.7261,24.53,10.108,5.204,10.742,5.507,6.578,0.485,-1.353,0.005591,0.0509,581,1.3798
18,597.711,11.118,6.5235,24.964,6.92,4.042,7.269,4.323,5.699,0.416,-68.638,0.003717,0.04979,343,1.0359
19,585.153,11.761,3.0567,25.787,4.514,2.246,4.517,2.494,4.374,0.502,20.818,0.003511,0.0495,132,0.72088
20,2435.354,7.917,6.8721,24.907,9.169,3.141,9.446,3.306,6.311,0.657,16.331,0.001076,0.04993,324,1.2109
21,2035.24,12.284,5.8149,25.089,6.639,3.817,6.712,4.082,5.118,0.425,24.854,0.005391,0.05003,336,1.0774
22,1056.39,74.144,139.24,21.641,12.295,7.512,18.26,10.886,41.26,0.389,70.939,0.00245,0.04948,2087,NA
23,968.441,23.677,25.716,23.475,7.29,5.877,9.207,7.22,14.578,0.194,-15.792,0.004169,0.051,726,1.6286
24,1005.975,35.441,29.192,23.337,18.11,9.575,18.158,9.832,11.955,0.471,-27.178,0.003394,0.05063,1588,NA
25,1030.162,100.568,19.247,23.789,19.695,8.223,19.863,8.434,8.995,0.582,56.269,0.004128,0.04985,1257,1.973
26,1016.099,59.433,2.3503,26.072,6.319,2.765,6.578,3.03,2.656,0.562,63.386,0.00406,0.05069,215,0.8461
27,961.949,7.046,2.4136,26.043,3.916,3.739,3.905,3.819,3.163,0.045,-11.271,0.004056,0.05117,160,0.74913
28,1019.617,105.337,2.7298,25.91,3.716,3.52,3.996,3.575,3.48,0.053,27.449,0.004997,0.04986,166,0.78009
29,3619.576,48.23,41.839,22.946,24.364,10.184,24.365,10.709,15.409,0.582,-36.973,0.003056,0.04996,1955,NA
30,3583.591,25.456,20.173,23.738,13.923,8.508,14.056,8.899,9.953,0.389,-41.688,0.004954,0.05012,1094,1.8313
31,1549.147,41.364,14.154,24.123,10.826,6.709,11.169,7.067,8.401,0.38,-33.353,0.003881,0.0489,777,1.469
32,752.354,130.376,69.059,22.402,26.822,10.216,27.813,11.087,21.513,0.619,23.55,0.001629,0.04948,2670,NA
33,786.491,125.631,3.6207,25.603,7.706,3.089,7.846,3.26,3.951,0.599,0.936,0.002191,0.05053,229,0.91057
34,414.937,152.109,10.29,24.469,13.931,4.836,13.763,4.991,6.845,0.653,-39.816,0.004941,0.04985,634,1.4224
35,1303.858,198.602,4.5972,25.344,5.179,3.746,5.773,4.13,4.737,0.277,-84.645,0.007435,0.0495,257,0.89374
36,823.749,27.827,83.851,22.191,12.749,8.277,15.419,11.448,27.813,0.351,17.775,0.004696,0.04941,1950,NA
37,932.032,8.217,24.784,23.515,9.501,4.614,11.197,5.42,14.268,0.514,-12.327,0.003801,0.05169,693,1.4743
38,895.107,4.887,8.4874,24.678,7.012,2.758,7.99,3.081,7.787,0.607,2.985,0.002457,0.05111,290,1.1351
39,778.987,76.189,23.542,23.57,22.154,6.708,22.783,7.133,10.457,0.697,-25.796,0.004993,0.05034,1359,2.0537
40,847.788,59.283,26.948,23.424,10.606,7.591,11.861,8.233,13.455,0.284,83.506,0.00434,0.04939,1015,1.6173
41,893.806,35.956,71.986,22.357,21.501,13.473,22.755,14.531,20.96,0.373,36.803,0.003137,0.05082,2966,NA
42,776.557,57.238,2.4337,26.034,7.483,2.642,7.605,2.864,2.867,0.647,74.098,0.005877,0.05008,196,0.80395
43,2580.252,23.802,8.6881,24.653,13.105,5.524,13.341,5.684,6.454,0.578,69.749,0.003114,0.0494,503,1.3129
44,2622.139,26.085,26.376,23.447,13.413,7.704,15.008,8.454,12.837,0.426,-37.623,0.003796,0.04884,1095,1.7034
45,351.608,12.091,166.47,21.447,10.047,6.255,18.168,8.738,49.396,0.377,-16.144,0.0054,0.05054,1689,2.0638
46,337.038,39.231,14.334,24.109,11.014,5.378,12.353,5.7,9.612,0.512,28.339,0.006143,0.05029,573,1.2657
47,412.307,77.494,14.765,24.077,12.315,5.317,13.854,5.897,9.727,0.568,-36.141,0.004394,0.05008,592,1.2826
48,353.212,121.343,34.566,23.153,20.291,11.065,20.679,11.326,13.45,0.455,10.941,0.004566,0.05041,1782,NA
49,321.493,69.396,8.7878,24.64,8.12,3.545,8.511,4.02,7.783,0.563,75.113,0.005677,0.04967,326,1.1207
50,340.446,61.648,7.1458,24.865,10.246,4.666,10.023,4.75,5.311,0.545,36.267,0.005788,0.04996,490,1.2878
51,434.812,30.135,39.778,23.001,19.919,10.702,19.936,10.907,13.619,0.463,44.001,0.003392,0.04946,2332,NA
52,299.82,42.703,10.028,24.497,11.373,6.442,11.497,6.632,6.379,0.434,19.248,0.007663,0.0499,688,1.3282
53,339.809,93.243,16.86,23.933,16.53,9.168,16.355,9.074,7.977,0.445,-8.105,0.005034,0.0502,1221,1.6234
54,473.506,27.329,21.215,23.683,12.006,6.561,12.892,6.714,11.419,0.453,54.824,0.00318,0.04876,932,1.5979
55,451.48,8.803,3.4956,25.641,4.956,3.375,4.8,3.775,4.129,0.319,-46.327,0.002566,0.04921,199,0.85353
56,3280.614,62.126,7.0431,24.881,6.729,5.08,6.823,5.176,6.096,0.245,-16.883,0.002066,0.0501,366,1.0808
57,2666.866,93.287,11.069,24.39,6.472,5.872,6.845,6.163,8.015,0.093,-8.339,0.002889,0.05019,501,1.2967
