OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,409.384,12.23,10.133,24.486,8.286,5.063,8.41,5.313,7.624,0.389,4.755,-0.0006022,0.04878,475,1.0479
2,521.484,12.549,7.461,24.818,9.302,4.008,10.024,4.143,6.015,0.569,-28.975,7.265e-05,0.04955,416,1.005
3,1054.904,17.627,10.994,24.397,10.232,6.199,10.501,6.357,7.042,0.394,1.611,0.0009813,0.05043,638,1.2221
4,426.371,29.95,6.4972,24.968,7.226,3.821,7.68,4.042,5.516,0.471,-33.134,-0.000129,0.04912,366,0.99893
5,447.922,17.426,11.206,24.376,10.665,5.707,10.969,5.838,7.255,0.465,61.711,-0.0005758,0.05017,648,1.2791
6,436.306,35.598,2.273,26.109,5.803,2.043,5.923,2.106,3.223,0.648,-45.017,9.318e-05,0.04916,136,0.64394
7,2469.921,5.611,4.8941,25.276,6.137,3.271,6.541,3.239,5.062,0.467,10.216,-0.0002007,0.04921,244,0.75273
8,343.185,20.985,178.34,21.372,23.229,11.584,27.233,15.978,43.544,0.501,-44.234,-0.0001809,0.0493,3356,2.12
9,614.49,16.165,39.373,23.012,9.944,7.443,11.725,8.668,17.393,0.251,2.489,0.00051,0.05029,1184,1.6158
10,597.211,41.752,17.482,23.894,7.508,6.502,8.791,7.415,9.956,0.134,64.063,0.001082,0.05,761,1.2826
11,1440.669,40.574,12.232,24.281,12.001,7.538,11.886,8.071,6.848,0.372,76.618,0.00079,0.051,841,1.2105
12,1458.962,22.433,13.701,24.158,13.024,11.019,13.058,11.393,6.634,0.154,43.34,-0.0006274,0.05064,1137,1.4917
13,1424.813,14.093,2.6053,25.96,7.496,4.581,7.615,4.783,2.028,0.389,-69.142,0.002827,0.05126,435,1.0499
14,4146.529,21.536,12.334,24.272,9.293,8.225,9.525,8.569,7.332,0.115,78.894,-0.0006957,0.05034,768,1.2167
15,2898.444,39.029,11.496,24.349,8.98,4.435,9.556,4.917,8.093,0.506,-13.576,-0.0007005,0.04962,515,1.1747
16,1013.868,74.725,11.494,24.349,12.632,5.361,12.272,5.606,7.185,0.576,57.547,-0.002373,0.04971,675,1.1852
17,1258.091,110.032,27.984,23.383,7.644,5.836,9.175,7.396,15.955,0.237,-42.515,0.000863,0.04887,699,1.2074
18,1275.677,104.011,11.985,24.303,9.44,4.707,10.369,5.077,8.244,0.501,64.192,0.000809,0.0493,554,1.1461
19,1212.74,40.506,58.267,22.586,19.827,9.23,22.054,10.03,19.678,0.534,64.062,-0.0004583,0.05017,2084,1.7815
20,1219.965,16.737,11.65,24.334,12.771,4.692,13.443,5.079,8.143,0.633,48.923,-0.0007581,0.0498,533,1.1235
21,1241.256,42.437,8.5584,24.669,11.962,6.817,11.761,7.016,5.311,0.43,76.84,0.0005433,0.04977,693,1.18
22,1180.286,35.356,6.6711,24.94,9.206,6.674,9.358,6.724,4.752,0.275,46.295,-0.001843,0.05018,527,0.97736
23,2421.263,62.218,54.856,22.652,11.618,9.202,14.537,11.699,20.178,0.208,-84.052,0.0007411,0.04876,1713,1.8479
24,2372.01,61.299,34.273,23.163,10.224,8.983,11.833,10.054,15.238,0.121,48.091,0.0006239,0.04866,1275,1.5633
25,2382.477,18.469,31.584,23.251,12.522,7.308,13.811,8.365,13.661,0.416,-0.742,0.001001,0.05,1311,1.5715
26,2400.498,35.85,3.7091,25.577,6.946,3.795,7.431,4.042,3.853,0.454,-59.953,0.0008194,0.04883,252,0.67047
27,1645.752,21.818,11.392,24.359,9.591,6.16,9.927,6.74,7.473,0.358,-85.057,0.001228,0.05022,604,1.0818
28,3544.275,9.706,22.552,23.617,7.258,5.381,8.008,6.574,14.005,0.259,62.873,0.000649,0.05001,585,1.1796
29,3559.52,32.036,5.9591,25.062,7.381,5.163,7.651,5.424,5.066,0.3,-14.252,0.0006426,0.04934,368,0.90535
30,3587.384,24.22,6.5596,24.958,8.736,4.038,8.665,4.336,5.371,0.538,-43.367,0.0006352,0.04862,398,1.0402
31,4194.821,12.111,23.85,23.556,5.476,3.976,6.713,4.859,17.214,0.274,-21.722,0.001108,0.04925,359,1.0667
32,4180.013,3.843,4.9357,25.267,4.737,1.992,6.026,2.224,6.171,0.579,-3.851,0.0009321,0.04927,158,0.62397
33,4194.657,28.4,4.7526,25.308,5.556,3.843,5.883,3.686,5.16,0.308,76.781,0.001224,0.04927,224,0.6731
34,27.114,35.367,9.4621,24.56,10.21,6.161,10.841,6.43,5.875,0.397,57.104,0.0015,0.04918,695,1.2125
35,1906.122,69.378,49.992,22.753,10.045,6.228,13.406,8.199,21.123,0.38,-65.12,0.000362,0.04869,1257,1.3931
36,1892.514,92.337,2.4299,26.036,7.711,1.467,7.723,1.727,3.319,0.81,69.384,0.0009627,0.04852,143,0.58215
37,984.39,100.253,8.8723,24.63,9.542,6.02,9.818,6.138,6.281,0.369,70.953,-0.001212,0.05008,536,1.2301
38,831.073,29.842,74.815,22.315,9.762,5.952,14.134,8.314,28.929,0.39,13.825,-0.001763,0.0498,1304,1.5197
39,889.802,20.589,52.067,22.709,13.719,9.942,15.722,10.969,19.094,0.275,5.998,-0.001982,0.04958,1809,1.7475
40,969.329,22.826,23.675,23.564,7.078,6.117,8.669,7.34,13.583,0.136,33.017,-0.000317,0.04857,718,1.2985
41,933.469,9.604,18.608,23.826,9.91,5.439,11.422,5.983,11.014,0.451,-20.952,-0.0003753,0.04916,705,1.2307
42,841.989,57.62,21.323,23.678,10.72,6.321,12.424,7.102,11.681,0.41,-39.802,-0.001318,0.0495,830,1.2857
43,990.054,39.655,8.7217,24.648,5.922,4.282,6.552,4.523,7.618,0.277,58.444,-0.001629,0.04906,338,0.90175
44,915.886,71.903,19.367,23.782,18.304,10.057,18.316,10.64,8.993,0.451,-54.898,-0.0007554,0.04969,1241,1.6778
45,854.598,77.496,11.166,24.38,13.54,5.636,14.057,5.881,7.716,0.584,70.028,-0.001178,0.04928,567,1.121
46,487.724,125.722,19.528,23.773,13.819,8.928,14.441,8.958,8.906,0.354,-69.881,-0.001712,0.04943,1267,1.5993
47,2632.61,132.365,10.808,24.416,10.569,5.973,11.325,6.476,6.837,0.435,-32.747,0.0003892,0.04966,676,1.3999
48,1300.502,12.497,79.484,22.249,14.5,8.395,19.663,8.245,28.418,0.421,-37.066,0.0004417,0.04977,1597,1.7676
49,1277.218,6.423,19.009,23.803,7.115,4.82,8.332,5.176,13.373,0.323,-4.14,0.001124,0.04985,435,1.0282
50,1355.928,29.676,26.395,23.446,11.531,9.476,12.768,10.71,12.245,0.178,-50.95,-0.0004614,0.0503,1178,1.6015
51,1335.21,30.882,0.66662,27.44,2.95,1.266,3.442,1.469,1.493,0.571,45.86,-0.0006212,0.05014,55,0.40154
52,1347.864,16.288,3.2911,25.707,5.542,2.872,5.946,3.279,3.592,0.482,8.025,-0.001013,0.05051,210,0.67594
53,1791.325,45.797,148.66,21.57,15.6,11.827,21.643,15.469,38.654,0.242,-58.46,0.001571,0.04944,3051,2.2063
54,1870.301,11.466,16.977,23.925,7.694,4.379,9.366,5.222,11.808,0.431,-4.507,0.0009996,0.04965,490,1.06
55,1805.999,87.44,25.454,23.486,11.449,7.609,12.785,8.067,12.266,0.335,-28.701,-0.0005112,0.04877,1129,1.4827
56,1832.246,59.262,9.5327,24.552,10.061,6.159,10.511,6.422,6.611,0.388,-0.821,0.0002862,0.04894,558,1.1632
57,1860.465,44.391,7.3372,24.836,8.125,3.71,8.706,4.089,6.232,0.543,-81.91,0.001061,0.04937,363,0.92342
58,1854.982,82.949,28.975,23.345,10.833,7.963,11.53,9.387,13.965,0.265,82.575,0.0001321,0.04796,1085,1.444
59,1845.194,30.894,5.2198,25.206,9.744,3.55,9.731,3.749,4.828,0.636,-37.738,0.001394,0.04959,325,0.84464
60,3406.541,36.066,540.85,20.167,20.66,14.079,33.578,22.038,83.952,0.319,26.645,-0.0002495,0.04976,6844,NA
61,3379.03,43.354,4.4507,25.379,4.267,3.422,4.037,3.546,5.495,0.198,79.498,-9.815e-05,0.05052,168,0.62654
62,3375.691,63.684,6.8712,24.907,10.897,6.203,11.007,6.004,4.269,0.431,23.877,0.0007116,0.05045,695,1.0649
63,481.486,27.949,9.2854,24.58,9.976,5.085,10.192,5.409,6.536,0.49,-13.842,-0.0001695,0.04916,552,1.1375
64,185.121,86.867,190.66,21.299,16.235,13.525,22.512,18.242,42.738,0.167,-31.628,-0.0004991,0.05061,4107,NA
65,185.04,17.268,65.016,22.467,16.314,7.072,19.648,8.638,22.884,0.567,38.409,-9.954e-05,0.05205,1750,1.9878
66,160.885,44.209,21.722,23.658,9.885,6.99,11.568,7.821,10.608,0.293,-26.337,0.0003527,0.05206,1047,1.4828
67,123.41,38.659,38.047,23.049,14.813,12.431,15.876,13.352,13.903,0.161,30.128,0.0006163,0.05118,1883,1.8333
68,189.629,122.671,2.2172,26.136,9.58,1.776,9.466,2.068,2.681,0.815,49.937,-0.001216,0.04944,191,0.67203
69,1595.785,45.156,50.234,22.748,20.169,13.477,20.589,14.303,14.912,0.332,-77.677,-0.0005119,0.05067,2976,1.8589
70,1559.492,38.305,8.9672,24.618,8.136,5.748,8.688,6.051,6.575,0.293,59.167,-0.001808,0.04821,514,1.1805
71,3260.284,33.104,108.42,21.912,21.919,16.759,25.273,18.9,27.751,0.235,-16.238,-0.001356,0.04915,3680,2.4385
72,4090.664,26.663,33.918,23.174,12.776,10.095,13.015,10.983,13.174,0.21,-42.972,-0.0002512,0.04977,1673,1.7362
73,3785.797,150.871,140.45,21.631,17.663,14.818,21.816,18.245,34.266,0.161,41.065,0.0004129,0.05058,3791,NA
74,3726.587,185.807,43.535,22.903,10.505,10.071,12.038,11.58,18.03,0.041,-28.411,-0.001067,0.04979,1434,1.7177
75,4030.642,27.009,9.3018,24.579,9.213,7.357,9.405,7.497,6.1,0.201,-48.842,0.001334,0.04993,628,1.2074
76,3186.406,44.035,11.228,24.374,8.766,5.89,9.645,6.26,7.458,0.328,-47.677,-0.0007446,0.04906,605,1.2361
77,1699.221,8.232,80.814,22.231,8.383,7.434,12.631,9.488,31.007,0.113,-26.163,0.002021,0.05032,1227,1.8208
78,3055.022,123.408,40.954,22.969,8.314,7.536,10.455,9.542,18.592,0.094,-59.239,-0.0008977,0.04978,1098,1.2249
79,2994.703,61.155,56.628,22.617,16.738,9.228,18.726,10.711,19.547,0.449,41.274,0.0003683,0.04944,2018,1.8099
80,3004.715,41.279,22.374,23.626,12.497,5.739,13.013,6.3,12.418,0.541,48.914,-0.0002308,0.04895,833,1.334
81,3022.678,13.732,19.504,23.775,13.918,6.791,14.525,7.234,9.501,0.512,-4.038,-0.0002089,0.04875,1123,1.3971
82,3038.313,93.867,18.446,23.835,9.498,7.597,10.542,8.299,10.903,0.2,10.285,-0.001553,0.04882,745,1.2565
83,3073.197,100.112,10.39,24.458,8.655,5.442,9.202,5.716,7.707,0.371,-76.504,-0.001601,0.04947,482,1.0067
84,3057.941,91.74,2.8912,25.847,7.565,3.303,7.235,3.355,2.777,0.563,-71.214,-0.001649,0.04885,288,0.90331
85,3557.295,79.192,12.958,24.219,8.064,6.721,8.899,7.317,8.433,0.167,-38.336,-0.0003442,0.04917,603,1.1728
86,262.638,31.11,14.913,24.066,12.511,7.758,12.738,8.141,8.628,0.38,-83.12,-0.0004096,0.05063,783,1.1788
87,1346.077,101.583,8.4871,24.678,7.712,5.921,8.003,6.253,5.928,0.232,61.581,0.001813,0.0495,554,1.0725
