OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,124.294,28.24,103.96,21.958,10.056,8.256,13.248,11.556,32.912,0.179,81.785,-0.001525,0.05472,1708,1.6898
2,276.807,12.238,108.53,21.911,8.812,7.793,11.828,10.701,35.375,0.116,-77.866,0.0003573,0.05184,1464,1.6368
3,1801.258,23.922,28.462,23.364,11.959,8.162,12.814,9.012,12.194,0.317,-33.205,0.000508,0.05538,1172,1.4424
4,2395.792,10.955,9.4496,24.561,7.073,4.91,7.751,5.398,6.753,0.306,19.582,-0.0005126,0.05438,435,1.0305
5,1318.354,42.102,32.114,23.233,21.187,11.078,22.047,11.416,11.868,0.477,55.385,-0.001087,0.05321,1706,1.9406
6,2639.225,20.042,17.211,23.91,14.411,8.956,14.792,8.969,7.457,0.379,9.584,-0.001903,0.05415,1248,1.6161
7,448.59,33.998,33.443,23.189,12.118,9.059,13.526,9.895,12.871,0.252,83.829,0.0003412,0.05414,1501,1.7716
8,3572.45,7.935,15.575,24.019,6.344,4.346,7.888,4.872,10.601,0.315,-16.218,-0.001918,0.05365,440,1.0844
9,3595.109,7.739,5.1965,25.211,6.046,4.669,6.07,4.54,4.651,0.228,5.461,-0.002196,0.05161,295,0.86557
10,715.424,23.534,36.352,23.099,21.423,9.227,22.396,9.658,12.836,0.569,0.172,-0.001751,0.05507,1838,1.9085
11,1119.806,36.021,55.194,22.645,30.267,11.507,30.739,11.667,14.706,0.62,-32.492,-0.00186,0.05444,3218,2.5441
12,3825.163,37.815,13.668,24.161,7.637,5.424,8.631,6.009,8.804,0.29,-40.804,-0.001836,0.05451,542,1.3083
13,3082.992,6.837,4.2372,25.432,6.508,3.31,6.942,3.405,3.848,0.491,-6.945,-0.000199,0.05483,283,0.94742
14,1680.011,41.304,81.347,22.224,16.166,8.244,20.858,10.559,27.482,0.49,50.853,-0.001098,0.05431,1524,1.9289
15,3902.571,37.534,18.618,23.825,13.254,8.511,14.034,8.884,8.605,0.358,-9.14,-0.001682,0.05437,1083,1.5237
16,1992.159,15.467,31.638,23.249,10.858,8.66,12.231,9.278,13.942,0.202,-32.556,-0.001049,0.05347,1121,1.5253
17,2939.194,20.722,7.9126,24.754,9.666,4.244,9.558,4.502,5.427,0.561,45.585,-0.0003665,0.05349,488,1.0658
18,4136.029,23.988,15.311,24.037,11.194,9.355,11.172,9.56,7.353,0.164,-33.93,-0.0002614,0.05398,984,1.4246
19,1207.665,50.17,66.386,22.445,11.372,11.123,14.289,13.404,22.256,0.022,-47.275,-0.0005804,0.05368,1786,1.9842
20,1200.82,18.252,6.3323,24.996,9.517,4.053,9.529,4.234,4.892,0.574,52.295,-0.001562,0.05363,376,1.0675
21,1195.498,76.746,3.873,25.53,7.929,4.339,7.948,4.407,3.373,0.453,60.743,0.0001163,0.05423,298,0.90983
22,1265.197,40.889,6.502,24.967,6.735,5.637,7.129,5.769,4.941,0.163,-40.715,0.0004164,0.0525,418,0.97862
23,4154.109,62.067,25.197,23.497,18.843,9.891,19.681,10.094,10.31,0.475,1.079,-0.002248,0.05469,1340,1.6201
24,3309.975,43.372,6.4485,24.976,9.479,4.96,9.58,5.076,4.446,0.477,-72.685,0.001034,0.05423,491,0.98427
25,3323.718,11.015,13.304,24.19,6.416,5.943,7.111,6.596,8.923,0.074,-54.029,-0.0007715,0.05441,489,1.0496
26,2707.302,62.929,8.0443,24.736,6.426,5.172,6.709,5.37,5.962,0.195,-65.238,-0.002355,0.05529,403,0.94698
27,2810.235,81.763,8.1081,24.728,7.737,7.146,7.922,7.397,5.379,0.076,60.461,-0.001219,0.05516,525,1.122
28,3345.559,74.644,43.532,22.903,17.356,11.511,17.831,12.161,14.119,0.337,-25.022,-0.0002208,0.05297,2189,1.9646
29,996.842,14.549,363.21,20.6,12.609,8.589,21.443,12.001,73.193,0.319,29.871,-0.001211,0.05412,2848,2.1353
30,974.512,38.637,14.03,24.132,7.52,5.144,8.958,5.451,8.946,0.316,61.053,-0.0006553,0.05491,542,1.0996
31,516.004,107.313,8.7572,24.644,11.054,4.431,11.372,4.718,5.915,0.599,-47.655,-0.001294,0.05367,501,1.2311
