OBJ_ID,X,Y,BRIGHTNESS,MAGNITUDE,SEMI_MAJOR,SEMI_MINOR,GEO_SEMI_MAJOR,GEO_SEMI_MINOR,SN,ELLIPTICITY,POSITION_ANGLE,SKY,STD,AREA,UPPERLIMIT
1,123.218,30.307,98.495,22.016,14.615,10.643,18.448,13.379,25.396,0.272,52.284,0.004449,0.05452,2425,3.4592
2,211.807,10.275,9.5506,24.55,10.213,5.193,10.719,5.561,5.69,0.492,15.661,0.004496,0.05448,525,1.8017
3,275.879,11.928,105.97,21.937,12.746,7.945,17.869,9.852,30.07,0.377,4.175,0.004521,0.05448,1763,3.193
4,586.065,13.034,11.968,24.305,7.968,7.021,8.06,6.889,6.335,0.119,10.064,0.004472,0.05448,662,1.9314
5,641.305,11.283,9.25,24.585,5.096,3.497,5.646,3.87,7.437,0.314,86.329,0.004472,0.05448,264,1.1454
6,708.198,26.861,39.832,22.999,16.424,12.778,16.542,12.854,11.648,0.222,-3.522,0.004483,0.05447,2166,4.0145
7,794.675,106.203,690.23,19.903,23.493,10.967,38.623,17.192,86.166,0.533,-85.029,0.004508,0.05447,7073,NA
8,902.345,17.95,16.452,23.959,15.229,7.412,15.498,7.425,7.231,0.513,23.936,0.004445,0.05448,994,2.6485
9,998.839,14.529,315.27,20.753,15.762,8.57,24.126,12.521,57.774,0.456,21.681,0.004389,0.05451,3353,4.5829
10,1372.732,22.199,14.358,24.107,12.945,9.334,12.918,9.524,6.179,0.279,-71.75,0.004535,0.0546,1019,2.6251
11,1404.672,12.766,25.56,23.481,12.171,7.082,11.899,7.573,10.903,0.418,28.671,0.004554,0.05461,976,2.2578
12,1798.565,24.982,25.907,23.466,11.82,9.321,12.75,9.773,10.604,0.211,20.567,0.004984,0.05466,1081,2.6201
13,1808.773,8.564,3.7097,25.577,5.01,2.814,5.284,2.895,3.866,0.438,-58.672,0.004986,0.05466,169,0.87194
14,1918.756,52.193,352.56,20.632,14.155,11.015,21.875,16.961,59.413,0.222,-72.795,0.005026,0.05468,4258,5.9008
15,1993.886,14.622,27.949,23.384,12.681,8.232,13.641,8.557,11.383,0.351,-24.305,0.00502,0.05468,1089,2.3955
16,2207.922,21.05,1574.2,19.007,26.942,16.614,38.97,22.98,143.454,0.383,-18.207,0.005029,0.05465,10100,NA
17,2395.158,12.986,10.523,24.445,6.873,4.995,7.283,5.264,6.999,0.273,52.791,0.004996,0.05463,415,1.3806
18,2719.423,11.39,31.476,23.255,11.943,5.855,13.408,6.646,13.85,0.51,10.528,0.004896,0.05462,872,2.2019
19,3320.832,15.935,18.363,23.84,11.255,7.951,11.698,8.183,8.765,0.294,-2.389,0.004334,0.05473,812,2.258
20,3441.712,21.401,15.353,24.034,11.519,8.216,11.535,8.505,7.099,0.287,-52.715,0.004184,0.05475,876,2.1377
21,3570.595,8.925,11.75,24.325,5.526,4.509,6.318,5.456,8.358,0.184,-50.678,0.003936,0.05474,332,1.2059
22,3703.49,36.494,27.113,23.417,18.625,8.722,19.169,9.027,9.886,0.532,85.487,0.003881,0.05474,1401,2.8897
23,3987.401,8.946,35.445,23.126,12.03,5.807,13.282,6.486,14.241,0.517,-16.552,0.004049,0.05476,991,2.0435
24,2522.737,26.269,13.763,24.153,11.425,5.995,12.127,5.981,7.823,0.475,49.902,0.004978,0.05464,573,1.7737
25,455.412,28.727,29.797,23.315,12.703,6.541,13.714,7.457,12.336,0.485,-37.683,0.004483,0.05448,1037,2.7199
26,1108.282,41.07,29.937,23.309,20.532,8.211,21.03,8.521,11.137,0.6,-51.343,0.004395,0.05453,1333,2.6019
27,3603.399,55.742,77.446,22.278,18.537,9.886,21.603,11.216,20.349,0.467,-44.493,0.003894,0.05473,2462,3.7101
28,1681.647,46.339,74.52,22.319,11.013,8.164,14.933,10.631,23.445,0.259,-84.311,0.004862,0.05463,1504,3.0461
29,4139.679,27.303,18.791,23.815,13.499,7.467,13.575,7.534,8.25,0.447,-15.089,0.004022,0.05473,980,2.1624
30,2330.768,38.57,27.18,23.414,17.223,10.092,17.121,10.149,10.06,0.414,39.351,0.005007,0.05463,1369,2.5813
31,2450.594,39.638,35.662,23.119,13.74,7.515,15.5,8.72,12.728,0.453,-47.211,0.004996,0.05463,1387,2.9015
32,1210.863,51.878,71.633,22.362,15.832,11.602,18.551,13.104,19.012,0.267,40.147,0.004455,0.05455,2462,3.7454
33,2941.82,29.1,12.398,24.267,7.345,5.587,7.626,5.929,7.361,0.239,-77.851,0.004641,0.05457,514,1.508
34,3151.047,38.728,41.534,22.954,9.882,7.007,11.874,8.438,16.122,0.291,71.745,0.004491,0.05465,1101,2.5626
35,2280.708,26.42,4.4067,25.39,5.685,3.856,5.749,3.995,3.771,0.322,75.476,0.005029,0.05465,252,1.1395
36,2749.942,43.057,16.328,23.968,11.234,7.165,12.46,7.816,8.791,0.362,-57.777,0.004839,0.0546,620,1.7258
37,3819.691,40.552,14.733,24.079,11.764,6.695,12.667,6.646,8.059,0.431,-81.102,0.003957,0.05476,613,1.5824
38,3909.471,34.999,5.8432,25.083,7.172,3.324,7.654,3.516,4.925,0.536,-80.721,0.004067,0.05478,262,1.123
39,1775.263,50.54,25.446,23.486,23.18,7.296,23.157,7.495,8.882,0.685,26.634,0.004952,0.05465,1540,2.8892
40,3067.666,45.079,13.329,24.188,14.188,4.758,14.629,4.904,6.859,0.665,47.851,0.004551,0.0546,711,2.0452
41,3569.419,34.283,5.3481,25.179,6.67,3.943,6.834,4.134,4.519,0.409,53.755,0.00394,0.05474,266,1.1278
42,3900.221,32.553,6.1026,25.036,5.427,2.955,6.137,3.199,5.341,0.456,-61.183,0.004066,0.05478,239,0.95276
43,3970.045,32.308,6.622,24.948,6.466,4.863,6.463,4.952,4.711,0.248,-84.523,0.004049,0.05476,369,1.2986
44,4013.196,39.672,8.6402,24.659,10.072,7.238,10.37,7.339,5.137,0.281,-28.813,0.004047,0.05476,521,1.6403
45,2018.415,37.512,8.5604,24.669,6.945,4.486,7.282,4.718,6.072,0.354,-47.702,0.00502,0.05468,370,1.3076
46,3593.469,31.505,2.462,26.022,4.328,2.519,4.283,2.928,2.965,0.418,-17.751,0.003894,0.05473,128,0.77456
47,981.623,44.752,31.461,23.256,14.818,7.301,15.929,7.575,12.303,0.507,33.276,0.004395,0.0545,1190,2.3392
48,3988.561,55.082,42.777,22.922,11.7,6.738,13.975,7.926,15.511,0.424,70.348,0.004051,0.05476,1278,2.6668
49,2406.709,43.932,16.57,23.952,8.944,6.75,9.797,7.408,8.534,0.245,-75.183,0.004996,0.05463,685,2.0446
50,3836.514,37.373,2.5617,25.979,5.575,2.727,5.766,2.714,3.136,0.511,-55.272,0.004025,0.05478,123,0.59604
51,2111.872,77.073,82.288,22.212,18.471,9.411,20.191,11.229,22.481,0.49,-58.57,0.005036,0.05467,2217,3.9009
52,1409.786,56.687,57.599,22.599,13.397,8.375,15.883,9.833,18.342,0.375,8.351,0.004557,0.05461,1649,2.8811
53,1455.102,55.358,24.864,23.511,10.962,7.438,11.795,7.705,10.828,0.322,65.573,0.004572,0.05462,942,2.0649
54,3406.823,65.722,30.453,23.291,19.606,8.597,20.412,8.362,11.091,0.561,40.147,0.004232,0.05475,1398,2.977
