X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.756,2457.555,16.4395093258494,18.142647202269,0.086,-63.255,18.977,17.342,29245,0.06317321732826602
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.753,337.333,16.8757922772794,18.4880167805527,0.138,83.465,19.913,17.164,25965,0.09846286915866434
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.289,675.15,17.0347397269275,22.2542429392689,0.2,-40.893,24.881,19.909,29585,0.116618548122563
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3267.048,1575.092,17.409110578325,19.4211726898764,0.35,41.692,24.089,15.661,23146,0.09027749430181892
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.387,3450.365,17.4767742470592,18.5707900848348,0.225,-67.852,21.095,16.344,19922,0.1330749762824017
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.278,1664.76,17.7892109246435,15.2218177237806,0.166,-73.314,16.668,13.893,14570,0.1060542043897934
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.943,1384.226,18.0842598911216,16.3114090279473,0.203,-55.094,18.271,14.553,14603,0.14073177262413328
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,618.215,1436.866,18.0079301874765,19.6724266265756,0.198,-8.534,21.967,17.608,18819,0.5169633479152171
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.329,3768.205,18.2213611567623,13.8618589918524,0.29,-45.105,16.451,11.679,10907,0.19239450800347865
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,111.424,2197.245,17.8144781245761,18.3467093180221,0.075,-63.608,19.076,17.648,17807,0.08945457817080542
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3940.959,2569.245,18.7186046261962,18.3389185218213,0.402,21.772,23.715,14.193,12244,0.7598911421601995
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3445.804,3793.858,18.6412323447139,14.9151515563202,0.268,-68.397,17.433,12.769,10936,0.12343754353968525
