X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.954,2457.56,16.4469209670465,17.6687282045426,0.026,-87.683,17.903,17.436,28152,0.06494024619527089
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.606,336.837,16.8941519885911,16.5937306337966,0.157,77.42,18.073,15.231,20807,0.11480223965943094
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2911.426,676.105,17.0518804614422,20.4966472788844,0.237,-35.25,23.465,17.906,26061,0.3551974711818666
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3267.245,1575.63,17.4257116168725,17.5855297455607,0.248,40.518,20.279,15.256,21078,0.17330678395926916
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.859,3450.178,17.4791517910073,19.665704869137,0.25,-62.751,22.708,17.023,22868,0.17956760174728187
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,646.71,1665.652,17.7990478887452,15.4569327787889,0.113,-50.294,16.412,14.557,15422,0.27378955088337853
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.517,1383.608,18.0882165094471,17.790272882449,0.308,-32.184,21.386,14.792,17780,0.11215882742787825
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,621.182,1437.231,18.0457799377385,18.0991485439509,0.224,-29.544,20.546,15.942,16567,0.3693541845955441
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.432,3768.237,18.229686159792,13.0699032002536,0.226,-43.286,14.856,11.504,9861,0.1829731247116087
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,112.047,2197.771,17.8275683587998,17.078445678691,0.173,-75.774,18.78,15.534,16697,0.23773518477910627
3937.5,2567.8,18.6566934955946,10.649,0.27,28.9,416.364056519661,303.945761259352,397575.116617112,3940.279,2569.079,18.7622373179755,16.5149027585693,0.299,8.495,19.725,13.828,10652,0.6472250595988388
3445.6,3793.3,18.6244886883348,6.618,0.18,-87.0,300.399658094829,246.32771963776,232467.68627141,3446.412,3794.463,18.6773701666002,13.5759723358587,0.074,65.177,14.108,13.07,9897,0.30273988295602494
1175.1,1775.5,18.6062137358946,6.563,0.27,18.9,317.919283356517,232.081076850258,231796.28668599,1175.094,1775.823,18.6808875910034,12.2308745981635,0.236,6.862,13.993,10.686,8461,0.1627246965040518
1513.2,1693.8,18.4256424922128,8.619,0.16,44.6,359.780231450842,302.215394418707,341588.902109025,1513.709,1693.037,18.4603973262449,17.992247277925,0.09,-34.397,18.861,17.16,14865,0.19617992480152344
2753.8,65.1,18.976807254764,6.826,0.33,65.2,316.296375479787,211.918571571457,210578.053005251,2752.615,64.841,19.0343047413866,14.3319275287032,0.232,64.408,16.354,12.555,9912,0.26847845585294877
3132.7,919.9,18.9597712082106,7.501,0.37,-82.5,345.589334631919,217.721280818109,236380.193764057,3133.397,918.372,19.0199062432169,14.7134885315482,0.277,-74.877,17.304,12.519,9563,0.35678329121652674
2087.6,2687.9,18.8965626805247,10.47,0.14,-76.9,362.086441945909,311.394340073482,354219.81387722,2088.014,2686.873,19.0343047413866,15.4824650156233,0.26,-79.979,17.998,13.313,9716,0.35344765421823476
3568.6,3363.0,18.8503484308254,6.908,0.32,30.4,323.961840132855,220.294051290341,224205.622646397,3568.06,3363.57,18.9131374984299,13.194065688786,0.176,62.932,14.535,11.972,8476,0.2010822895584055
1685.4,1520.5,18.9407149956968,7.872,0.03,70.8,287.42103698072,278.798405871299,251743.75789834,1686.255,1522.088,19.0451767612419,13.3286063304458,0.098,25.481,14.034,12.658,7752,0.41684305433240415
1685.8,1217.0,19.0377777735941,8.453,0.46,64.5,393.601822216913,212.544983997133,262819.650395754,1686.138,1217.374,19.1583570953153,13.1754064376777,0.202,66.765,14.749,11.775,7791,0.2613828056507218
843.0,2935.6,18.9915880556174,8.979,0.44,-30.1,403.681207189302,226.061476026009,286691.596780891,840.909,2936.32,19.0762547632876,16.7871253882253,0.252,-46.63,19.41,14.514,10564,0.47359837513691516
3871.6,2828.5,19.0760158306085,6.942,0.22,57.8,290.367924909567,226.486981429463,206605.442278763,3869.505,2829.168,19.1315822305155,12.9063257696759,0.167,-9.93,14.141,11.776,7349,0.45362630739790294
1037.7,530.6,19.126817041069,7.59,0.07,0.5,277.133874360382,257.734503155155,224394.417251919,1037.435,531.277,19.2218437158523,13.8171112465667,0.2,-26.171,15.448,12.358,8729,0.23929630776523392
3540.4,1141.3,19.0452644421051,6.571,0.1,-25.2,263.433078234981,237.089770411483,196215.35726182,3539.748,1142.592,19.1129514095146,14.1850561685529,0.095,-1.948,14.911,13.499,9806,0.3195163252170753
1632.3,205.0,19.5247802511991,7.975,0.13,-23.1,272.161730120958,236.780705205234,202452.544470165,1630.992,201.285,19.5867017091925,18.3190483492184,0.331,24.449,22.397,14.986,10398,0.797386817868521
3747.9,526.7,19.6433190065683,9.106,0.16,-37.5,291.049017506887,244.481174705785,223543.184756641,3747.854,526.92,19.7420714760646,15.3632458112536,0.223,0.729,17.429,13.549,7888,0.20255435590267745
1101.3,423.4,19.420519603726,8.066,0.28,85.9,307.487436856032,221.390954536343,213863.722454993,1102.19,423.501,19.5436548469894,12.5604139559968,0.334,76.804,15.391,10.255,6454,0.3045287595366259
284.8,3676.6,19.2629410457655,6.762,0.17,-51.1,267.314089597571,221.870694365984,186325.229743505,285.07,3675.991,19.2777116334877,14.4887093118745,0.331,-50.34,17.714,11.854,8235,0.1364878856105647
2288.5,982.4,19.606711685463,7.302,0.39,30.7,304.246166141097,185.590161346069,177390.327834325,2288.775,983.314,19.6909704470679,14.321849137978,0.309,33.398,17.229,11.906,7713,0.2546315190551965
3799.2,3304.3,19.5220031478266,8.578,0.41,25.4,344.432559509766,203.215210110762,219892.431834022,3801.581,3301.593,19.5932600018617,17.7964725301111,0.365,-37.709,22.333,14.178,8803,0.734990089850681
3965.5,1277.8,19.7229841142559,7.355,0.28,-9.3,274.661797554018,197.756494238893,170639.230960842,3963.879,1278.727,19.7389550465308,14.1498647396362,0.354,-35.027,17.605,11.367,6965,0.37482724248986243
2019.5,1819.0,19.4883102356813,7.765,0.36,-22.5,314.905685656597,201.539638820222,199384.250707878,2019.549,1819.299,19.5702223748605,13.9208010338486,0.409,-3.178,18.108,10.697,7100,0.17467247688072998
274.4,417.8,19.3290917320778,7.058,0.26,64.8,286.379551524783,211.920868128339,190662.639797164,275.426,419.374,19.4369402120542,13.0225019863312,0.176,84.716,14.346,11.824,7442,0.4332820058879325
326.1,2755.4,19.5229681698661,6.408,0.25,31.5,259.080023586496,194.310017689872,158153.567172328,325.181,2753.844,19.5290374352335,13.1705660488834,0.117,-56.327,14.016,12.383,6560,0.36161238473235846
762.4,234.7,19.5973690485455,7.402,0.23,39.5,273.392844798682,210.512490494985,180806.852504886,763.639,235.556,19.7081810013863,12.7438584541731,0.252,11.026,14.735,11.027,6037,0.37393746088923013
179.5,767.5,19.6440123431225,7.405,0.08,13.4,247.830242179309,228.003822804965,177519.596708147,176.59,770.222,19.7145124579802,15.4854120459224,0.048,-44.374,15.871,15.11,7659,0.8093061378611861
2802.2,1727.7,19.5691122107542,7.561,0.05,-60.2,250.516052370519,237.990249751993,187302.941122346,2801.689,1725.489,19.6418326960347,14.1554885468499,0.185,-89.66,15.68,12.785,7622,0.4765796085607967
1856.5,3803.8,19.3862997245398,7.935,0.4,52.6,336.04701220537,201.628207323222,212863.500595679,1857.257,3805.591,19.4927498284715,13.332561968354,0.215,61.831,15.048,11.808,6991,0.44333813563676705
681.7,2289.8,19.5390159610631,8.38,0.14,56.4,280.62060408194,241.333719510468,212758.752064854,682.514,2289.329,19.6080186990738,13.1242271921816,0.152,49.037,14.252,12.082,6486,0.23328959778586247
247.8,1539.3,19.8126185556686,9.391,0.27,47.0,306.559795833985,223.788650958809,215527.717251872,250.649,1539.85,19.8537472372106,16.2997672573568,0.164,47.489,17.827,14.908,7778,0.5861189895261278
2671.6,3470.5,20.1121621292427,6.173,0.24,48.9,223.976310151688,170.221995715283,119775.401776091,2674.71,3468.216,19.9700576391576,15.7962019666754,0.332,15.305,19.327,12.903,6546,0.8223750287526286
3347.2,204.1,19.8290454954225,8.176,0.41,87.1,314.927543473459,185.807250649341,183832.873392966,3347.326,205.767,19.9101872735457,14.3778968633803,0.306,78.644,17.259,11.979,6440,0.3716533747290506
862.9,1191.8,20.1711968626351,6.15,0.09,61.9,201.82779440708,183.663292910443,116453.679042356,863.007,1192.225,20.2286503284301,12.4021274304048,0.2,35.678,13.866,11.091,5286,0.14451537601933415
1272.4,1735.9,20.1990092566513,6.184,0.01,46.8,193.003856507374,191.0738179423,115855.602798208,1271.559,1734.468,20.1386612642489,12.9626188479026,0.271,-79.274,15.182,11.062,5307,0.35339518990615
3231.2,1238.9,20.1816975710561,5.722,0.17,-50.3,202.524096021231,168.094999697621,106950.14304329,3230.177,1237.627,20.2230781465095,12.2877299276555,0.161,-23.867,13.415,11.251,5149,0.3369424556997765
215.9,1419.3,20.044556973411,5.763,0.21,88.5,214.249399364977,169.257025498332,113924.253142367,214.857,1420.603,20.1131165341658,12.0464307244926,0.132,-30.833,12.93,11.229,5159,0.36086337367393617
145.0,673.8,20.1446028104667,7.17,0.29,9.8,250.184210686207,177.630789587207,139613.693496102,146.476,674.286,20.2394735176282,13.4668475847913,0.283,-8.987,15.904,11.402,5812,0.36413343560379585
767.2,2329.7,19.7882596249538,8.374,0.39,-31.9,316.492870677848,193.060651113487,191958.598642336,767.914,2328.076,19.8989191991093,13.0371815355927,0.362,-46.542,16.322,10.412,5530,0.4181650445635161
3810.9,2177.0,19.9786914395031,9.021,0.52,49.5,357.216587574505,171.463962035762,192421.831897028,3811.817,2179.101,20.1373520770065,14.176,0.36,47.353,17.72,11.336,6321,0.5575872631399801
4046.1,3790.1,20.0048407773483,6.043,0.17,-57.4,216.411802544237,179.621796111716,122120.858823484,4046.636,3791.439,19.9761512139446,12.3849102223633,0.244,74.342,14.244,10.763,5302,0.2940856958755415
3409.2,34.4,20.2099432849696,6.53,0.3,-23.5,236.062230153521,165.243561107465,122546.503412762,3406.425,36.063,20.1636204524307,17.0877989548098,0.32,26.429,20.722,14.085,6917,0.6536206365365536
2681.3,3996.8,20.2247480280014,5.695,0.15,-18.0,197.869999617597,168.189499674957,104551.123546166,2679.608,3999.174,20.2861158678842,12.6914221160593,0.313,-54.107,15.312,10.522,4714,0.5958279812292557
261.9,255.4,20.0067326049513,6.367,0.13,77.8,217.594687933349,189.307378502014,129409.364071218,261.411,255.75,20.0659543718667,14.796623430871,0.245,-51.161,17.029,12.863,7370,0.16880060082302462
3964.0,3000.1,20.2472057499571,6.637,0.29,-73.9,234.713633014441,166.646679440253,122881.032789005,3962.499,3000.81,20.354589778124,12.1617873844267,0.136,83.248,13.084,11.308,4892,0.395479217567612
1013.3,1812.9,20.1510736677292,7.563,0.15,-20.4,235.157320908361,199.883722772107,147667.800406106,1012.943,1814.959,19.9345699451841,13.3423312927314,0.243,56.028,15.335,11.612,5238,0.6018041852763784
1044.9,784.5,20.0061601383017,9.138,0.22,-49.6,280.568722089317,218.843603229667,192895.894097731,1043.297,786.017,20.1311209256173,14.940688479451,0.315,-54.726,18.052,12.359,6747,0.5072473206921446
103.0,3283.0,19.8682687451332,9.323,0.53,48.8,376.138971520612,176.785316614688,208902.864967883,102.22,3286.219,19.8854416843591,18.2563154750349,0.391,30.185,23.394,14.248,8389,0.6633204952107534
3846.4,292.9,20.0323499590514,6.654,0.29,-4.3,245.605798986815,174.380117280638,134550.543012027,3847.838,294.744,20.1079724806168,13.0386101688792,0.254,-7.217,15.096,11.262,5594,0.49154287526140666
734.8,1201.6,19.7568112354354,6.166,0.34,-89.9,257.952445762136,170.24861420301,137966.328811804,732.425,1201.331,19.7417865611258,15.7835418038538,0.214,64.898,17.803,13.986,8129,0.478977618115595
3483.3,3563.3,19.8714808367552,8.909,0.25,6.6,290.267863005135,217.700897253851,198522.185338878,3484.447,3559.73,20.0041849710647,14.9907692572463,0.389,-42.714,19.178,11.712,5606,0.7955321326545047
4146.9,3591.0,20.4205613460883,6.906,0.35,71.1,241.894702383996,157.231556549597,119485.703170956,4145.896,3591.585,20.4759606251173,13.9402197570555,0.053,63.077,14.325,13.564,5438,0.25744536721258976
1509.5,385.8,20.2658388838469,5.798,0.0,-85.1,182.743960623787,182.743960623787,104914.602385883,1509.483,386.327,20.3452554175737,11.5206162569543,0.14,-53.781,12.423,10.679,4724,0.19065460385502805
109.6,3545.0,20.2772164323809,6.249,0.27,42.6,222.495845309834,162.421967076179,113531.544039554,110.611,3547.337,20.3470542876755,10.3515876463951,0.279,51.128,12.191,8.791,3536,0.5280691503409151
42.3,1714.8,20.3544329497562,5.356,0.19,-45.5,190.76897148599,154.522866903652,92608.3972561744,42.179,1715.533,20.447552924216,9.32935134551165,0.108,-44.557,9.878,8.812,3195,0.23824283410515418
694.5,2770.9,20.4828348940106,6.741,0.33,-78.9,232.091729158407,155.501458536133,113381.971358147,695.359,2772.32,20.5565577702075,12.5290226953262,0.175,86.741,13.794,11.379,4531,0.3632114866444406
2615.0,755.7,20.3587117064664,8.509,0.16,-42.9,241.438332903626,202.808199639046,153830.200522784,2611.818,755.816,20.4370019212946,16.0025731078474,0.082,76.837,16.702,15.324,6370,0.6557899951021195
625.9,3808.4,20.5520479412818,7.831,0.14,38.8,218.993475097789,188.334388584099,129571.85443067,627.911,3809.005,20.6382489679033,13.3754780667459,0.174,-0.21,14.717,12.152,4878,0.45401443500822386
1389.2,581.6,20.5980734469425,6.333,0.04,-17.9,182.930855574917,175.61362135192,100924.135249659,1388.783,580.454,20.6524352789104,13.1696832324851,0.089,-4.188,13.798,12.571,5080,0.26703027549575997
954.6,1604.4,20.2977325889996,8.773,0.19,-68.9,253.207687353903,205.098226756662,163150.596106384,955.617,1605.269,20.4763875130984,11.2059965745577,0.131,-47.254,12.021,10.443,3688,0.4463727329588683
447.5,318.8,20.6707420375,8.344,0.43,65.3,271.284834327362,154.632355566597,131787.967582359,449.253,316.124,20.6690377987404,14.7766527114905,0.221,69.465,16.742,13.047,5168,0.6398190403885323
720.1,1817.9,20.6806508199922,8.152,0.2,-27.0,225.690323579993,180.552258863995,128016.43773824,721.572,1816.445,20.7146271638114,15.8684601523273,0.226,-66.736,18.037,13.954,5542,0.41949451081253597
2409.7,1155.1,20.6736790767093,7.764,0.48,-73.3,273.149967618028,142.037983161374,121886.476622525,2411.077,1156.578,20.863573794745,10.6886312133968,0.264,-64.686,12.459,9.165,3264,0.5545023007126907
1059.1,3979.0,20.6439955573715,5.187,0.02,-2.3,160.62794817205,157.415389208609,79436.1472162501,1059.868,3980.7,20.7438639168903,10.0210040013464,0.205,-77.222,11.239,8.935,3276,0.42318933936917585
2906.0,3224.3,20.3857671072642,7.434,0.36,-21.3,255.636290597007,163.607225982085,131393.796361001,2907.664,3224.651,20.4686496006312,11.9479354819149,0.32,-21.141,14.489,9.853,4187,0.3783656166045796
1348.1,3473.8,20.2943393706624,6.79,0.3,47.3,237.064825869156,165.945378108409,123589.664891359,1349.038,3474.677,20.3713203695024,12.5371249686282,0.169,37.4,13.753,11.426,4702,0.29943550741158903
2270.5,2352.9,20.5173906317262,8.213,0.52,-18.2,302.953109468592,145.417492544924,138401.863874796,2275.109,2354.243,20.5868270980091,17.2773809720976,0.505,-2.483,24.557,12.167,6006,0.9701326630767356
2281.7,64.5,20.715002567078,8.378,0.15,-58.4,220.514065652975,187.436955805028,129849.831790391,2281.203,65.015,20.8253345518171,11.2108508492888,0.115,34.986,11.917,10.549,3573,0.2630209233407024
659.5,1329.3,20.2524551522114,5.807,0.0,46.5,183.399562779865,183.399562779865,105668.724371397,658.521,1330.219,20.3562847306024,10.1336250210376,0.157,-20.691,11.037,9.301,3549,0.3394684310021122
1183.5,1887.6,20.4682168708848,6.01,0.29,6.7,212.29883430413,150.732172355932,100531.795813645,1187.102,1887.939,20.4115168515706,15.6903412057227,0.428,15.652,20.746,11.876,6311,0.7324160231003737
3256.8,2564.3,20.2611602753274,8.085,0.22,-50.2,248.805680152387,194.068430518862,151692.831253981,3258.062,2565.974,20.2409978402842,13.2506204251348,0.221,-14.718,15.013,11.701,5541,0.4212023582415352
4078.8,1773.9,20.4446013289459,6.937,0.14,22.6,209.758912590497,180.392664827827,118874.627700815,4079.762,1773.921,20.5834644044022,12.3944109823743,0.121,-28.704,13.22,11.615,4555,0.33788077215465423
3607.5,2753.6,20.3832863853194,8.77,0.36,35.1,279.656970312703,178.98046100013,157246.556393686,3603.153,2751.787,20.4687290922449,16.1676157310842,0.553,23.619,24.182,10.816,6316,0.957366757889105
1980.2,789.1,20.6042828193158,6.833,0.23,84.2,212.629127042077,163.724427822399,109366.952376841,1979.674,789.346,20.6304402139022,13.8588427310508,0.219,64.208,15.682,12.251,4969,0.12736931760300538
1099.4,2616.4,20.5877120066383,7.271,0.22,86.0,219.264994782209,171.026695930123,117810.251011446,1098.886,2618.273,20.5820516432761,14.0303126875704,0.169,-53.062,15.391,12.784,5465,0.388634527516087
2395.4,1876.1,20.423802803132,5.755,0.21,86.3,198.274185319717,156.636606402577,97568.4289861608,2395.658,1875.384,20.5157605137586,11.2333523803004,0.228,85.266,12.785,9.876,4410,0.23873478960459887
3180.1,2693.7,20.7263280024938,5.583,0.21,-83.1,183.220535149338,144.744222767977,83315.3951744095,3180.977,2694.592,20.8342770896603,9.46931536949742,0.193,71.639,10.541,8.507,2775,0.330454800191579
1839.6,3488.5,20.5023224974275,5.714,0.12,63.0,184.135505261977,162.03924463054,93736.2597814062,1839.142,3489.776,20.5413795836459,11.6669818572328,0.287,41.657,13.817,9.853,4116,0.2821675555907508
3517.9,2045.7,20.4558373287736,6.215,0.11,8.1,193.660206857762,172.357584103408,104862.609801875,3520.448,2044.452,20.3741583264136,20.3289990592749,0.148,-18.563,22.024,18.77,8355,0.5905024889303265
2226.5,4069.2,20.5456997770846,7.349,0.37,-9.8,247.576781694256,155.973372467381,121313.811670861,2223.482,4070.503,20.6168402553255,12.9180332863792,0.347,-37.877,15.986,10.445,4152,0.6726769510816586
885.3,1796.6,20.3086888782535,5.599,0.14,27.8,191.570341057852,164.750493309753,99152.7739561801,885.176,1798.221,20.3689248017364,12.4340938631249,0.163,-89.957,13.591,11.381,5098,0.34675234802814237
