X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A40_INPUT,B40_INPUT,AREA40_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072608283,1.882,0.44,-38.8,108.57753197166,60.8034179041293,20740.433577548,526.72,2786.354,16.8391358570946,3.00636,0.359,-42.007,17.895,11.464,17105,0.06685900686932773
387.3,454.0,17.30232513182,1.678,0.45,-40.8,95.8023439234137,52.6912891578776,15858.599511912,387.687,454.3,17.264569968585,2.879016,0.451,-36.948,17.137,9.412,11231,0.12366465679107742
2460.5,1071.5,17.6005286899439,1.858,0.18,-1.7,100.294573688363,82.2415504244576,25913.0539053644,2460.743,1071.333,17.5798669433017,2.5452,0.2,-3.937,15.15,12.124,11891,0.07200799328702125
1471.4,1174.9,17.9092020981665,1.331,0.17,39.7,73.597169621714,61.0856507860226,14123.7554895039,1470.948,1175.134,17.8977037677807,1.91268,0.179,26.861,11.385,9.351,7651,0.10436317471011756
4049.5,1094.9,18.0295863854997,1.459,0.35,-52.0,80.4158190865199,52.2702824062379,13205.2372735741,4050.119,1095.434,17.9994742339767,2.274384,0.02,-53.054,13.538,13.267,10489,0.1742372053623299
2089.3,724.9,17.8812966001861,1.872,0.49,-49.4,102.386649113401,52.2171910478344,16796.032575674,2089.178,725.075,17.8647030987552,3.009384,0.336,-53.304,17.913,11.897,11747,0.0540543434312662
2043.1,360.7,18.3199917199614,1.233,0.0600000000000001,17.1,66.6484496496765,62.6495426706959,13117.7040723524,2043.064,361.077,18.3105678732049,1.6716,0.092,6.238,9.95,9.034,5855,0.07804996543240506
1437.2,4063.5,18.4899570149444,1.812,0.14,17.6,92.5631762146207,79.6043315445738,23148.6048282929,1437.61,4062.67,18.4412709213635,2.621472,0.209,-4.737,15.604,12.342,9248,0.20919594759586624
3041.3,2890.2,18.4687058360537,1.439,0.01,-18.4,75.2430592627036,74.4906286700766,17608.3214214163,3041.208,2890.282,18.4475952971977,2.275728,0.24,47.685,13.546,10.288,7654,0.04889600475905975
374.0,883.0,18.7329818677192,1.123,0.14,-18.6,60.2861696865205,51.8461059304076,9819.37186173716,373.852,881.271,18.6910963413428,2.2596,0.163,-33.725,13.45,11.257,7795,0.3570313561570171
854.5,2942.4,18.867599357655,1.628,0.28,66.0,83.4179747929352,60.0609418509134,15739.8885514558,854.634,2941.876,18.8351856305892,2.414832,0.254,73.455,14.374,10.722,7176,0.12609435134313307
