X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,130.662737369889,73.1711329271378,30035.9521953255,526.735,2786.656,16.8436390466338,13.113159007272,0.394,-38.568,16.845,10.207,13780,0.0628473497355432
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,116.045375573119,63.8249565652154,23268.4920482548,386.895,453.831,17.2493007132974,14.2857947882153,0.301,-33.927,17.087,11.945,13821,0.1376567170172703
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,101.750255573071,83.4352095699185,26670.7201567411,2460.506,1071.565,17.5862756634264,13.579819387606,0.166,25.986,14.87,12.401,11908,0.031353462006249486
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,74.4205884858798,61.7690884432802,14441.5618606676,1471.288,1175.043,17.8887558171669,11.5070363480785,0.284,18.905,13.599,9.736,9542,0.05469777661781701
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,90.2968571297626,58.6929571343457,16649.7799626092,4049.672,1094.748,18.013411002858,11.6023792085934,0.228,-42.501,13.205,10.2,8626,0.05616397902484885
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,127.455555256288,65.0023331807069,26027.8075803073,2089.018,725.085,17.8737212345379,13.2734274746578,0.427,-49.448,17.535,10.039,10445,0.06913930203796986
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,63.7890175820791,59.9616765271543,12016.2665511215,2042.359,358.557,18.2976483043786,12.838751892026,0.455,69.55,17.391,9.476,8402,0.4556959307778517
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,91.5945158752421,78.7712836527082,22666.6462595361,1438.276,4062.864,18.4412709213635,13.3469454694323,0.211,-5.34,15.026,11.858,8027,0.26828416096482505
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,70.2382047973408,69.5358227493674,15343.7627011108,3041.309,2889.943,18.4490790503562,11.9039118444316,0.088,43.977,12.465,11.371,8486,0.06469171896180992
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,59.8926050708937,51.5076403609686,9691.58325321978,373.083,883.342,18.7166503902892,9.83741514077758,0.197,-17.158,10.978,8.812,5921,0.1984465046715203
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,89.0252931209383,64.0982110470756,17927.0650227271,854.196,2942.268,18.8214996988973,13.3026813436991,0.347,71.771,16.462,10.758,8313,0.11354862390627865
200.8,395.8,19.163435126387,8.731,0.17,88.1,74.3315920453596,61.6952213976484,14407.0424046781,200.316,394.74,19.114929625992,13.4928765622087,0.117,-54.13,14.359,12.672,8063,0.252437036285133
