X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,XX_OUTPUT,YY_OUTPUT,XY_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,130.662737369889,73.1711329271378,30035.9521953255,525.943071560966,2785.55597717483,17.0282806126674,100.044118894645,82.3501597686618,-40.4612043426957,8752,0.45531757695777114
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,116.045375573119,63.8249565652154,23268.4920482548,386.247570985219,453.066618066925,17.4758240908263,81.1387946740988,71.3234162169371,-34.5277976787654,7411,0.4467202340219039
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,101.750255573071,83.4352095699185,26670.7201567411,2459.45405544761,1070.52479434026,17.77042428496,93.9443833628199,66.9615346910528,-0.823462118922828,6714,0.444138539604674
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,74.4205884858798,61.7690884432802,14441.5618606676,1470.3567326668,1173.9493773697,18.0745888380221,48.0333065197965,45.5159273955791,6.58511123629026,4472,0.4348548148022297
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,90.2968571297626,58.6929571343457,16649.7799626092,4048.4539485562,1093.94181429955,18.1981185666809,52.5576655997808,61.4987853380294,-18.2980455178949,4896,0.44057684511768136
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,127.455555256288,65.0023331807069,26027.8075803073,2088.23659727704,723.955611814862,18.0556197026985,87.7791268725878,102.496678596152,-48.5961078960627,6531,0.4499644374423491
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,63.7890175820791,59.9616765271543,12016.2665511215,2042.05491076073,359.747763811828,18.4848799343226,42.8141105574619,39.5443227256214,1.159601227034,3771,0.43440743970637447
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,91.5945158752421,78.7712836527082,22666.6462595361,1436.14559809089,4062.34477385893,18.6484066499354,82.1820781752573,70.345208019678,5.69485239685018,5559,0.4452792108011013
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,70.2382047973408,69.5358227493674,15343.7627011108,3040.26208215119,2889.25977172942,18.6405117613362,52.2285445613211,51.3536499673131,-0.295931516537322,4099,0.44330741604427165
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,59.8926050708937,51.5076403609686,9691.58325321978,372.965684351173,882.051392379978,18.8958791840019,39.2870875471474,32.7892541952309,-2.48589306596578,3047,0.43003312483502043
2400.2,2588.1,19.158038031823,6.425,0.32,-58.7,63.302560553605,43.0457411764514,8560.5435321722,2399.16450008644,2587.15209455167,19.3161188127747,31.1438542888968,39.8358528229318,-8.67729362048823,4419,0.42283907895329265
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,89.0252931209383,64.0982110470756,17927.0650227271,853.449419551736,2941.45022683985,19.0420995575335,54.5252030903766,77.0842811710706,12.687322497353,4621,0.4494723209203149
200.8,395.8,19.163435126387,8.731,0.17,88.1,74.3315920453596,61.6952213976484,14407.0424046781,199.747800667373,394.884730456835,19.3334348058373,46.5493626691951,61.8068460683615,0.815164509972738,3940,0.4397642527706047
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,66.1775527129409,58.8980219145174,12245.0703516176,3501.87002822468,418.13457564301,19.1809057043399,41.7726197718669,49.4659701154474,0.236430643163212,3518,0.43302661483510285
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,70.9173710931994,60.2797654292195,13429.9394392252,3394.58060525832,773.133404620289,19.3876940575675,45.50365631644,55.8014601078228,3.91755147347954,3231,0.44605983952660855
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,85.6954609315338,69.4133233545424,18687.4709138708,1147.35953368011,4045.54710486058,19.2056734719028,59.0544388576765,76.678350348455,6.97787129959959,5338,0.45863407194987466
2200.0,12.5,19.130071263245,10.172,0.38,-61.7,98.0829042666101,60.8114006452982,18738.2140696923,2198.92637627349,11.6382250628183,19.4440566022572,57.4709924118415,62.4838241912115,-16.5947541694155,5003,0.6856822371898041
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,61.5837246126086,52.9620031668434,10246.6104872274,1782.35923165445,3040.82941664265,19.8782337595599,47.4813789118876,37.804574150874,-1.45264580595903,2604,0.43277742771640226
3927.8,3879.3,19.6634651170865,7.021,0.25,-8.0,62.7618125967971,47.0713594475978,9281.15640938911,3926.83743295959,3878.28907191268,19.8035093350451,46.3853282208272,31.9293646966224,-2.67132850885663,2624,0.39547146204407707
342.2,2519.4,19.664671706824,9.44,0.42,77.1,91.5777419705445,53.1150903429158,15281.2094417864,341.134112554658,2518.47452536528,19.8364618002847,43.0507625397591,94.0322572921341,12.2783606191873,3187,0.44468632730658
