NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,274.5565,-6.0966,3.82,5.94,0.008823725,0.07687208,2527.7988,108.9864,7.713,5.064,88.73,0.343,0.001,8.099
2,36.97235,-3.9197,5.11,7.26,0.00763714,0.07687208,1985.4432,94.0214,4.264,3.06,71.94,0.282,0,6.165
3,1581.453,-7.9976,3.5,5.28,0.009960807,0.07687208,2753.8223,65.3203,8.495,6.341,63.61,0.254,0.037,8.134
4,328.1278,-6.2901,3.78,5.94,0.01035544,0.07687208,2281.8076,64.2794,7.445,6.298,-56.15,0.154,0,8.932
5,122.7927,-5.2229,3.72,6.6,0.007935073,0.07687208,1055.5773,71.7437,5.518,3.927,-78.21,0.288,0,6.34
6,225.9123,-5.8848,3.77,5.94,0.01407569,0.07687208,3847.877,54.6429,5.986,5.082,-5.4,0.151,0,7.308
7,148.7194,-5.4309,4.16,6.6,0.008811957,0.07687208,1791.4445,50.126,6.371,4.351,46.13,0.317,0,7.389
8,15.02529,-2.9421,8.43,10.56,0.01015927,0.07687208,3008.6748,50.6867,2.207,1.242,68.13,0.437,0,6.545
9,484.5821,-6.7134,3.5,5.28,0.0170432,0.07687208,3409.1287,34.5883,7.149,5.549,-22.94,0.224,0.001,7.565
10,23.7466,-3.439,6.27,9.24,0.01103287,0.07687208,3143.8164,37.7235,2.762,2.07,-63.56,0.251,0,6.019
11,67.29611,-4.57,4,6.6,0.01251519,0.07687208,3254.8083,26.8013,4.743,3.612,86.62,0.239,0,6.147
12,48.1616,-4.2068,5.51,9.24,0.01072646,0.07687208,1212.7787,29.3288,3.841,3.208,-44.63,0.165,0,7.115
13,11.05637,-2.609,7.76,10.56,0.00944142,0.07687208,4075.7468,27.627,2.179,1.088,81.46,0.501,0,5.185
14,24.04675,-3.4526,6.08,9.24,0.01860263,0.07687208,3377.8167,23.5208,3.261,2.186,-22.78,0.33,0,6.223
15,27.81764,-3.6108,3.74,7.26,0.0114698,0.07687208,888.3945,22.3822,4.048,2.118,19.66,0.477,0,5.022
16,26.05449,-3.5397,5.26,9.9,0.01201607,0.07687208,2388.6794,18.5125,3.033,2.57,-46.34,0.153,0,5.516
17,29.17323,-3.6625,4.6,7.26,0.01246304,0.07687208,617.2165,16.0557,3.704,2.344,-54.38,0.367,0,5.3
18,154.561,-5.4727,3.63,5.94,0.009911329,0.07687208,351.1088,10.9133,5.034,4.226,-54.11,0.16,0.001,5.94
19,15.56438,-2.9803,4.51,6.6,0.009091876,0.07687208,4096.1807,17.8075,2.352,2.03,-52.73,0.137,0,3.455
20,62.55515,-4.4907,3.73,5.94,0.01020839,0.07687208,829.7291,29.407,3.683,2.745,17.48,0.255,0.001,4.019
21,21.01995,-3.3066,4.42,6.6,0.0111272,0.07687208,968.4778,23.464,3.088,2.529,15.47,0.181,0,4.647
22,18.99215,-3.1964,5.19,6.6,0.00872801,0.07687208,1867.5885,12.522,2.777,2.067,-75.84,0.256,0,4.081
23,23.93294,-3.4475,4.58,6.6,0.008213071,0.07687208,4197.5088,12.0201,2.921,1.681,-84.23,0.425,0,3.189
24,73.37032,-4.6638,4.75,7.92,0.01197802,0.07687208,1299.8011,5.8165,5.071,3.673,-1.24,0.276,0,6.204
25,18.88891,-3.1905,5.14,9.24,0.01198199,0.07687208,1280.9197,3.2832,3.399,1.552,2.7,0.543,0,4.742
26,98.40197,-4.9825,3.5,5.94,0.02324316,0.07687208,3751.1262,8.2752,4.536,3.759,-10.72,0.171,0,5.427
27,48.51212,-4.2146,3.61,5.94,0.01105276,0.07687208,179.7702,10.6454,3.133,2.762,50.57,0.119,0,3.948
28,84.05112,-4.8114,3.8,5.94,0.008470096,0.07687208,1700.2319,5.6012,4.437,3.257,-5.12,0.266,0,4.955
29,9.288139,-2.4198,7.12,10.56,0.01015927,0.07687208,3027.5039,12.324,2.048,1.102,68.94,0.462,0,4.273
30,9.316497,-2.4231,8.33,10.56,0.008839085,0.07687208,1806.9089,10.8306,1.265,1.057,-87.88,0.164,0,4.951
31,16.06663,-3.0148,3.84,7.26,0.01212695,0.07687208,936.0712,6.1598,2.362,2.152,-6.39,0.089,0,3.653
32,3.048728,-1.2103,8.93,10.56,0.008097897,0.07687208,3595.8232,9.0031,0.822,0.509,33.34,0.381,0,2.825
33,20.13049,-3.2596,4.29,5.94,0.008206364,0.07687208,3543.2568,5.6477,2.682,2.5,75.31,0.068,0,3.884
34,3.367819,-1.3184,6.51,5.94,0.008470501,0.07687208,4180.2876,2.3766,1.536,0.722,-34.98,0.53,0.001,2.516
