NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
1,11368.29,-10.1392,3.5,4.62,0.004824423,0.07602261,4024.6069,337.1307,10.565,8.753,79.42,0.172,0.295,9.974
2,267.2588,-6.0673,3.79,5.94,0.002012574,0.07602261,2527.8557,109.0771,7.807,5.029,88.65,0.356,0.001,7.944
3,50.99814,-4.2689,4.29,7.26,0.003634156,0.07602261,1704.1792,112.9701,3.321,3.109,84.75,0.064,0,4.597
4,1581.022,-7.9973,3.5,5.28,0.00325048,0.07602261,2753.8196,65.3055,8.427,6.325,64.58,0.249,0.037,8.117
5,324.6017,-6.2784,3.9,5.94,0.002541183,0.07602261,2281.6553,64.473,7.209,6.288,-53.68,0.128,0.001,8.806
6,118.6416,-5.1856,3.5,5.94,0.001699006,0.07602261,1055.8738,71.8997,5.523,4.016,-81.05,0.273,0,6.234
7,215.6357,-5.8343,3.75,5.94,0.006878515,0.07602261,3847.7607,54.617,5.738,4.943,2.58,0.139,0.001,7.041
8,142.9654,-5.3881,3.74,6.6,0.0054739,0.07602261,1791.5869,50.2214,6.099,4.321,45.63,0.291,0,7.178
9,496.4012,-6.7396,3.51,5.28,0.006617991,0.07602261,3409.1216,34.5763,7.317,5.677,-19.62,0.224,0.001,7.686
10,23.52111,-3.4286,6.4,10.56,0.001863815,0.07602261,125.9234,38.037,3.136,2.458,-68.82,0.216,0,6.632
11,8.592882,-2.3353,8.5,10.56,0.001285669,0.07602261,1592.8976,38.424,1.507,0.699,-77.87,0.536,0,4.493
12,51.07773,-4.2706,5.08,7.92,0.002692565,0.07602261,1213.5255,28.6213,5.093,3.248,-46.69,0.362,0,7.39
13,70.91841,-4.6269,3.84,7.26,0.004806845,0.07602261,3254.8057,26.5486,4.59,3.733,85.37,0.187,0,6.282
14,13.44252,-2.8212,4.78,6.6,0.003235391,0.07602261,1351.614,31.0529,2.252,2.027,71.26,0.1,0,3.324
15,62.20252,-4.4845,3.7,5.94,0.002971308,0.07602261,829.7759,29.2552,3.565,2.681,19.36,0.248,0.001,3.908
16,13.57105,-2.8315,6.43,10.56,-0.0005790318,0.07602261,2621.2742,28.0338,2.459,1.736,-52.66,0.294,0,4.577
17,34.45509,-3.8431,6.35,10.56,0.007421624,0.07602261,3376.7771,23.5298,3.575,2.469,0.27,0.309,0,7.236
18,32.21947,-3.7703,4.52,7.26,0.004800929,0.07602261,888.3787,22.1445,3.863,2.357,12.45,0.39,0,5.198
19,10.41529,-2.5442,7.82,10.56,0.005373458,0.07602261,3696.613,24.1392,1.704,1.399,85.99,0.179,0,5.313
20,21.07334,-3.3093,5.58,6.6,0.00308975,0.07602261,968.1938,23.4193,3.158,2.069,19.45,0.345,0,5.11
21,28.1784,-3.6248,5.69,9.9,0.003183881,0.07602261,2388.4995,18.4653,2.943,2.549,-9.31,0.134,0,5.467
22,34.24652,-3.8365,5.88,7.92,0.0008853967,0.07602261,617.6436,15.8974,3.77,2.309,-51.84,0.388,0,5.972
23,24.85218,-3.4884,4.43,7.26,0.003590361,0.07602261,4197.3662,12.1869,3.028,1.987,85.49,0.344,0,3.383
24,53.41453,-4.3191,3.93,6.6,0.001858367,0.07602261,179.9704,10.8663,3.141,3.031,70.91,0.035,0,4.3
25,100.9546,-5.0103,3.5,5.94,0.01409304,0.07602261,3751.1538,8.2381,4.689,3.852,0.27,0.179,0,5.578
26,72.32518,-4.6482,4.5,6.6,0.005373823,0.07602261,1299.5769,6.3515,4.741,3.81,1,0.196,0,6.083
27,150.0695,-5.4407,3.78,5.94,0.003621757,0.07602261,351.217,10.7936,5.156,4.23,-53.12,0.18,0,6.037
28,7.249616,-2.1508,5.99,7.26,0.007681723,0.07602261,3026.7871,11.7756,1.831,1.343,-63.53,0.266,0,3.31
29,14.33177,-2.8907,4.23,7.92,0.003399511,0.07602261,1867.3795,11.2602,2.345,1.965,-24.79,0.162,0,3.595
30,81.30085,-4.7752,3.69,6.6,0.004389092,0.07602261,1700.4089,5.4047,4.299,3.171,2.61,0.262,0.002,4.828
31,19.86074,-3.245,4.5,7.26,0.003551096,0.07602261,3543.0386,5.5039,2.806,2.172,84.96,0.226,0,3.88
32,3.337982,-1.3087,7.64,5.28,0.00177606,0.07602261,2806.6411,6.9857,1.199,0.48,90,0.6,0,3.339
33,14.12907,-2.8753,4.81,7.92,0.004891433,0.07602261,936.2236,5.2792,2.326,1.935,-14.57,0.168,0,3.768
34,4.099653,-1.5319,6.7,10.56,0.003644048,0.07602261,4180.8296,3.7164,1.435,0.878,66.45,0.388,0,2.781
35,3.997029,-1.5043,6.35,7.26,0.005374069,0.07602261,894.2007,2.7883,1.219,1.044,18.81,0.144,0,2.53
36,15.43813,-2.9715,4.1,6.6,0.003140007,0.07602261,4095.8337,17.7672,2.319,2.237,30.66,0.035,0,3.385
37,17.95852,-3.1357,4.3,7.92,0.005568973,0.07602261,1280.4456,3.2327,3.477,1.691,-7.07,0.514,0,4.43
38,15.20801,-2.9552,5.42,5.94,0.003457553,0.07602261,3150.3906,29.8952,2.428,1.886,-52.48,0.223,0,3.66
39,38.53196,-3.9646,4.17,7.26,0.009934797,0.07602261,3758.2942,43.5373,3.242,3.087,-39.08,0.048,0,4.856
40,3.576993,-1.3838,7.44,10.56,0.002015326,0.07602261,1450.3595,20.9743,1.529,0.602,49.06,0.606,0,2.933
41,15.53412,-2.9782,5.21,9.9,0.003253455,0.07602261,3143.7891,36.7973,2.294,2.108,8.33,0.081,0,4.257
42,6.648155,-2.0568,7.19,10.56,0.0009171378,0.07602261,478.3424,30.6695,1.927,0.862,81.62,0.553,0,4.185
