NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,4024.4844,336.722,10014.26,16.9985,13.974,11.022,3.5,3.5,8.85,0.211,78.88,0.03429382,0.07637031,8002,0.035
2,2753.7917,65.3523,1326.667,19.1931,8.761,6.55,3.5,4.62,7.017,0.252,64.59,0.01931519,0.07637031,1914,0.031
3,1055.7145,71.5058,106.471,21.9319,5.341,3.483,4.62,6.6,6.414,0.348,-86.24,0.009186351,0.07637031,316,0
4,2281.834,64.1564,263.4572,20.9482,5.922,4.966,4.5,6.6,7.092,0.161,-61.8,0.01322663,0.07637031,630,0.001
5,2550.7578,66.343,9.973042,24.5029,1.817,0.948,7.94,10.56,4.97,0.478,37.27,0.009047396,0.07637031,17,0
6,3847.792,54.7091,180.8203,21.3569,5.16,4.285,4.36,6.6,6.109,0.17,-3.57,0.01821913,0.07637031,453,0.001
7,1791.7385,50.2059,113.8557,21.8591,5,3.555,4.34,7.26,5.843,0.289,38.61,0.01451763,0.07637031,325,0.001
8,3409.0735,34.554,388.9175,20.5254,6.344,4.926,3.86,5.94,6.231,0.223,-20.15,0.02268273,0.07637031,784,0.029
9,1212.3748,29.7358,39.84823,22.999,3.427,2.395,6.01,10.56,6.151,0.301,-60.64,0.0108942,0.07637031,116,0
10,3254.8523,26.8553,51.72658,22.7157,3.474,2.736,4.94,7.92,4.921,0.212,80.67,0.01452267,0.07637031,157,0
11,3377.5066,23.6462,29.56248,23.3231,2.881,2.016,7.27,10.56,7.464,0.3,-35.54,0.02388084,0.07637031,69,0
12,888.6026,22.4408,26.43095,23.4447,3.206,2.226,5.1,7.26,4.888,0.306,9.24,0.01101066,0.07637031,98,0
13,1598.0183,20.8601,9.533935,24.5518,2.18,1.315,6.87,10.56,4.612,0.397,-37.23,0.01040302,0.07637031,25,0
14,829.676,29.3208,64.41684,22.4775,3.866,2.948,4.52,6.6,4.735,0.237,20.96,0.009733935,0.07637031,198,0.001
15,351.297,10.6668,126.6382,21.7436,4.25,3.766,4.12,6.6,5.122,0.114,-58.64,0.01109658,0.07637031,329,0.001
16,968.0891,23.6466,17.78356,23.875,2.317,1.876,5.54,9.9,4.215,0.191,20.71,0.009976614,0.07637031,53,0
17,2388.3855,18.4872,14.66332,24.0844,2.035,1.984,5.42,8.58,3.661,0.025,78.15,0.0142419,0.07637031,51,0
18,4096.5435,17.1577,13.51103,24.1733,2.267,1.894,4.54,6.6,3.59,0.165,-57.16,0.01092501,0.07637031,50,0
19,617.695,15.7571,24.84126,23.5121,3.033,1.984,5.22,9.24,4.496,0.346,-48.08,0.01162416,0.07637031,87,0
20,3751.0317,8.1171,74.83408,22.3148,3.743,3.257,3.5,6.6,4.379,0.13,-24.68,0.02990844,0.07637031,228,0.001
21,179.7281,10.7956,46.66929,22.8274,3.122,2.836,4.29,5.94,4.228,0.092,-74.56,0.01127081,0.07637031,152,0
22,4197.3867,11.8033,21.12648,23.6879,2.54,1.937,4.54,6.6,3.279,0.237,-86.52,0.01311571,0.07637031,70,0
23,1867.319,11.5292,13.05511,24.2105,2.407,1.762,4.8,6.6,3.448,0.268,-62.63,0.01345293,0.07637031,53,0
24,1700.4216,4.8427,66.3735,22.445,3.558,2.803,4.13,6.6,4.061,0.212,-1.73,0.01505624,0.07637031,174,0.001
25,3027.4329,11.6708,6.12245,25.0327,1.46,1.25,5.95,9.24,3.001,0.144,-89.9,0.01256654,0.07637031,18,0
26,1299.8027,5.5722,57.13559,22.6077,3.519,2.763,4.84,6.6,4.697,0.215,-3.04,0.01527482,0.07637031,164,0
27,3935.2864,10.8488,3.507438,25.6375,0.889,0.607,8.45,9.24,3.284,0.317,59.48,0.009084361,0.07637031,6,0.001
28,936.475,6.0578,13.53059,24.1717,2.309,1.825,4.65,7.92,3.568,0.209,79.92,0.01132454,0.07637031,58,0
29,520.6093,10.1852,2.813533,25.8769,0.779,0.441,8.43,10.56,2.809,0.433,-71.02,0.01001722,0.07637031,5,0
30,3543.3503,5.1755,16.44995,23.9596,2.337,1.956,4.99,8.58,3.629,0.163,-50.21,0.01027745,0.07637031,64,0
31,1280.2368,3.3111,16.7508,23.9399,2.683,1.518,6,10.56,4.665,0.434,-1.2,0.01536004,0.07637031,52,0
32,4180.248,3.0531,2.356769,26.0692,1.154,0.642,5.78,9.9,2.105,0.443,-48,0.0130576,0.07637031,8,0
33,892.5731,3.0083,5.180491,25.2141,1.535,0.981,6.67,9.9,3.466,0.361,7.57,0.01132002,0.07637031,11,0
34,4075.0894,28.489,10.09215,24.49,1.762,1.082,7.18,10.56,4.491,0.386,-79.9,0.01057297,0.07637031,20,0
35,3143.3877,36.9984,19.25696,23.7885,2.32,1.788,6.51,9.9,5.3,0.229,-53.77,0.0134039,0.07637031,48,0
36,3150.2593,30.0896,15.10521,24.0522,1.941,1.755,6.55,10.56,4.803,0.096,14.12,0.01364828,0.07637031,42,0
37,3758.4915,43.6251,30.79154,23.2789,2.681,2.592,4.59,7.26,4.323,0.033,-53.72,0.02341899,0.07637031,101,0
38,1351.4355,31.4609,10.78508,24.4179,1.813,1.734,5.24,8.58,3.266,0.044,-11.67,0.01401105,0.07637031,39,0
39,2621.1243,28.7438,8.390849,24.6905,1.626,1.567,5.82,9.24,3.379,0.036,-83.48,0.00791647,0.07637031,28,0
40,3868.1135,50.6464,59.6856,22.5603,3.084,3.019,4.6,6.6,4.2,0.021,-74.58,0.0165239,0.07637031,175,0.001
41,1645.7882,21.3226,2.957328,25.8228,0.736,0.652,7.96,4.62,2.518,0.114,65.28,0.01224953,0.07637031,5,0
