NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,4024.5107,336.7618,10028.93,16.9969,14.076,11.096,3.5,3.5,8.873,0.212,79.97,0.02690507,0.0756246,8185,0.034
2,1703.684,113.0648,49.10771,22.7721,3.053,2.772,5.61,7.26,5.204,0.092,53.87,0.006935871,0.0756246,137,0
3,2753.8518,65.3123,1324.234,19.1951,8.664,6.501,3.5,4.62,6.99,0.25,65.41,0.0142092,0.0756246,1885,0.031
4,2281.6096,64.4523,267.2282,20.9328,6.012,5.166,4.51,6.6,7.13,0.141,-56.03,0.00411927,0.0756246,671,0.001
5,3848.1074,54.6239,180.3618,21.3596,5.212,4.405,4.25,6.6,6.067,0.155,-0.5,0.009481857,0.0756246,474,0.001
6,1791.5035,50.2758,112.2667,21.8744,4.594,3.669,4.58,7.26,5.839,0.201,36.15,0.007878576,0.0756246,313,0.001
7,3408.9338,34.6796,407.8009,20.4739,6.589,5.387,3.87,5.94,6.538,0.182,-11.7,0.011925,0.0756246,888,0.028
8,1055.4709,71.6713,105.92,21.9376,5.414,3.545,4.35,7.26,6.377,0.345,-79.51,0.002605897,0.0756246,326,0
9,1212.569,30.0926,39.90991,22.9973,3.092,2.876,5.98,10.56,6.061,0.07,-80.22,0.004589034,0.0756246,118,0
10,829.5063,29.1105,63.2568,22.4972,3.845,2.745,4.53,7.92,4.683,0.286,14.65,0.002698292,0.0756246,188,0.001
11,3254.9434,26.3807,54.01107,22.6688,3.321,3.034,4.66,8.58,5.031,0.086,75.36,0.006602895,0.0756246,170,0
12,3377.3813,23.7116,26.67461,23.4348,2.763,1.991,6.93,10.56,7.125,0.279,-27.62,0.01303691,0.0756246,59,0
13,968.4323,23.8212,18.02312,23.8604,2.381,2.142,5.42,6.6,4.167,0.1,42.38,0.003639495,0.0756246,66,0
14,888.9118,22.0703,25.61084,23.4789,3.06,2.125,5.27,7.92,4.593,0.305,8.29,0.00360014,0.0756246,89,0
15,351.2379,10.5475,124.1681,21.765,4.416,3.822,4.15,6.6,5.182,0.135,-51.6,0.003376387,0.0756246,338,0.001
16,2389.0281,18.5187,21.08448,23.6901,2.624,2.24,5.14,7.92,4.53,0.146,-21.54,0.005150017,0.0756246,76,0
17,4095.9053,17.5146,15.80229,24.0032,2.27,1.795,5.73,5.94,3.739,0.209,-52.14,0.003347525,0.0756246,57,0
18,617.2289,16.0942,28.61268,23.3586,3.09,2.088,5.8,10.56,4.93,0.324,-45.64,0.003573565,0.0756246,93,0
19,179.9984,11.0103,47.00237,22.8197,2.953,2.811,4.56,5.94,4.311,0.048,67.99,0.002245329,0.0756246,142,0
20,4197.728,11.8308,20.22791,23.7351,2.541,1.629,5.22,6.6,3.255,0.359,-87.82,0.008920735,0.0756246,64,0
