NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,424.7546,165.9071,616.0165,20.026,7.803,6.859,4.05,6.6,8.146,0.121,-57.44,0.01176912,0.08209155,1279,0.018
2,794.9995,112.2431,550.4694,20.1482,6.873,5.613,4.01,5.94,6.646,0.183,68.88,0.009847732,0.08209155,1014,0.029
3,1918.3887,52.8515,293.2931,20.8317,6.043,5.003,4.2,7.26,6.539,0.172,-70.04,0.009468833,0.08209155,662,0.005
4,2176.95,62.1611,86.87756,22.1527,3.754,3.198,6.06,10.56,6.876,0.148,-81.6,0.0159397,0.08209155,190,0
5,3601.3904,52.0116,46.45075,22.8325,2.875,2.792,5.46,10.56,5.129,0.029,51.35,0.009054496,0.08209155,124,0
6,3153.6033,41.2561,29.26681,23.3341,2.698,2.123,6.38,10.56,5.527,0.213,63.05,0.008451709,0.08209155,78,0
7,123.4271,29.7854,66.05824,22.4502,3.683,2.886,5.3,8.58,5.415,0.216,74.1,0.01128337,0.08209155,172,0
8,2199.7827,14.7145,977.9158,19.5242,8.772,6.95,3.63,5.28,7.887,0.208,-41.48,0.0206555,0.08209155,1580,0.029
9,2247.448,10.951,293.1804,20.8322,6.228,4.9,4.06,6.6,6.506,0.213,-51.19,0.02053196,0.08209155,642,0.002
10,995.514,11.2617,266.9442,20.9339,5.605,4.932,4.18,6.6,6.304,0.12,32.18,0.0111442,0.08209155,585,0.001
11,703.8078,17.9671,4.834976,25.289,1.666,0.934,5.85,7.26,2.776,0.439,-64.9,0.005825039,0.08209155,16,0
12,277.2019,8.688,87.99418,22.1389,4.266,3.506,4.82,8.58,5.523,0.178,11.54,0.005846613,0.08209155,249,0
13,2726.1106,10.4846,19.69815,23.7639,2.424,2.089,5.3,8.58,3.886,0.138,-75.77,0.005426068,0.08209155,70,0
14,641.7554,11.2058,5.901591,25.0726,1.841,0.907,6.41,3.5,3.415,0.507,84.94,0.006578849,0.08209155,14,0
15,2394.8811,10.6476,4.714877,25.3163,1.469,0.732,6.8,6.6,2.925,0.502,-68.13,0.007635983,0.08209155,10,0
16,1990.1818,9.084,13.72907,24.1559,2.014,1.78,5.89,9.24,4.116,0.116,80.95,0.00981201,0.08209155,45,0
17,1406.3358,9.3831,9.756582,24.5268,1.518,1.357,7.13,10.56,4.062,0.106,-33.74,0.01285336,0.08209155,22,0
18,3571.8484,6.5834,10.14922,24.4839,1.999,1.634,5.32,7.26,3.292,0.182,-16.9,0.009498172,0.08209155,37,0
19,3323.4194,8.4692,6.636445,24.9452,1.33,1.185,6.82,10.56,3.232,0.109,-27.42,0.007749401,0.08209155,18,0
20,3993.1877,4.3085,25.06892,23.5022,2.959,1.927,4.64,7.26,3.679,0.349,0.16,0.006759938,0.08209155,81,0
21,1389.0066,3.5788,4.191312,25.4441,1.183,0.953,6.47,9.9,2.489,0.194,-69.02,0.01310759,0.08209155,13,0
22,1647.8209,1.8656,2.465396,26.0203,0.751,0.566,7.21,6.6,2.401,0.246,44.6,0.005553921,0.08209155,6,0
23,3445.7805,14.2226,4.494997,25.3682,0.76,0.555,9.05,10.56,3.31,0.27,-41.79,0.00847324,0.08209155,6,0
24,1797.0756,28.5829,13.50972,24.1734,1.795,1.621,6.74,10.56,4.622,0.097,74.13,0.006948023,0.08209155,34,0
25,3011.4954,16.0348,2.672542,25.9327,0.796,0.5,7.62,8.58,2.422,0.372,-89.89,0.007378814,0.08209155,5,0
26,450.8135,32.1273,18.38196,23.839,2.265,1.732,6.71,10.56,5.318,0.235,-28.37,0.008660843,0.08209155,42,0
27,1681.8534,47.4268,58.30811,22.5857,3.083,2.818,4.65,7.26,4.429,0.086,-20.76,0.006762056,0.08209155,153,0.001
28,1780.8225,104.7565,31.567,23.2519,2.484,2.303,6.17,10.56,5.28,0.073,80.17,0.007374207,0.08209155,77,0
29,2448.918,42.5951,20.4897,23.7212,2.28,2.184,5.58,7.92,4.076,0.042,-24.74,0.007155998,0.08209155,66,0
30,3987.5764,48.9686,29.8504,23.3126,2.709,2.303,6.15,10.56,5.562,0.15,-76.08,0.007363017,0.08209155,77,0
31,2944.1948,24.402,3.403306,25.6702,0.768,0.443,8.81,7.92,2.965,0.423,19.56,0.007299244,0.08209155,5,0.009
32,3824.2915,35.9228,6.526936,24.9632,1.601,1.298,6.13,5.94,3.103,0.19,-56.49,0.006043972,0.08209155,20,0.001
33,1206.4561,54.7097,37.69212,23.0594,2.684,2.619,5.42,7.26,4.703,0.024,49.5,0.009379406,0.08209155,109,0
34,1409.5272,56.8798,36.61677,23.0908,2.883,2.552,5.92,10.56,5.377,0.115,-25.28,0.0105188,0.08209155,100,0
35,1191.0157,129.9209,212.3046,21.1826,4.728,4.433,4.25,5.94,5.895,0.062,-67.65,0.01068223,0.08209155,462,0.001
