NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,795.0845,112.3139,548.6326,20.1518,6.624,5.763,3.95,5.94,6.656,0.13,79.91,0.004572614,0.0815822,1002,0.029
2,1918.1108,52.5855,279.0592,20.8858,5.662,4.743,4.1,6.6,6.217,0.162,-58.2,0.005142666,0.0815822,611,0.004
3,2200.094,14.7026,977.5023,19.5247,8.712,7.084,3.61,5.28,7.892,0.187,-37.68,0.0170173,0.0815822,1585,0.029
4,123.2022,30.1128,65.02729,22.4673,3.909,2.979,4.94,7.26,5.316,0.238,59.34,0.004215059,0.0815822,195,0
5,2247.8538,10.581,275.7484,20.8987,5.763,4.695,3.98,5.94,6.106,0.185,-60.07,0.01597754,0.0815822,578,0.005
6,995.1668,11.1125,267.5811,20.9314,5.591,5.031,4.2,6.6,6.353,0.1,26.26,0.003706588,0.0815822,605,0.001
7,702.7682,17.954,7.082853,24.8745,1.37,0.772,8.18,5.28,4.429,0.436,82.76,-0.0003680624,0.0815822,9,0.002
8,276.6514,8.3147,82.02234,22.2152,3.539,3.343,4.97,7.92,5.076,0.055,6.55,-1.090218e-06,0.0815822,217,0
9,2912.1292,13.1627,3.626802,25.6012,1.383,0.503,7.6,10.56,2.701,0.637,-76.47,-0.002361684,0.0815822,7,0
10,1990.8994,9.3827,12.28907,24.2762,2.088,1.591,6.2,9.9,3.974,0.238,29.8,0.005980846,0.0815822,38,0
11,1405.5092,9.4869,4.403753,25.3904,1.165,0.641,8.13,10.56,3.451,0.45,59.44,0.007436313,0.0815822,6,0
12,2394.6199,11.232,3.057914,25.7864,0.752,0.452,8.27,10.56,2.629,0.399,-72.8,0.002337393,0.0815822,5,0.002
13,642.1121,9.5815,6.349593,24.9931,1.692,1.377,5.02,8.58,3.313,0.186,40.41,-0.0009283976,0.0815822,21,0
14,3993.5344,4.4018,26.86592,23.427,3.195,2.041,4.69,8.58,4.027,0.361,3.84,0.002938707,0.0815822,92,0
15,3572.303,6.8514,8.626789,24.6604,2.123,1.799,4.86,6.6,3.388,0.153,-35.49,0.003232221,0.0815822,39,0
16,3324.6675,7.5637,7.82823,24.7658,1.465,0.939,7.82,10.56,4.494,0.359,-31.65,0.0001884165,0.0815822,9,0
17,2726.1973,10.6989,23.01318,23.5951,2.621,1.994,5.59,10.56,4.48,0.239,-54.07,6.833844e-05,0.0815822,70,0
18,1389.3715,3.4419,4.265163,25.4252,1.381,1.057,5.91,3.5,2.866,0.235,1.28,0.007329355,0.0815822,11,0
19,424.6258,165.8519,616.4764,20.0252,7.92,6.758,3.98,6.6,8.128,0.147,-47.86,0.006204597,0.0815822,1293,0.021
20,1681.7338,47.3777,57.75692,22.596,3.015,2.783,4.83,8.58,4.399,0.077,21.2,0.002116865,0.0815822,145,0
21,3153.4597,41.7941,25.63912,23.4777,2.613,2.073,6.01,9.24,4.879,0.207,88.98,0.002279642,0.0815822,75,0
22,450.6212,32.1049,16.76903,23.9387,2.1,1.906,5.98,6.6,4.039,0.092,-52.16,0.002050724,0.0815822,48,0
23,1796.8368,29.0693,14.3098,24.1109,2.008,1.651,6.82,10.56,4.695,0.178,-31.34,0.002958313,0.0815822,39,0
24,3601.2834,52.2366,44.84035,22.8708,3.041,2.746,5.18,7.26,5.034,0.097,67.07,0.002945938,0.0815822,131,0
25,2177.0471,62.482,86.66222,22.1554,3.624,3.073,6.19,10.56,7.013,0.152,80.21,0.01136693,0.0815822,183,0
26,1206.7837,55.0881,36.62881,23.0904,3.02,2.614,5.43,9.9,4.981,0.135,47.93,0.004850566,0.0815822,115,0
27,2449.1418,42.9108,22.55451,23.6169,2.616,2.246,5.55,8.58,4.718,0.141,-35.69,0.002164202,0.0815822,72,0
28,3966.6396,24.1967,1.191964,26.8093,0.747,0.442,4.77,8.58,1.28,0.408,-71.97,0.002923369,0.0815822,4,0.017
29,2517.3901,28.5562,5.591576,25.1312,1.193,0.923,7.11,10.56,3.18,0.227,25.81,0.002279058,0.0815822,10,0
