X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A40_INPUT,B40_INPUT,AREA40_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.425732759846,1.363,0.0600000000000001,-71.6,81.1400925266189,76.2716869750217,19442.3485004209,601.8633,2457.8811,16.4412504130034,1.550136,0.062,-66.4,9.321,8.745,4165,0.03577581920900781
4024.7,337.0,16.8399216313016,1.501,0.2,78.6,87.1562005688149,69.724960455052,19091.3411799104,4024.6069,337.1307,16.8607621407026,1.675632,0.172,79.42,10.565,8.753,4203,0.05260178468325512
2912.7,675.0,16.9961889223095,1.927,0.25,-49.9,107.934668396747,80.9510012975603,27449.4128542142,2912.6338,675.0806,17.0233651574735,2.065056,0.227,-49.7,13.274,10.267,5437,0.05821584434132234
3266.9,1575.1,17.3664779274169,1.548,0.39,34.4,88.3728202637384,53.9074203608804,14966.3927424585,3266.9016,1575.4064,17.3859179413479,1.751904,0.344,35.27,12.273,8.053,3968,0.07257829365149979
550.2,3450.1,17.4186721555092,1.786,0.17,-50.4,97.8928762968471,81.2510873263831,24987.9221031589,550.1039,3450.1731,17.4443654552449,1.929648,0.154,-51.46,11.74,9.93,4306,0.05677374874509086
647.2,1664.5,17.7436580737644,1.331,0.18,-77.5,74.3741293176102,60.9867860404404,14249.7588309845,647.1514,1664.6923,17.7624721492561,1.52376,0.158,-76.56,9.434,7.943,2944,0.05467700808682485
3643.5,1383.9,18.0403705859823,1.462,0.25,-46.9,79.7663766929513,59.8247825197135,14991.6994261561,3643.4387,1383.7063,18.0504424395138,1.657656,0.227,-52.51,10.585,8.183,3007,0.04535683496886611
620.5,1435.8,17.9510266150534,1.841,0.29,-25.9,98.3296409361066,69.8140450646357,21566.3737806092,620.3005,1436.0125,17.9820296374581,1.984416,0.258,-26.56,12.527,9.294,3773,0.08510099652852328
2329.2,3768.1,18.1818857597694,1.198,0.24,-41.4,66.4448441322952,50.4980815405444,10541.102562564,2328.7388,3768.1089,18.1983955933599,1.413048,0.183,-31.02,9.028,7.378,2397,0.0979786395283601
111.1,2197.2,17.7839746823658,1.636,0.3,-81.0,89.7253698475287,62.8077588932701,17704.2864221289,111.5924,2197.4104,17.7825212183827,1.850184,0.195,-81.75,11.522,9.273,3655,0.10713715092388125
3056.7,2544.2,18.5275049838263,1.768,0.18,37.4,90.7055805978143,74.3785760902077,21194.9179750125,3056.6521,2544.3206,18.5742207079928,1.886136,0.154,34.79,10.928,9.251,2896,0.09697046206300564
3937.5,2567.8,18.6566933457908,1.789,0.27,28.9,91.6158258614873,66.8795528788857,19249.2465242135,3937.4111,2567.9395,18.6965974354264,1.922256,0.237,28.09,11.604,8.848,2853,0.0863906190050628
3445.6,3793.3,18.6244885332141,1.112,0.18,-87.0,60.3552186978529,49.4912793322394,9384.11628851868,3445.541,3793.4131,18.6506059368831,1.316448,0.136,-88.85,7.83,6.763,1812,0.058132599418061856
1501.0,3817.4,18.6676743822178,1.169,0.26,8.9,63.2951582818369,46.8384171285593,9313.70703362663,1501.012,3817.6252,18.6870259627549,1.380792,0.209,10.87,8.556,6.764,1922,0.059447927075751805
1175.1,1775.5,18.6062138884262,1.103,0.27,18.9,60.4509477365441,44.1291918476772,8380.67426061525,1174.9971,1775.5967,18.6341273453247,1.31712,0.201,18.67,8.094,6.465,1787,0.0625620919677158
1513.2,1693.8,18.4256423065439,1.448,0.16,44.6,76.6970726201142,64.4255410008959,15523.395945933,1513.1707,1693.7897,18.4518095037078,1.618848,0.109,48.75,9.431,8.406,2568,0.05270102467355653
2753.8,65.1,18.9768071005318,1.147,0.33,65.2,61.5045603438119,41.208055430354,7962.31421604025,2753.8196,65.3055,19.0026552169909,1.363656,0.249,64.58,8.427,6.325,1634,0.06615909246915214
3132.7,919.9,18.959771386447,1.26,0.37,-82.5,67.0692855556129,42.2536499000361,8903.02888448814,3132.5925,919.9806,18.9928940870134,1.45824,0.302,-82.48,9.241,6.45,1773,0.07148412653662017
2087.6,2687.9,18.896562823769,1.759,0.14,-76.9,87.8898632683565,75.5852824107866,20870.1659123098,2087.6785,2688.0393,18.9326532421552,1.883448,0.121,-74.68,10.48,9.212,2563,0.0789507350193953
3568.6,3363.0,18.8503484188884,1.161,0.32,30.4,62.5739449731423,42.5502825817368,8364.61309066572,3568.5261,3363.1643,18.8788725679232,1.372056,0.253,29.58,8.604,6.424,1755,0.06747824862765595
1685.4,1520.5,18.9407151448863,1.323,0.03,70.8,68.0222388251731,65.9815716604179,14100.1408387101,1685.29,1520.6007,18.9759986884871,1.490328,0.042,68.35,8.155,7.813,1875,0.07661297712339264
