X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
601.9,2457.8,16.4257327425725,8.111,0.0600000000000001,-71.6,473.632690697219,445.214729255386,662462.145563106,601.7588,2457.7847,16.5606813563084,8.467,0.042,-41.51,12.732,12.2,9222,0.2713884858704402
4024.7,337.0,16.8399216434812,8.934,0.2,78.6,506.18483783238,404.947870265904,643958.861908424,4024.4844,336.722,16.9984528430329,8.85,0.211,78.88,13.974,11.022,8002,0.3247744097571022
2912.7,675.0,16.9961889450301,11.472,0.25,-49.9,590.694601419832,443.020951064874,822123.645756958,2912.272,675.305,17.2150819864866,9.964,0.292,-45.37,15.691,11.108,7683,0.45022587954567495
3266.9,1575.1,17.3664779471984,9.215,0.39,34.4,536.507575985113,327.269621350919,551609.104415836,3266.8872,1575.4574,17.5464862473037,8.946,0.366,36.46,14.367,9.113,5805,0.36705380379364705
550.2,3450.1,17.4186720916456,10.633,0.17,-50.4,495.965619947743,411.651464556627,641403.181877108,550.1576,3450.1614,17.6332810314631,9.408,0.148,-50.24,12.875,10.965,5992,0.42947672708139023
647.2,1664.5,17.7436581792963,7.921,0.18,-77.5,394.19337874962,323.238570574688,400297.036968128,647.0826,1664.8635,17.9087090491927,8.083,0.169,-76.55,11.258,9.353,4568,0.3388272032594655
3643.5,1383.9,18.0403706312713,8.704,0.25,-46.9,412.262900672007,309.197175504005,400460.463170384,3643.3694,1383.7686,18.22483344808,8.429,0.225,-53.53,11.427,8.858,3854,0.37078197448697664
620.5,1435.8,17.9510267010832,10.958,0.29,-25.9,493.055230407133,350.069213589064,542249.751755871,620.355,1436.1096,18.2065061153719,9.231,0.253,-26.94,12.356,9.224,4211,0.515512174076963
2329.2,3768.1,18.1818857565448,7.129,0.24,-41.4,354.412395349056,269.353420465283,299903.31776074,2328.5659,3768.0352,18.3438410340289,7.587,0.201,-29.29,10.34,8.265,3304,0.34809101021646366
111.1,2197.2,17.7839745750768,9.736,0.3,-81.0,478.515617229536,334.960932060676,503547.153606934,111.635,2197.3228,17.9700805449533,9.162,0.195,-80.04,12.246,9.857,4621,0.38806502906764045
