X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A40_INPUT,B40_INPUT,AREA40_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072608283,1.882,0.44,-38.8,707.207159010992,396.036009046156,879895.702208466,526.8085,2786.5771,17.0523767832124,1.70772,0.419,-38.62,17.267,10.028,8079,0.4066405109454388
387.3,454.0,17.30232513182,1.678,0.45,-40.8,611.058825823264,336.082354202795,645176.595679157,387.5031,454.2478,17.4703943264941,1.639848,0.446,-38.3,16.791,9.31,6308,0.34219204131511627
2460.5,1071.5,17.6005286899439,1.858,0.18,-1.7,572.457429110174,469.415091870342,844209.270089885,2460.3701,1071.438,17.8279016020245,1.600872,0.15,-1.44,12.283,10.445,5003,0.45565610386787103
1471.4,1174.9,17.9092020981665,1.331,0.17,39.7,440.456871578133,365.57920340985,505865.130921366,1471.2788,1175.0264,18.1015254243251,1.310568,0.152,40.8,10.318,8.75,3695,0.3862378710461505
4049.5,1094.9,18.0295863854997,1.459,0.35,-52.0,478.214246390514,310.839260153834,466990.718777808,4049.7046,1094.8242,18.228754484429,1.40784,0.305,-49.72,12.078,8.394,3839,0.40071953607874045
2089.3,724.9,17.8812966001861,1.872,0.49,-49.4,599.678802983676,305.836189521675,576179.025541011,2089.1809,725.0035,18.1350866019821,1.617672,0.452,-49.76,14.751,8.085,4344,0.5085603264624563
2043.1,360.7,18.3199917199614,1.233,0.0600000000000001,17.1,381.436766961836,358.550560944125,429657.929882557,2043.1117,360.8635,18.508328450315,1.252104,0.035,21.21,8.948,8.635,2906,0.37809724253759225
1437.2,4063.5,18.4899570149444,1.812,0.14,17.6,474.768615174373,408.30100904996,608993.038089372,1437.3293,4063.4153,18.7567244236916,1.487808,0.108,21.92,10.078,8.99,2902,0.5344301730369218
3041.3,2890.2,18.4687058360537,1.439,0.01,-18.4,403.654092903515,399.61755197448,506761.704402243,3041.0981,2890.3145,18.6995812979326,1.324848,0.037,-30.08,9.086,8.754,2736,0.46407984886160636
374.0,883.0,18.7329818677192,1.123,0.14,-18.6,340.40641687525,292.749518512715,313071.691971666,373.9148,883.1275,18.9303988851671,1.166424,0.096,-17.28,8.212,7.42,2134,0.39602339162238803
2400.2,2588.1,19.1580377148667,1.079,0.32,-58.7,322.197725207028,219.094453140779,221770.474218565,2400.127,2588.29,19.3231095794135,1.188264,0.231,-72.15,8.768,6.747,1796,0.33264135762922625
854.5,2942.4,18.867599357655,1.628,0.28,66.0,430.372766443379,309.868391839233,418959.394029663,854.3524,2941.6238,19.0944226472745,1.469496,0.323,74.33,11.233,7.605,2410,0.48037489856800886
200.8,395.8,19.1634354051059,1.467,0.17,88.1,371.891734018116,308.670139235037,360629.305913078,200.2233,395.6813,19.4160697147705,1.32132,0.129,75.73,8.554,7.448,1811,0.518809508165665
3502.9,419.1,19.0167382953369,1.317,0.11,87.6,353.43921690149,314.560903042326,349276.48830521,3502.6353,419.1862,19.2174391276795,1.288056,0.09,74.35,8.559,7.792,2031,0.40524196221075104
3395.6,774.1,19.2144711753737,1.413,0.15,70.6,358.509172255371,304.732796417065,343217.434784499,3395.3853,774.1311,19.4509704753278,1.30032,0.103,71.74,8.183,7.338,1738,0.4749862587553134
1148.4,4046.5,19.0248973902175,1.691,0.19,69.9,417.222137258849,337.949931179668,442965.169142905,1148.3125,4046.5498,19.3178098359192,1.39692,0.181,71.72,9.325,7.637,2008,0.5861709869228273
2200.0,12.5,19.1300714485829,1.709,0.38,-61.7,434.750705258834,269.545437260477,368147.751718371,2199.7827,14.7145,19.5242463425034,1.325016,0.208,-41.48,8.772,6.95,1580,0.9052870095107659
1783.4,3041.8,19.7152297104168,1.256,0.14,-5.0,303.514051578565,261.022084357566,248889.129158569,1783.1843,3041.6809,19.9487068925803,1.202208,0.093,-1.99,7.058,6.403,1186,0.46954841817078297
