X_INPUT,Y_INPUT,MAG_INPUT,RAD_INPUT,ELLIP_INPUT,THETA_INPUT,A35_INPUT,B35_INPUT,AREA35_INPUT,X_OUTPUT,Y_OUTPUT,MAG_OUTPUT,RAD_OUTPUT,ELLIP_OUTPUT,THETA_OUTPUT,A_OUTPUT,B_OUTPUT,AREA_OUTPUT,Separation
527.0,2786.5,16.8501072258363,11.202,0.44,-38.8,692.39215698924,387.739607913975,843416.667613984,526.7784,2786.6572,17.0605156161505,10.092,0.414,-38.51,16.922,9.913,7873,0.42431061600960596
387.3,454.0,17.3023250644057,9.987,0.45,-40.8,599.922492339904,329.957370786947,621874.647443819,387.4673,454.2386,17.4671882340034,9.792,0.436,-38.29,16.73,9.439,6354,0.3348378594843623
2460.5,1071.5,17.6005287295858,11.058,0.18,-1.7,493.347117004487,404.54463594368,627001.982989642,2460.3208,1071.5306,17.8288593146191,9.513,0.171,-1.64,12.522,10.375,5072,0.4581063023432368
1471.4,1174.9,17.9092020103708,7.92,0.17,39.7,379.894927282921,315.312789644825,376317.967153342,1471.3429,1175.0275,18.1022314740278,7.805,0.14,41.59,10.201,8.778,3685,0.3870685007934849
4049.5,1094.9,18.0295864135256,8.682,0.35,-52.0,443.088660400063,288.007629260041,400907.795116821,4049.6484,1095.0173,18.2331443158106,8.322,0.3,-50.67,11.783,8.253,3713,0.40886956753096204
2089.3,724.9,17.8812965684037,11.142,0.49,-49.4,595.376522280483,303.642026363046,567941.309777123,2089.1924,724.8819,18.1266018447819,9.745,0.438,-49.06,14.761,8.299,4433,0.4910961057259636
2043.1,360.7,18.3199918481322,7.34,0.0600000000000001,17.1,315.90907452977,296.954530057984,294714.7884495,2043.099,360.8654,18.5163519988898,7.38,0.059,21.85,8.944,8.42,2843,0.39411089578369657
1437.2,4063.5,18.4899569250099,10.788,0.14,17.6,399.485934914333,343.557904026326,431172.75474102,1437.0864,4063.4751,18.7652981334042,8.812,0.125,27.67,10.102,8.836,2866,0.5511730030630179
3041.3,2890.2,18.4687059284447,8.564,0.01,-18.4,327.439523003788,324.16512777375,333462.702290722,3041.158,2890.2969,18.6962094927828,7.913,0.021,-67.65,8.981,8.795,2760,0.45630534178335025
374.0,883.0,18.7329820712831,6.683,0.14,-18.6,288.988716731196,248.530296388828,225636.885750891,373.9801,883.1526,18.925951515998,6.99,0.117,-20.54,8.342,7.363,2150,0.38716422507033
2400.2,2588.1,19.158038031823,6.425,0.32,-58.7,292.681562308954,199.023462370089,182999.336278803,2400.0635,2588.3965,19.3457996939383,6.927,0.218,-63.38,8.477,6.628,1726,0.3811518042836156
854.5,2942.4,18.8675993758472,9.692,0.28,66.0,381.07900661849,274.376884765313,328482.636650088,854.4201,2942.5095,19.1175219749035,8.482,0.243,65.5,9.978,7.551,2278,0.5005807111010643
200.8,395.8,19.163435126387,8.731,0.17,88.1,315.344395430573,261.735848207375,259297.421782893,200.3825,395.6476,19.4204905118997,7.806,0.142,68.32,8.608,7.385,1813,0.5217385536753545
3502.9,419.1,19.0167379683597,7.838,0.11,87.6,294.879310298431,262.442586165604,243124.364528113,3502.6763,419.1216,19.2335403423522,7.507,0.114,69.77,8.49,7.52,1970,0.4359261974864203
3395.6,774.1,19.2144713590003,8.412,0.15,70.6,302.024882640491,256.721150244417,243587.07862794,3395.4827,774.2588,19.4470505353787,7.772,0.1,71.72,8.199,7.378,1755,0.4668325066951019
1148.4,4046.5,19.0248973621797,10.065,0.19,69.9,355.583219901485,288.022408120203,321749.149896107,1148.314,4046.5918,19.3159368722833,8.356,0.139,69.95,9.049,7.794,2013,0.5826225908407275
2200.0,12.5,19.130071263245,10.172,0.38,-61.7,400.208394034205,248.129204301207,311970.801651552,2199.967,14.7613,19.5392258461838,7.801,0.215,-45.68,8.82,6.924,1557,0.934993346799481
1783.4,3041.8,19.7152297368924,7.477,0.14,-5.0,254.038102866705,218.472768465367,174359.672878439,1783.3904,3041.7534,19.9730244464049,7.028,0.068,-1.88,6.923,6.454,1202,0.5156774172978629
3927.8,3879.3,19.6634651170865,7.021,0.25,-8.0,265.338810240242,199.004107680182,165887.129042206,3927.9033,3878.98,19.8300331508471,7.233,0.131,-23.07,7.47,6.495,1325,0.339857796377544
342.2,2519.4,19.664671706824,9.44,0.42,77.1,355.699898535417,206.305941150542,230539.501032432,342.143,2519.5073,19.9483932716503,8.115,0.359,75.91,9.048,5.797,1325,0.5679639876987667
2266.4,3089.2,19.6086701443024,9.051,0.27,39.7,313.397009722537,228.779817097452,225248.770695774,2266.0032,3089.7014,19.8661491480913,8.038,0.142,18.26,8.126,6.972,1393,0.5305984325637179
1705.5,442.3,19.3281798107021,6.879,0.02,13.4,245.271899915608,240.366461917296,185213.030915437,1705.2894,443.2353,19.5035724055742,7.302,0.092,85.4,7.861,7.135,1612,0.3997708102510028
171.4,1729.8,19.6677306987168,6.157,0.11,75.6,225.909817162127,201.059737274293,142695.437552557,171.2345,1729.8473,19.8668237019241,6.588,0.076,65.27,6.746,6.235,1195,0.39967102950438754
3986.2,1200.2,19.2613623112116,7.98,0.14,62.4,288.719097308623,248.298423685416,225216.054735462,3986.073,1200.7628,19.481007108383,7.625,0.124,74.87,8.152,7.138,1664,0.4541937514237171
3902.2,1488.7,19.7095635408095,5.968,0.27,-18.3,243.025535999871,177.408641279906,135449.233622495,3901.9885,1488.814,19.8836735406968,6.707,0.178,-20.72,7.277,5.979,1219,0.351519441246688
4046.6,2149.2,19.26950947374,9.999,0.23,-40.1,345.721777644738,266.205768786448,289130.610134412,4046.5283,2149.3655,19.5398756700999,8.426,0.196,-44.16,8.895,7.155,1725,0.5419353958304782
1846.0,3129.4,19.6000597989955,8.902,0.38,3.5,337.552620074647,209.282624446281,221934.351662427,1846.0775,3129.6572,19.8863806140015,7.81,0.305,6.75,8.648,6.008,1340,0.5751580389590966
1435.0,1934.1,19.9776660757602,6.645,0.18,13.5,230.917144261487,189.352058294419,137364.997002121,1434.8534,1934.2471,20.2234444384792,6.608,0.133,10.47,6.513,5.645,961,0.4933087273218008
1839.7,576.6,19.9082415459492,5.801,0.05,-32.6,201.517605815925,191.441725525129,121199.120277458,1839.6724,576.7261,20.1407257550435,6.157,0.039,-20.67,6.079,5.842,964,0.4656847509942586
424.6,166.0,19.8387475721631,8.306,0.24,-38.4,279.347215033793,212.303883425682,186316.86023594,424.746,166.041,20.0261405815971,8.13,0.162,-49.58,7.935,6.653,1281,0.3760111283610537
658.8,3698.6,20.0077311060648,8.411,0.49,56.4,331.540088873022,169.085445325241,176113.297146847,658.7342,3698.4153,20.2824388533831,7.788,0.394,57.08,8.276,5.015,991,0.5508144098016534
3439.2,920.0,20.1371833067504,6.307,0.2,34.4,219.824207971321,175.859366377057,121448.147249356,3439.1143,920.2206,20.3807469043191,6.387,0.14,30.67,6.254,5.381,853,0.4894210085112496
599.6,947.2,19.8979623505872,6.906,0.3,-29.3,259.535835763076,181.675085034153,148129.847919464,599.0502,947.5388,20.0844885655046,7.208,0.257,-27.88,7.633,5.667,1116,0.3947775702189158
398.8,3285.1,19.9775851295134,6.962,0.21,-82.7,241.4677156468,190.759495360972,144708.856312914,398.7795,3285.5635,20.2087737940903,6.941,0.199,-85.38,7.02,5.62,1004,0.47159225374210095
795.1,112.2,19.9464663692941,6.28,0.21,73.6,229.358985322421,181.193598404713,130559.50091675,795.1656,112.1875,20.1473971026598,6.683,0.136,76.63,6.669,5.764,1025,0.40208350866575765
4173.4,1896.9,19.9872244537934,5.655,0.21,60.4,214.410461596382,169.384264661142,114095.602899966,4173.4346,1897.0483,20.225945625823,6.099,0.159,62.95,6.324,5.316,913,0.47841276631181284
3195.6,3301.0,19.8015692500433,8.929,0.41,26.8,332.472004579471,196.158482701888,204885.888845777,3195.4807,3301.0298,20.0826208436095,7.856,0.325,28.57,8.324,5.618,1144,0.5626417568907601
1227.5,3972.7,20.0461130919053,6.961,0.18,-1.7,233.696944518388,191.631494505078,140692.126393684,1227.2937,3972.5293,20.2682459225968,6.914,0.144,-0.1,6.726,5.755,976,0.44748099220253523
399.2,1966.7,19.8430778679057,5.706,0.19,-58.9,219.016131571287,177.403066572742,122063.859955676,399.2938,1966.6459,20.0418073912866,6.336,0.154,-59.48,6.671,5.642,1047,0.39804823956957947
