NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,4024.4692,336.8607,10273.31,16.9707,14.82,11.984,3.5,3.5,9.14,0.191,79.38,0.02200773,0.0746484,9194,0.034
2,3347.1135,204.357,612.909,20.0315,8.912,6.014,4.21,5.94,8.122,0.325,82.87,0.002362682,0.0746484,1319,0.027
3,2753.8479,65.4068,1376.93,19.1527,9.237,6.845,3.61,4.62,7.309,0.259,64.21,0.008728032,0.0746484,2090,0.03
4,1055.6976,71.5199,108.2994,21.9134,5.372,3.537,4.69,6.6,6.498,0.342,-86.23,0.0018043,0.0746484,324,0.001
5,2281.8281,64.1019,269.1366,20.9251,6.11,5.056,4.53,6.6,7.249,0.172,-59.73,0.00169964,0.0746484,655,0.001
6,3847.804,54.7029,190.0546,21.3028,5.345,4.455,4.49,6.6,6.41,0.167,-4.28,0.003904548,0.0746484,483,0.001
7,1791.7301,50.2155,118.9057,21.812,5.128,3.642,4.53,7.26,6.082,0.29,39.77,0.002591186,0.0746484,343,0.001
8,3409.085,34.5361,420.259,20.4412,6.649,5.303,4.15,5.94,6.741,0.202,-17.97,0.009958423,0.0746484,876,0.029
9,1212.3773,29.724,40.188,22.9898,3.419,2.444,6.01,9.24,6.207,0.285,-60.67,0.002365845,0.0746484,118,0
10,3254.8826,26.8615,57.3265,22.6041,3.593,2.804,5.28,10.56,5.408,0.219,79.06,0.005018656,0.0746484,170,0
11,3377.4216,23.7396,44.03957,22.8904,3.054,2.324,7.67,10.56,9.449,0.239,-34.08,0.01111783,0.0746484,89,0
12,968.113,23.6315,19.20122,23.7917,2.436,1.919,5.62,9.9,4.46,0.212,25.47,0.002195843,0.0746484,58,0
13,888.6053,22.5098,27.60137,23.3977,3.249,2.266,5.16,7.26,5.025,0.302,10.01,0.002150046,0.0746484,103,0
14,1598.1136,20.8183,10.29448,24.4685,2.176,1.324,7.26,10.56,4.81,0.392,-36.11,0.001875256,0.0746484,25,0
