NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,4024.5298,336.8879,10180.39,16.9806,14.505,11.537,3.5,3.5,9.031,0.205,79.43,0.01706612,0.07451751,8724,0.035
2,2753.8474,65.3308,1363.434,19.1634,8.953,6.751,3.57,4.62,7.209,0.246,66.4,0.008234139,0.07451751,2005,0.03
3,2281.6162,64.4697,266.487,20.9358,6.029,5.188,4.48,6.6,7.109,0.139,-56.64,7.179198e-05,0.07451751,677,0.001
4,3848.1099,54.628,181.4556,21.3531,5.193,4.456,4.27,6.6,6.102,0.142,-0.73,8.125986e-05,0.07451751,484,0.001
5,1791.4945,50.2687,112.3787,21.8733,4.609,3.669,4.6,7.26,5.847,0.204,36.3,-3.599724e-05,0.07451751,314,0.001
6,3408.9172,34.6736,416.1966,20.4518,6.716,5.529,3.9,5.94,6.68,0.177,-10.77,0.001461648,0.07451751,933,0.028
7,1055.4762,71.6595,105.705,21.9398,5.419,3.554,4.32,7.26,6.368,0.344,-79.53,-0.0001208786,0.07451751,328,0
8,1212.5098,30.0343,40.9848,22.9684,3.212,2.899,5.99,10.56,6.225,0.098,-80.61,0.0007388838,0.07451751,124,0
9,829.4758,29.0986,64.69208,22.4729,3.968,2.757,4.63,7.92,4.767,0.305,14.5,0.0008804185,0.07451751,194,0.001
10,3254.9646,26.4023,55.29039,22.6434,3.368,3.061,4.84,8.58,5.125,0.091,73.47,0.001429033,0.07451751,174,0
11,3377.1829,23.66,31.37954,23.2584,3.088,2.124,6.94,10.56,8.138,0.312,-17.71,0.001707592,0.07451751,68,0
12,968.4154,23.7804,18.60601,23.8259,2.424,2.146,5.5,6.6,4.251,0.115,47.16,0.0006505148,0.07451751,69,0
13,888.8902,22.0649,26.08932,23.4588,3.097,2.167,5.28,7.92,4.667,0.3,6.71,0.0005988735,0.07451751,92,0
14,2389.0759,18.5523,22.30819,23.6288,2.664,2.365,5.27,7.26,4.695,0.112,-30.05,0.001540934,0.07451751,82,0
15,351.2285,10.5546,124.2573,21.7642,4.43,3.835,4.16,6.6,5.189,0.134,-52.38,0.0006379076,0.07451751,344,0.001
16,4095.8547,17.5475,15.50038,24.0241,2.286,1.869,5.39,5.94,3.669,0.182,-50.32,0.0007799101,0.07451751,61,0
17,617.2292,16.094,28.79989,23.3515,3.09,2.088,5.8,10.56,4.96,0.324,-45.64,0.0003571341,0.07451751,93,0
18,180.0209,11.0017,46.90572,22.8219,2.959,2.83,4.52,5.94,4.305,0.044,67.74,-0.0005189999,0.07451751,143,0
19,3751.145,8.0184,78.99123,22.2561,3.712,3.258,3.82,6.6,4.45,0.122,5.8,0.0009588086,0.07451751,231,0.001
20,4197.7148,11.8043,20.74956,23.7075,2.563,1.633,5.32,6.6,3.306,0.363,-88.53,0.003007182,0.07451751,65,0
21,1299.6367,6.0088,61.17636,22.5335,3.866,3.197,4.62,8.58,5.003,0.173,-19.13,0.0007026062,0.07451751,193,0
22,1867.8531,11.0284,12.2041,24.2837,2.174,1.754,3.87,8.58,3.335,0.193,17.95,-4.47546e-05,0.07451751,48,0
23,3026.7747,11.9187,6.156978,25.0266,1.326,1.226,6.67,5.94,3.073,0.076,-31.98,0.000392637,0.07451751,20,0
24,1700.3431,4.8776,67.58865,22.4253,3.596,2.807,4.17,6.6,4.095,0.219,-2.48,0.001338404,0.07451751,181,0.001
25,3543.208,4.8632,19.06306,23.7995,2.251,1.963,5.5,10.56,3.943,0.128,-40.75,0.0007734693,0.07451751,62,0
26,1280.3765,3.6133,16.86469,23.9326,2.513,1.76,5.59,9.24,4.147,0.3,-5,0.000768623,0.07451751,54,0
27,936.3922,5.3259,12.44754,24.2623,2.025,1.7,5.29,9.24,3.523,0.16,-17.91,0.0009101292,0.07451751,46,0
28,4180.8662,3.5925,3.367144,25.6818,1.15,0.877,6.93,10.56,2.436,0.238,-72.32,0.002802115,0.07451751,10,0
29,894.293,3.6056,4.703129,25.319,0.985,0.65,8.39,10.56,3.334,0.341,-73.12,0.0006727297,0.07451751,7,0
30,520.2081,11.6069,2.510628,26.0005,0.759,0.451,8.42,4.62,2.412,0.407,-17.96,0.0001575976,0.07451751,4,0
31,3150.5906,29.5698,11.95682,24.306,2.027,1.864,5.78,6.6,3.664,0.081,-25.54,0.001080652,0.07451751,49,0
32,1595.7935,19.3967,7.25264,24.8488,2.205,0.52,8.63,10.56,4.638,0.764,48,0.0007447497,0.07451751,6,0
33,3758.375,43.362,30.21817,23.2993,2.818,2.592,4.51,7.26,4.163,0.08,73.07,0.0008985727,0.07451751,108,0
34,3144.2429,36.8894,16.19865,23.9763,2.593,2.084,5.69,7.92,4.407,0.196,-44.59,0.0009587393,0.07451751,66,0
35,2621.0742,28.4554,11.70832,24.3288,1.741,1.451,6.8,10.56,4.39,0.166,-83.23,0.0003711188,0.07451751,28,0
36,1451.7667,18.9084,3.370328,25.6808,1.036,0.631,7.54,6.6,3.057,0.391,82.32,-0.002795298,0.07451751,5,0
37,3867.8667,50.679,64.60155,22.4744,3.202,3.15,4.57,5.94,4.541,0.016,1.61,-0.0003588534,0.07451751,186,0.001
38,126.5752,38.5321,20.70262,23.7099,2.41,2.038,6.69,10.56,5.716,0.154,84.83,0.0001499503,0.07451751,57,0
39,3493.8782,32.7525,8.785931,24.6405,1.903,1.501,5.78,7.92,3.503,0.211,45.05,0.002181954,0.07451751,30,0
40,1351.7684,30.8581,13.37628,24.1842,2.134,1.744,5.63,8.58,3.694,0.183,-11.85,0.001797547,0.07451751,49,0
41,1645.375,23.0254,3.730339,25.5706,1.225,0.484,7.54,9.9,3.164,0.605,-88.8,0.001195256,0.07451751,7,0
42,3697.0916,23.2139,6.109848,25.0349,1.31,0.984,7.43,10.56,4.38,0.249,-60.32,0.0005504484,0.07451751,12,0
43,3364.2612,21.7791,6.622011,24.9475,1.675,0.813,7.23,10.56,4.53,0.515,2.72,0.001752309,0.07451751,16,0
44,1221.8344,22.1494,7.465227,24.8174,1.272,0.94,8.27,7.26,4.711,0.261,-19.98,0.0007913873,0.07451751,12,0
45,4076.5623,28.8182,6.305532,25.0007,1.513,0.792,7.92,9.24,4.255,0.476,-62.21,0.0002762431,0.07451751,9,0
46,1632.1799,205.1124,776.3273,19.7749,7.491,6.848,3.84,5.28,7.392,0.086,-18.09,0.001928186,0.07451751,1442,0.029
47,710.6995,72.73,90.72995,22.1056,3.862,3.645,4.8,7.92,5.504,0.056,67.54,0.000993879,0.07451751,257,0.001
48,158.5473,42.3972,14.14243,24.1237,2.18,2.028,5.51,7.26,3.85,0.07,35.42,-0.0004375038,0.07451751,55,0
49,338.1154,37.3902,9.037629,24.6099,1.803,1.553,7.06,10.56,4.521,0.139,32.5,0.0002628216,0.07451751,23,0
50,184.2765,87.7317,149.1162,21.5662,6.371,3.967,4.44,7.26,7.016,0.377,23.36,8.486436e-06,0.07451751,448,0.001
51,1592.6437,37.7643,10.21037,24.4774,1.817,1.235,7.53,10.56,5.529,0.32,71.98,0.000534558,0.07451751,15,0
52,1436.0674,31.3205,5.201488,25.2097,1.249,0.833,7.93,10.56,3.437,0.333,-35.22,-0.00234043,0.07451751,11,0
