NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,795.0588,112.3001,549.6075,20.1499,6.835,5.557,4.05,5.94,6.663,0.187,72.99,0.002923351,0.08148756,1004,0.029
2,2177.24,62.0197,92.00063,22.0905,4.402,3.357,5.87,10.56,7.56,0.237,-84.24,0.005435818,0.08148756,219,0
3,1918.4698,52.6767,296.0719,20.8215,5.955,4.888,4.41,6.6,6.624,0.179,-58.96,0.001615612,0.08148756,646,0.007
4,1206.6644,54.9838,38.93512,23.0241,2.597,2.528,5.91,8.58,4.783,0.027,30.24,0.0005327652,0.08148756,106,0
5,3153.0879,41.5733,29.82891,23.3134,2.885,2.273,5.71,10.56,4.914,0.212,48.32,0.0001327272,0.08148756,87,0
6,2199.709,14.611,991.7616,19.509,9.023,7.053,3.63,5.28,7.956,0.218,-40.21,0.009661446,0.08148756,1630,0.029
7,2247.8264,10.7636,300.0838,20.8069,6.371,4.973,4.11,7.26,6.569,0.219,-49.9,0.006076261,0.08148756,658,0.002
8,123.3912,29.7536,65.69803,22.4561,3.869,2.953,5.07,8.58,5.5,0.237,65.74,0.001481615,0.08148756,187,0
9,995.3146,11.3276,268.1843,20.9289,5.698,5.002,4.18,6.6,6.381,0.122,36.43,0.0003038547,0.08148756,603,0.001
10,704.3282,17.4739,8.0877,24.7304,1.572,1.43,6.71,7.92,4.297,0.09,-80.72,-3.617471e-05,0.08148756,18,0
11,277.2882,8.6226,85.07362,22.1755,4.427,3.321,4.67,7.26,5.405,0.25,19.03,-0.002191971,0.08148756,239,0.001
12,2725.7905,10.3384,20.51099,23.72,2.384,1.975,5.46,9.24,4.066,0.172,-68.93,0.0006304499,0.08148756,62,0
13,1407.3221,8.9396,7.532519,24.8076,1.273,0.955,7.53,10.56,3.862,0.25,33.49,0.004061314,0.08148756,12,0
14,2395.1345,11.2622,3.636503,25.5983,1.082,0.521,7.93,7.26,2.885,0.519,54.89,0.001041883,0.08148756,8,0
15,3324.4731,9.7592,4.382672,25.3957,1.037,0.473,8.1,10.56,3.496,0.543,80.1,-0.0002923691,0.08148756,5,0
16,1990.2289,8.7008,13.15742,24.2021,2.071,1.408,6.41,10.56,4.265,0.32,24.55,0.001464455,0.08148756,33,0
17,643.2981,8.4694,4.209841,25.4393,1.49,0.731,7.04,9.24,3.072,0.51,39.52,-0.0002085904,0.08148756,10,0
18,3572.1218,6.4204,8.326495,24.6988,1.779,1.603,5.22,7.92,3.202,0.099,-61.63,0.002382673,0.08148756,31,0
