NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
1,795.0862,112.3707,553.7391,20.1417,6.688,5.796,3.98,5.94,6.722,0.133,80.29,0.002484289,0.08097551,1016,0.029
2,1918.1095,52.5766,284.4297,20.8651,5.746,4.795,4.2,6.6,6.332,0.166,-57.64,0.002385553,0.08097551,626,0.004
3,2200.082,14.6752,996.4295,19.5039,8.9,7.256,3.62,5.28,8.023,0.185,-35.31,0.006819304,0.08097551,1647,0.029
4,123.185,30.0858,65.44484,22.4603,3.928,2.997,4.96,7.26,5.352,0.237,59.56,0.0005825761,0.08097551,200,0
5,2247.8606,10.444,288.1438,20.851,6.073,4.853,3.99,5.94,6.296,0.201,-55.99,0.007140982,0.08097551,616,0.003
6,995.1688,11.1134,267.9785,20.9297,5.59,5.044,4.2,6.6,6.362,0.098,25.93,-8.904142e-05,0.08097551,608,0.001
7,702.6638,18.0157,8.090899,24.73,1.345,0.867,7.96,10.56,4.852,0.355,87.41,0.0007437157,0.08097551,9,0.002
8,276.6495,8.3165,82.02521,22.2151,3.572,3.339,4.97,7.92,5.081,0.065,7.29,-0.002459449,0.08097551,218,0
9,2912.1292,13.1629,3.609818,25.6063,1.383,0.503,7.59,10.56,2.693,0.637,-76.47,-0.0004683022,0.08097551,7,0
10,1990.8759,9.4083,14.0326,24.1322,2.111,1.678,6.43,10.56,4.361,0.205,30.75,0.003736535,0.08097551,39,0
11,1405.509,9.4871,4.660716,25.3289,1.165,0.642,8.19,10.56,3.529,0.449,59.43,0.001569504,0.08097551,7,0
12,2394.6201,11.2319,3.069673,25.7823,0.752,0.452,8.27,10.56,2.632,0.399,-72.8,-0.0001320593,0.08097551,5,0.002
13,642.1121,9.5812,6.394345,24.9855,1.692,1.377,5.09,9.24,3.321,0.186,40.42,0.0007735888,0.08097551,21,0
14,3993.571,4.4067,26.78849,23.4301,3.208,2.051,4.65,7.92,4.021,0.361,3.75,-5.512362e-05,0.08097551,93,0
15,3572.2654,6.8412,8.718809,24.6489,2.13,1.841,4.85,5.94,3.41,0.135,-42.67,0.0008074557,0.08097551,42,0
16,3324.6675,7.5638,7.773578,24.7734,1.465,0.939,7.8,10.56,4.492,0.359,-31.65,-0.001163019,0.08097551,9,0
17,2726.1973,10.6991,22.92394,23.5993,2.62,1.994,5.58,10.56,4.467,0.239,-54.07,4.906259e-05,0.08097551,71,0
18,1389.3711,3.4418,4.486006,25.3704,1.382,1.057,6.02,3.5,2.954,0.235,1.28,0.001689533,0.08097551,11,0
19,424.6442,165.8474,624.6212,20.011,7.999,6.855,4.04,6.6,8.248,0.143,-46.75,0.001258088,0.08097551,1332,0.019
20,1681.7339,47.3778,57.76134,22.5959,3.015,2.783,4.83,8.58,4.4,0.077,21.19,0.00025573,0.08097551,145,0
21,3153.4744,41.8261,25.82922,23.4697,2.637,2.075,6.04,9.24,4.91,0.213,87.35,0.0005613882,0.08097551,76,0
22,450.6188,32.112,16.89686,23.9305,2.134,1.928,5.93,7.92,4.074,0.097,-39.21,0.000177895,0.08097551,50,0
23,1796.8412,29.0677,14.10209,24.1268,1.991,1.766,6.84,10.56,4.592,0.113,-23.23,0.0006181916,0.08097551,41,0
24,3601.2842,52.2142,45.63621,22.8517,3.085,2.791,5.23,10.56,5.1,0.095,59.79,0.0004086554,0.08097551,135,0
25,2177.1018,62.4881,92.49424,22.0847,3.75,3.202,6.23,10.56,7.551,0.146,72.88,0.003541939,0.08097551,196,0
26,1206.7874,55.1165,36.96896,23.0804,3.042,2.622,5.45,9.9,5.015,0.138,50.37,1.193321e-06,0.08097551,116,0
27,2449.0149,42.9643,23.6327,23.5662,2.744,2.23,5.43,8.58,4.891,0.187,-31.47,0.0001628383,0.08097551,74,0
28,3987.6404,48.6638,29.18555,23.3371,2.677,2.586,5.83,10.56,5.474,0.034,-7.73,-1.466911e-05,0.08097551,84,0
29,2517.3899,28.5559,5.723905,25.1058,1.194,0.923,7.16,10.56,3.218,0.227,25.8,0.0003357731,0.08097551,10,0
30,973.605,39.6005,9.011275,24.613,1.599,0.967,8.07,10.56,4.621,0.396,-5.61,-9.644691e-05,0.08097551,15,0
31,3824.8992,36.1206,6.446234,24.9767,1.312,1.178,6.55,9.24,3.213,0.102,-41.02,-0.0002635329,0.08097551,17,0
32,1409.7528,56.8303,36.57993,23.0919,3.197,2.443,5.66,10.56,5.546,0.236,-30.85,0.0008809399,0.08097551,106,0
33,1103.1919,35.1367,3.549465,25.6246,1.172,0.432,7.82,10.56,2.841,0.632,-61.06,4.107663e-06,0.08097551,4,0
34,2745.7048,46.5727,9.956359,24.5047,1.945,1.417,6.51,10.56,3.994,0.272,52.55,4.440847e-05,0.08097551,33,0
